	Estimate	p-value
NELFE	1.8401881220115635	0.0
CELF2	0.5801208172071676	0.0
QKI	3.111847218269097	0.0
G3BP2	-0.38996972421481524	0.0
CPEB4	1.0779381178410767	0.0
IGF2BP2	0.2381508573082501	0.0
SF3B4	-1.984465677951308	0.0
SF3B1	3.4353218625653934	0.0
XPO5	1.8285123760309376	0.0
SRSF2	-4.528049715048461	0.0
RALY	-0.6715065664696971	0.0
HNRNPH2	-2.853071905144043	0.0
TUT1	2.588811866021179	0.0
NUDT21	-1.0532030077737626	0.0
ERI1	-1.8649799030430834	0.0
SP1	2.4640466096034035	0.0
CPEB1	-2.112509496576922	0.0
ZFP36L2	-0.7792957525543562	0.0
PABPC1	-1.3292635653260376	0.0
AGO2	0.29869558553727593	0.0
FXR2	0.868307163916519	0.0
RBM42	-0.14317731561582506	0.0
GRN	1.1150392656769132	0.0
CELF4	-1.1368621249059954	0.0
ACO1	0.27787769133498874	0.0
TRA2B	1.7872197125549962	0.0
HNRNPF	1.8469232226124088	0.0
SRP54	0.8269336763833675	0.0
RC3H1	0.5732709254144784	0.0
SUPV3L1	0.495786476788473	0.0
OAS1	0.5979268571236089	0.0
DHX9	2.239180841058498	0.0
CELF1	-2.9079087272405975	0.0
HNRNPAB	-2.7552979466713086	0.0
ZNF638	-0.14330513732106054	0.0
ADAR	-1.6001599176552879	0.0
ELAVL1	3.4012182204665975	0.0
ZCRB1	0.18048160369608718	0.0
DAZAP1	1.9273463612297377	0.0
SRP19	2.1941054147313	0.0
MBNL1	-0.8790000209681315	0.0
EIF4A3	1.4391062617890766	0.0
CNOT4	-0.8911542450572755	0.0
MSI1	0.7944777149953559	0.0
DDX19B	-1.450775882372352	0.0
SNRPA	0.6945885636901805	0.0
RBM6	0.5059752863342508	0.0
RBMS3	0.22080523982303513	0.0
SRSF7	-1.641714118567779	0.0
RBM24	-1.023724090773395	0.0
PTBP1	-1.0988987187129187	0.0
FMR1	-1.4999312778601945	0.0
CSTF2	2.3309240982328046	0.0
SRRM1	-2.3742257824452997	0.0
SRSF6	0.5296246017759183	0.0
KHDRBS3	0.9223913812434587	0.0
NOVA1	1.030531813069906	0.0
HNRNPLL	0.5974280674717751	0.0
SRSF3	-0.522684047384437	0.0
HNRNPL	2.102786003440091	0.0
ZFP36	-0.18522176542316182	0.0
NXF1	-0.8518689868661827	0.0
SNRNP70	-0.9388973496948683	0.0
NCL	0.7943718133091383	0.0
NONO	-0.9317369191571998	0.0
PUM2	0.05718531505442517	0.0
IFIH1	-0.2213735835231374	0.0
G3BP1	1.766348783408637	0.0
EIF4B	-0.34738008169840295	0.0
SYNCRIP	-1.381873774338218	0.0
YBX1	-1.2047493865460066	0.0
SRSF9	0.9138005864223266	0.0
RAVER1	0.17663444404216555	0.0
NOVA2	0.3761718770502509	0.0
HNRNPDL	-0.2579837039463131	0.0
SSB	-0.3363386806894699	0.0
TIAL1	0.37293707608987403	0.0
RBM14	1.5820691739968027	0.0
FUS	-0.6524099253591469	0.0
PABPN1	-1.811316858133042	0.0
RBM3	0.5023237782077143	0.0
ZRANB2	2.421822821600116	0.0
(Intercept)	-0.927980124652338	0.0
