	Estimate	p-value
NELFE	0.1418228509244334	0.0
AGO1	-0.38009373818490516	0.0
DHX58	0.300175408571296	0.0
CELF2	0.2868829317203342	0.0
HNRNPU	0.6770302724162234	0.0
QKI	0.5949967995947583	0.0
HNRNPA1	-0.02055264184244321	0.0
PCBP1	0.5840832724956349	0.0
G3BP2	0.9975934874601285	0.0
IGF2BP2	0.11650250063380313	0.0
SF3B4	-0.2174141691208289	0.0
SRSF2	-2.582960306549384	0.0
RALY	-0.14495080963726448	0.0
HNRNPH2	-0.8316861317314644	0.0
TUT1	-0.32633150386920345	0.0
NUDT21	-0.22160570189721085	0.0
ERI1	0.1676608505408297	0.0
HNRNPD	-0.44695029477299464	0.0
SRP14	0.5902044884268675	0.0
TIA1	-1.2960488399968841	0.0
ZFP36L2	0.48062565538395985	0.0
PABPC1	-0.19293551459397096	0.0
HNRNPM	0.09903478438174933	0.0
ESRP2	-0.2140500690537236	0.0
AGO2	0.11458475447401661	0.0
SRSF11	1.2962086005728004	0.0
RBM42	-0.6835950147208112	0.0
GRN	-0.55037620799539	0.0
YTHDC1	2.0729677269965103	0.0
ACO1	-0.015530910064288195	0.0
TRA2B	-0.15840950898685283	0.0
HNRNPF	0.47962636393481217	0.0
IGHMBP2	0.27695271713293557	0.0
SRSF5	0.056664841594579934	0.0
SART3	-0.30610681658404415	0.0
SRP54	0.8657584998720276	0.0
SRSF4	-0.7503408959026461	0.0
OAS1	-0.6910312352278726	0.0
DHX9	-0.37156077871277415	0.0
CELF5	1.942666967567574	0.0
ZNF638	-0.6954457698027499	0.0
ADAR	0.013389747835822918	0.0
PPIE	0.4279315377930343	0.0
KHSRP	-1.7488128574084016	0.0
RBM5	0.5036087045707582	0.0
ZCRB1	0.08995311627765512	0.0
DAZAP1	1.734280648759405	0.0
SRP19	0.5362488302688312	0.0
EIF4A3	-0.8339366808463553	0.0
CNOT4	-2.4521249626615234	0.0
MSI1	0.4854517224633459	0.0
DDX19B	-0.7364659178369604	0.0
SNRPA	-0.4910344541383598	0.0
TARDBP	-1.3140886846345237	0.0
ESRP1	0.2091461133362992	0.0
HNRNPK	0.36807388341599057	0.0
RBM6	-0.08674051545178635	0.0
TRA2A	-0.9964005418648647	0.0
SRSF7	0.11948835757598042	0.0
SF1	-0.30955516086291013	0.0
RBM24	0.3189746198683266	0.0
PABPC4	0.18724513153806338	0.0
CSTF2	1.5120624412529806	0.0
SRRM1	0.9902990473613398	0.0
GRSF1	-0.6821584553173841	0.0
SRSF6	-0.5359519202431886	0.0
KHDRBS3	0.35753213650016413	0.0
SRSF1	0.9828071407947214	0.0
SRSF3	-0.38331896843844626	0.0
NXF1	0.3394920139930462	0.0
SNRNP70	0.3931910284125027	0.0
NCL	1.517941284193682	0.0
NONO	0.5290417336983789	0.0
PUM2	-1.6108943369052693	0.0
SFPQ	1.2812215460776248	0.0
AKAP1	0.47568011470475524	0.0
IFIH1	0.6384795542426381	0.0
CFTR	-0.43078458480174175	0.0
G3BP1	0.9862358199442921	0.0
DDX58	-0.42507712788496105	0.0
YBX1	-1.1088426862273981	0.0
RAVER1	0.8555919227999835	0.0
NOVA2	-1.4142156614443113	0.0
TIAL1	-0.768260982074463	0.0
FUS	0.07448398136823486	0.0
PABPN1	-0.48959450078422717	0.0
RBM3	-0.9485519535315659	0.0
ZRANB2	-1.8212582350058746	0.0
(Intercept)	30.3387373992285	0.0
