	Estimate	p-value
NELFE	0.23959499812250487	0.0
AGO1	-0.1349624283463678	0.0
SRP68	0.41934300782277356	0.0
DHX58	-0.16407080510687183	0.0
CELF2	0.009852175388774476	0.0
HNRNPA1	-0.796065001734326	0.0
RBMS1	-0.819832540433451	0.0
PCBP1	0.6405342310089446	0.0
G3BP2	0.2351112834605861	0.0
SF3B4	-0.42904654772977224	0.0
SF3B1	0.08419904456911242	0.0
U2AF2	0.5919155532905707	0.0
RBFOX2	1.0396284202176271	0.0
XPO5	0.05311023927636681	0.0
SRSF2	-0.4651474459833842	0.0
SAMD4A	0.09369096571351976	0.0
RALY	0.09697901923918492	0.0
YBX2	-0.07539677588901343	0.0
TUT1	-0.21552021712204344	0.0
NUDT21	0.11089767809173404	0.0
HNRNPD	0.014316162851055192	0.0
SP1	0.22388524995824693	0.0
PCBP2	-0.00493938745818337	0.0
SRP14	-0.6320978063745156	0.0
TIA1	-0.45196099993771166	0.0
PABPC1	0.31195450575540096	0.0
RBM8A	0.0428032081610934	0.0
ESRP2	0.3559315081157946	0.0
FXR2	-0.7186516927781362	0.0
RBM42	-0.8954408818129787	0.0
SRSF11	0.0013423717558171122	0.0
GRN	0.044866979203878304	0.0
CELF4	0.6709946360560866	0.0
ACO1	0.02210613671547243	0.0
HNRNPF	0.25749644063080324	0.0
SART3	-0.1681866288453672	0.0
SRP54	-0.0021109001353432633	0.0
SNRPB2	-0.20116750833386907	0.0
RC3H1	-0.7198321236701071	0.0
DHX9	0.4295985824336706	0.0
RBM38	0.26109676853435115	0.0
ADAR	0.4364192546074594	0.0
ELAVL1	-0.28863709937937543	0.0
PPIE	-0.16517958519432502	0.0
KHSRP	-0.3362688777672368	0.0
RBM5	-0.2140614204138649	0.0
ZCRB1	-0.09666856858894418	0.0
DAZAP1	-0.07446276109483302	0.0
SRP19	0.06450274651621773	0.0
EIF4A3	0.09635889876601805	0.0
MSI1	0.004505440732020166	0.0
DDX19B	-0.17667312893193604	0.0
SNRPA	0.03441998909972632	0.0
ESRP1	-0.4587833809351608	0.0
RBMS3	0.3084885725839901	0.0
TRA2A	-0.2544194728527925	0.0
SRSF7	0.3462388377870036	0.0
PHAX	0.5835514680390864	0.0
RBM24	-0.08052208820468287	0.0
CSTF2	0.2524312262793992	0.0
SRRM1	-0.10791250003430086	0.0
SRSF6	-0.41583254553053595	0.0
NOVA1	-0.16844876277472737	0.0
SRSF1	-0.6458957629518611	0.0
CMTR1	0.03142783350851153	0.0
SRSF3	0.03780092668407389	0.0
ZFP36	0.021186808491904796	0.0
SNRNP70	0.11543340661474288	0.0
NCL	-0.24978948240165627	0.0
NONO	0.15694445371025353	0.0
AKAP1	0.0058247662864197025	0.0
IFIH1	-0.0025021392749659532	0.0
CFTR	0.49375595412878653	0.0
G3BP1	-0.0935330518579095	0.0
DDX58	0.2021837334965408	0.0
CPEB2	-0.06146209027809224	0.0
SYNCRIP	0.261911359663167	0.0
YBX1	0.13113864058224595	0.0
RAVER1	1.0855365544648272	0.0
RBM25	1.4474162727405226	0.0
PUM1	-0.033647238990665435	0.0
HNRNPDL	-0.5063351196155421	0.0
SSB	0.4203400215643075	0.0
FUS	0.036912507521623006	0.0
PABPN1	-0.05453266058307375	0.0
PPRC1	-0.14581686527609594	0.0
RBM3	0.14586406979046834	0.0
ZRANB2	-0.04236264625929162	0.0
(Intercept)	8.86469930295008	0.0
