	Estimate	p-value
NELFE	0.9125107867661005	0.0
AGO1	0.8342215083977793	0.0
SRP68	-0.5899788444639522	0.0
DHX58	-0.12119653125648297	0.0
CELF2	0.3671040236383481	0.0
HNRNPU	-0.6539454324349402	0.0
HNRNPA1	-0.139405474340078	0.0
QKI	-0.4950654909406353	0.0
PCBP1	0.6693611512379597	0.0
RBMS1	0.2323811365394831	0.0
G3BP2	0.3007995391054973	0.0
CPEB4	0.41078145059105875	0.0
IGF2BP2	0.057963631768129464	0.0
U2AF2	1.3836855253959428	0.0
XPO5	-0.2798419310678615	0.0
SRSF2	1.1212820102990357	0.0
SAMD4A	0.758949681745408	0.0
RALY	-1.7506810656110254	0.0
YBX2	-0.060585866903223096	0.0
HNRNPH2	-0.5137463650227101	0.0
TUT1	-1.1484768493483777	0.0
FXR1	-0.22062268772096794	0.0
HNRNPH1	0.8584342365975063	0.0
NUDT21	2.6806178338951634	0.0
ERI1	-1.831450593282711	0.0
HNRNPD	0.3275656422917145	0.0
PCBP2	-1.8495125786614277	0.0
SRP14	0.35392427228696544	0.0
TIA1	-2.0496974918929034	0.0
ZFP36L2	0.49739368393525435	0.0
HNRNPA3	1.223539289060068	0.0
PABPC1	-0.2760937979896537	0.0
RBM8A	-2.204318580163827	0.0
HNRNPM	-0.36841988683299765	0.0
ESRP2	0.8805681741536747	0.0
FXR2	1.3974350254464543	0.0
RBM42	0.4656107755584835	0.0
SRSF11	-2.3867376263086837	0.0
GRN	-0.09027384800386773	0.0
CELF4	-0.25817940066324263	0.0
YTHDC1	-1.187023320238128	0.0
ACO1	-1.3896690664856177	0.0
TRA2B	0.8831525326524144	0.0
HNRNPF	-0.19181467071518377	0.0
SRSF5	-1.2284819371897213	0.0
SART3	-0.19768260076794875	0.0
SRP54	-0.6894524313657837	0.0
SNRPB2	-0.1284840996086956	0.0
RBMX	-1.155224724813003	0.0
SRSF10	-1.309596175956768	0.0
SRSF4	0.5050833020780049	0.0
RC3H1	0.6963232011316902	0.0
SUPV3L1	-0.33222258296168244	0.0
OAS1	-0.5992246939187592	0.0
DHX9	0.5311283883899374	0.0
CELF1	-1.0111182763127673	0.0
HNRNPAB	0.5500253860945837	0.0
KHDRBS1	1.782385839822763	0.0
RBM38	-0.38386421648629	0.0
ADAR	1.8811139777409802	0.0
ELAVL1	-1.1996077018607432	0.0
PPIE	-0.44650687118693955	0.0
KHSRP	0.8319326053423759	0.0
RBM5	-0.207479469287117	0.0
ZCRB1	1.8890603313682697	0.0
DAZAP1	-0.7281822610756121	0.0
SRP19	0.29607251671339097	0.0
MBNL1	-0.0015976410991225265	0.0
EIF4A3	-0.40017746311383406	0.0
CNOT4	0.31264047125163574	0.0
HNRNPA2B1	0.3970650407758544	0.0
MSI1	-0.27568562574356625	0.0
DDX19B	-0.8505799135494845	0.0
SNRPA	2.3606588776514728	0.0
ESRP1	0.11091054822224766	0.0
HNRNPA0	-1.038742418889227	0.0
RBM6	0.9005251623271895	0.0
RBMS3	0.1914675698969841	0.0
TRA2A	-0.5618751113068016	0.0
SF1	1.8839443603551604	0.0
RBM24	-0.39548302944571	0.0
PTBP1	-2.3953267940313343	0.0
FMR1	-0.3089699426414785	0.0
PABPC4	-1.0614020037334138	0.0
CSTF2	1.4535780895689094	0.0
SRRM1	-0.42846653416756225	0.0
GRSF1	0.522642131030123	0.0
SRSF6	0.1396611010714327	0.0
KHDRBS3	1.2178312741866846	0.0
NOVA1	-2.5563044578749854	0.0
SRSF1	-1.69298220211557	0.0
CMTR1	1.804336908989641	0.0
SRSF3	-4.679802132466054	0.0
HNRNPL	0.7014180636595269	0.0
ZFP36	-0.3045496067620298	0.0
NXF1	-0.14308235453331175	0.0
SNRNP70	-1.4083342344345149	0.0
NCL	0.5900055939934232	0.0
NONO	-0.07789629887123783	0.0
PUM2	0.01862287826125783	0.0
SFPQ	1.8202277656782206	0.0
AKAP1	-0.11322177146174928	0.0
IFIH1	-1.4633694817751057	0.0
CFTR	-0.26451938449252865	0.0
G3BP1	0.20970700578099694	0.0
EIF4B	0.5754738936677086	0.0
DDX58	0.8372169414705771	0.0
CPEB2	0.5443616847144432	0.0
SYNCRIP	-1.1149256401052476	0.0
YBX1	-0.654972458037144	0.0
SRSF9	0.0190330933339371	0.0
RAVER1	0.541569439371626	0.0
RBM25	0.8654999283119339	0.0
PUM1	-0.8097889648411605	0.0
HNRNPDL	0.6305540966430397	0.0
SSB	0.8033452005678586	0.0
TIAL1	-2.114581864575176	0.0
RBM14	0.5185197883700237	0.0
ZRANB2	0.9915638133531139	0.0
(Intercept)	28.99715174854781	0.0
