	Estimate	p-value
MBNL1	-1.864226925783655	0.0
CELF2	1.4651619032340526	0.0
IFIH1	0.3861274667993194	0.0
QKI	1.4973754908799157	0.0
CFTR	0.06377571650828462	0.0
EIF4B	0.3459311756646717	0.0
IGHMBP2	1.4094160458011464	0.0
DDX58	-0.31315757697212765	0.0
RBMS3	0.3115246943774467	0.0
OAS1	0.05957105048094219	0.0
YBX2	-2.503807206289513	0.0
HNRNPAB	-0.37496566430607203	0.0
TUT1	-3.5753766237582036	0.0
PABPN1	-0.7055083333764768	0.0
RBM38	1.1693729112630042	0.0
NOVA1	0.5040727059571167	0.0
(Intercept)	14.789360005049907	0.0
