	Estimate	p-value
NELFE	0.5827116943111335	0.0
AGO1	0.03222909581353495	0.0
PPIE	-0.11253327601061382	0.0
SRSF3	-0.6169643787188257	0.0
SRP14	-0.35682031371657696	0.0
RBM5	-0.26342032186080167	0.0
ZFP36	0.05771264412895427	0.0
NXF1	-0.3505827894843599	0.0
SNRNP70	0.2872913627591144	0.0
NCL	0.763746229504071	0.0
DAZAP1	-0.6217465152083106	0.0
DHX58	0.005134969955465196	0.0
SRP19	-0.3695143731299845	0.0
MBNL1	0.06292009683939792	0.0
AKAP1	-0.3173043462517801	0.0
NONO	0.4452655458121836	0.0
PUM2	-0.18020407949092104	0.0
RBM8A	0.12573096151111374	0.0
CELF2	-0.48859796709967246	0.0
AGO2	-0.22725338115156618	0.0
RBM42	-0.7829025698255233	0.0
HNRNPA1	-1.0996614584686728	0.0
GRN	-0.21582472834184663	0.0
PCBP1	-0.05643983141847142	0.0
YTHDC1	0.9186948538002546	0.0
G3BP2	-0.4157762803645759	0.0
G3BP1	0.6406290811792686	0.0
CPEB4	-0.09807037009873448	0.0
IGF2BP2	-0.0825759670036795	0.0
SNRPA	0.1516915873286654	0.0
TARDBP	0.14801140759643172	0.0
HNRNPF	0.6999890813006611	0.0
SF3B1	-0.1432965477144631	0.0
SRSF5	-0.1701642138285938	0.0
SART3	0.2654387218422567	0.0
SRP54	0.7096217016963666	0.0
XPO5	-0.0010614978966899044	0.0
RBFOX2	-0.5424056922000008	0.0
ESRP1	0.4359953453922204	0.0
SNRPB2	-0.2225981166681973	0.0
SAMD4A	0.4942890660489885	0.0
RBM6	0.6527315653892948	0.0
RBMS3	0.7140048199030766	0.0
TRA2A	-0.24952201774734206	0.0
RAVER1	0.3678331721103665	0.0
RBM25	0.008496339395119623	0.0
RALY	-0.19657252436038086	0.0
PUM1	-0.8745066415971448	0.0
HNRNPDL	-0.3479119198407052	0.0
DHX9	0.7973312353124422	0.0
RBM24	0.028386601685856938	0.0
HNRNPAB	0.01597814277541204	0.0
FUS	-0.5760002792979346	0.0
CSTF2	0.5729257510319866	0.0
SRRM1	0.6384992975336885	0.0
TUT1	-0.943016641698046	0.0
PABPN1	-0.2601784641484839	0.0
SRSF6	-0.501609611426052	0.0
KHDRBS3	0.27479127160725214	0.0
FXR1	0.2116126398165922	0.0
RBM38	-0.10795594445892115	0.0
ADAR	-0.3338737942366784	0.0
SRSF1	-1.439845242775934	0.0
(Intercept)	24.67234313783879	0.0
