	Estimate	p-value
NELFE	2.9425489844474124	0.0
AGO1	0.8608556215764216	0.0
DHX58	-1.9120478691310838	0.0
CELF2	0.5388534585241105	0.0
HNRNPU	-0.6324906015350196	0.0
QKI	2.957397616895258	0.0
G3BP2	-1.8542648829396042	0.0
CPEB4	-1.5396441599743582	0.0
SF3B4	-1.0314754054552726	0.0
SF3B1	-0.0341864789292301	0.0
XPO5	-2.422872150104497	0.0
SRSF2	1.6500331708918674	0.0
SAMD4A	0.9785419703627751	0.0
RALY	-0.9582700574248444	0.0
YBX2	-0.1423133569891487	0.0
HNRNPH2	-0.40433422060559704	0.0
TUT1	-0.24527601054034143	0.0
FXR1	0.25134949590327493	0.0
HNRNPH1	-0.28633644051653984	0.0
NUDT21	0.3982205018343328	0.0
HNRNPD	0.5946779409303119	0.0
SP1	1.7470654293313044	0.0
SRP14	-1.0198623750239733	0.0
CPEB1	-0.7224155116790004	0.0
ZFP36L2	-1.447120953834725	0.0
PABPC1	-0.15626302259369373	0.0
HNRNPM	2.1702992963085856	0.0
FXR2	-3.2772489450171074	0.0
RBM42	0.4265058628926527	0.0
SRSF11	-0.24067179238840408	0.0
TRA2B	-2.575161089093799	0.0
HNRNPF	-0.25877876757984786	0.0
IGHMBP2	0.3347111843455939	0.0
SRP54	-0.41334157049790154	0.0
SNRPB2	-0.788004561766033	0.0
DHX9	0.39634246834950004	0.0
CELF1	1.2241087097669672	0.0
CELF5	1.5336731450309689	0.0
ZNF638	1.7937811017417125	0.0
KHDRBS1	-0.7349955318764259	0.0
RBM38	-0.7494216243646865	0.0
ADAR	1.38877060440948	0.0
ELAVL1	-1.060857913348435	0.0
PPIE	-1.7919415162644179	0.0
KHSRP	0.7461651113469137	0.0
ZCRB1	-0.32522058420075683	0.0
DAZAP1	0.5383280785704423	0.0
MBNL1	1.3963276394896462	0.0
CNOT4	-0.1111455003019293	0.0
MSI1	-1.0399020727168462	0.0
DDX19B	0.1274842575305617	0.0
SNRPA	-0.15722671719769277	0.0
ESRP1	0.9740636207808001	0.0
HNRNPA0	-0.8828653781266722	0.0
HNRNPK	-0.8520804517671776	0.0
RBMS3	-0.9077954119068817	0.0
TRA2A	-0.5163000822604792	0.0
PHAX	2.7280842751773346	0.0
PTBP1	-0.7439058762164339	0.0
FMR1	3.232451406707035	0.0
CSTF2	-0.9913628842562874	0.0
SRRM1	1.7865420544951762	0.0
GRSF1	0.40014416095539673	0.0
SRSF6	-0.8029330275286355	0.0
NOVA1	2.0790330742591463	0.0
SRSF1	-1.696153545526407	0.0
HNRNPLL	0.46576703043066775	0.0
ZFP36	0.9271614639984762	0.0
NXF1	-2.0601445752463263	0.0
SNRNP70	-0.5705513189590237	0.0
AKAP1	0.9169730786032334	0.0
IFIH1	0.73635297737379	0.0
CFTR	0.16659654492020737	0.0
G3BP1	0.02793116412381247	0.0
EIF4B	-1.464488274564677	0.0
SYNCRIP	0.6880487335942662	0.0
YBX1	0.4837123766254924	0.0
RAVER1	0.14428695312626583	0.0
PUM1	2.1577246415785534	0.0
HNRNPH3	0.1912214920862021	0.0
FUS	-0.7872546722751512	0.0
PABPN1	0.26631873787489546	0.0
ZRANB2	0.5143237193945558	0.0
(Intercept)	12.086560716072825	0.0
