	Estimate	p-value
PCBP2	-1.1902179478533736	0.0
NELFE	0.5865901692172568	0.0
EIF4A3	0.9147846648007796	0.0
CELF2	0.09483763114459098	0.0
SRSF11	-0.5862590866137217	0.0
RBM42	-1.0600778095031143	0.0
GRN	0.14201707429028051	0.0
PCBP1	1.1949430985438232	0.0
DDX19B	-0.7851192435083059	0.0
G3BP2	-0.2434293295830351	0.0
IGF2BP2	-0.2614209324081576	0.0
SNRPA	-0.7888681386951216	0.0
SF3B4	-1.4430054106118346	0.0
HNRNPF	-0.1066875412064775	0.0
CPEB2	-0.5203700484441811	0.0
SRP54	0.256595395034925	0.0
RBFOX2	-0.07300222282112058	0.0
RAVER1	1.4453508954974283	0.0
RBMS3	0.39733756339516424	0.0
TRA2A	0.6819142439833294	0.0
RALY	-0.15508064946993394	0.0
YBX2	0.16487106537679355	0.0
CSTF2	0.437403114764756	0.0
TUT1	-1.2578078737031513	0.0
PABPN1	0.7686504868684673	0.0
SRSF6	-1.0131424299135927	0.0
NUDT21	0.4139802934001626	0.0
(Intercept)	17.596074843501228	0.0
