	Estimate	p-value
NELFE	1.451427939958264	0.0
AGO1	0.8153727699947586	0.0
DHX58	-0.08420190444072673	0.0
CELF2	0.7547896921035049	0.0
QKI	1.1811199101600838	0.0
HNRNPA1	-3.33894131529836	0.0
PCBP1	0.03847334140071307	0.0
RBMS1	1.0686132277246103	0.0
G3BP2	2.129524236923653	0.0
CPEB4	0.4537646641096693	0.0
IGF2BP2	0.08635235243410255	0.0
SF3B4	-1.5227102183197798	0.0
SF3B1	0.32761572862154686	0.0
U2AF2	-0.09088202387358746	0.0
RBFOX2	1.1166710061972527	0.0
XPO5	-1.6803670024015505	0.0
SRSF2	-1.8883624532707541	0.0
SAMD4A	-0.627490643362526	0.0
RALY	-0.5889547344033469	0.0
YBX2	-0.745309511909487	0.0
TUT1	-1.0311343108184083	0.0
HNRNPH1	1.1207379677844465	0.0
NUDT21	0.6620423218838715	0.0
HNRNPD	0.7477613650265762	0.0
SP1	2.708143981787525	0.0
PCBP2	0.07884949574787761	0.0
SRP14	-0.31133497234175533	0.0
CPEB1	-0.4240631886156767	0.0
TIA1	-1.656645722986226	0.0
ZFP36L2	0.0608503057255394	0.0
PABPC1	0.5736766258010684	0.0
AGO2	-0.9570449232919285	0.0
SRSF11	-2.143228088499635	0.0
RBM42	-0.578928826175581	0.0
GRN	-0.8660884590415512	0.0
CELF4	-0.5969827552475451	0.0
ACO1	-0.037851716141501734	0.0
HNRNPF	0.24074539257798633	0.0
IGHMBP2	2.158512568061564	0.0
SRSF5	-2.3376022497213023	0.0
SART3	-2.2455435180595695	0.0
SRP54	0.6589536575095487	0.0
SNRPB2	-0.40878165192891613	0.0
RBMX	-0.48340586366439475	0.0
SRSF10	1.2564255935038693	0.0
SRSF4	-0.06682055815166221	0.0
RC3H1	-0.8872021605907736	0.0
SUPV3L1	1.715572888944806	0.0
OAS1	0.3222127327494064	0.0
DHX9	1.7434376943098575	0.0
CELF1	1.5456556780131134	0.0
HNRNPAB	0.017096939319409477	0.0
CELF5	0.3594523223751586	0.0
ZNF638	0.04823858173919643	0.0
KHDRBS1	-0.1658509367108396	0.0
RBM38	-0.5005620516132099	0.0
ADAR	-1.636052460699207	0.0
ELAVL1	-2.262397578159177	0.0
PPIE	0.7447435188292164	0.0
KHSRP	0.3412951635198911	0.0
RBM5	-0.30613719668465034	0.0
ZCRB1	-0.011236974143712608	0.0
SRP19	0.5484663513998006	0.0
MBNL1	-1.5139958265794282	0.0
EIF4A3	-0.2734792355269843	0.0
CNOT4	-0.7135947914504923	0.0
MSI1	0.7182148120525023	0.0
DDX19B	-0.5209608925287091	0.0
SNRPA	-0.7591554367399971	0.0
HNRNPK	0.5420193036846195	0.0
RBM6	0.09825166532330369	0.0
RBMS3	-0.3704569493457295	0.0
TRA2A	-0.4609823338568476	0.0
PHAX	0.12098943707678202	0.0
SF1	0.7910976340784808	0.0
PTBP1	-1.0092222330704577	0.0
FMR1	-1.3936748034631528	0.0
PABPC4	-0.8966123876573582	0.0
CSTF2	1.5020302671494115	0.0
SRRM1	0.7520817805824241	0.0
GRSF1	-2.7696737183946634	0.0
SRSF6	-1.100454873714789	0.0
KHDRBS3	0.45473053813682396	0.0
NOVA1	-1.1667611195348235	0.0
SRSF1	-0.5073066312376463	0.0
CMTR1	0.5503876750475316	0.0
SRSF3	-0.23377305869658527	0.0
ZFP36	0.2581197124525654	0.0
NXF1	0.9644558914913925	0.0
SNRNP70	1.2692529900987681	0.0
NONO	2.4029755882646646	0.0
PUM2	-0.29120896509112243	0.0
SFPQ	1.709561387803884	0.0
AKAP1	1.1551634757057494	0.0
CFTR	0.25994740954591733	0.0
G3BP1	0.7206247548369977	0.0
EIF4B	0.5307821840497978	0.0
CPEB2	0.00042710823738123516	0.0
SRSF9	1.4715100548396243	0.0
RAVER1	0.3510391997614107	0.0
RBM25	2.4109595707482603	0.0
NOVA2	-0.41593393122486344	0.0
PUM1	-0.2793446251258944	0.0
HNRNPDL	1.5217684470621093	0.0
HNRNPH3	-2.763580826771994	0.0
TIAL1	-0.24900769910211462	0.0
RBM14	2.1092310242601933	0.0
PABPN1	0.8110662455647764	0.0
PPRC1	-1.1949030317405898	0.0
RBM3	0.9829279672577862	0.0
(Intercept)	-0.20667951046801214	0.0
