	Estimate	p-value
PPIE	-0.43418034787631404	0.0
ZFP36	0.20051507620406328	0.0
TIA1	-0.3878505223701638	0.0
SNRNP70	-0.5571934311113017	0.0
NONO	0.696801838917704	0.0
PABPC1	-0.49184573581840174	0.0
HNRNPM	0.9962292029402363	0.0
ESRP2	0.08745523606798665	0.0
CELF2	0.11225316946097932	0.0
SRSF11	-0.2353009876905251	0.0
MSI1	0.01125792181981651	0.0
GRN	0.7663446608734654	0.0
PCBP1	1.0761354102118343	0.0
RBMS1	0.16780129405820796	0.0
G3BP2	0.6450522616477151	0.0
SNRPA	0.11385290609502169	0.0
EIF4B	0.672240832004851	0.0
DDX58	0.23279990724121974	0.0
SART3	0.6961702958730734	0.0
XPO5	0.8953526481908776	0.0
SRSF9	-0.23711759551564604	0.0
ESRP1	-0.13719460207699125	0.0
SNRPB2	-1.653118114733305	0.0
RAVER1	0.16802739037186484	0.0
RBMS3	1.1724618102591702	0.0
DHX9	0.36093059815080664	0.0
FMR1	-0.4777307967200496	0.0
CSTF2	0.5772236795515314	0.0
TUT1	-0.9880067302531506	0.0
PABPN1	-0.14803932286818328	0.0
KHDRBS3	-0.2340826634943016	0.0
SRSF1	-1.557059775124572	0.0
NUDT21	0.4090027195946553	0.0
PPRC1	0.6664814259942256	0.0
RBM3	0.3822950196340783	0.0
(Intercept)	-6.670275706026326	0.0
