	Estimate	p-value
AGO1	-5.7478095692830715	0.0
CELF2	1.0104427090351367	0.0
HNRNPU	-2.442617875222253	0.0
RBMS1	-1.3059893353966252	0.0
HNRNPA1	3.509777701406681	0.0
PCBP1	-3.177537794532319	0.0
G3BP2	-1.0225863336861625	0.0
IGF2BP2	0.008481869972813305	0.0
SF3B4	2.3522277861794274	0.0
SF3B1	0.14584725289977363	0.0
U2AF2	-1.0081476835989975	0.0
RBFOX2	0.16858958867390905	0.0
XPO5	1.6273660159164303	0.0
SRSF2	-1.5001289809245977	0.0
SAMD4A	-0.6727482024121241	0.0
RALY	2.677910331056114	0.0
HNRNPH2	3.200206924250762	0.0
TUT1	-0.6252427816766731	0.0
FXR1	2.1817731023514546	0.0
HNRNPH1	-0.6390328683593843	0.0
NUDT21	1.2269898959115197	0.0
HNRNPD	-0.6422162013015322	0.0
ERI1	-0.5261493816452327	0.0
SP1	-3.819837308541156	0.0
PCBP2	0.540859309825138	0.0
SRP14	1.3998063654749333	0.0
CPEB1	-2.220295437556135	0.0
TIA1	-3.0724131795436236	0.0
ZFP36L2	0.5810466321629023	0.0
RBM8A	-7.430080897790315	0.0
HNRNPM	-3.482978829771028	0.0
ESRP2	1.4473829180824935	0.0
FXR2	2.1509100788290993	0.0
SRSF11	5.021923884323868	0.0
GRN	0.2936247828667491	0.0
CELF4	4.4982508942323465	0.0
YTHDC1	4.626419118724511	0.0
ACO1	-1.2247873376066059	0.0
TRA2B	2.181975069298712	0.0
HNRNPF	-3.094003748885438	0.0
IGHMBP2	-2.7292300726613687	0.0
SRSF5	2.958263800458746	0.0
SART3	-0.45897787032792836	0.0
SRP54	1.5352456052833916	0.0
SNRPB2	0.7215932625630961	0.0
RBMX	-0.8540546582583122	0.0
SRSF4	0.3215558542712311	0.0
RC3H1	-2.9780799997713654	0.0
OAS1	-0.47952000353645374	0.0
DHX9	8.456886270663896	0.0
CELF1	2.009988131477316	0.0
HNRNPAB	-0.5040320098038299	0.0
CELF5	-4.579343876122051	0.0
ZNF638	-3.961396428031185	0.0
KHDRBS1	6.055274402273576	0.0
RBM38	0.27722925624464856	0.0
ADAR	3.726094399646897	0.0
ELAVL1	-5.4224149464288995	0.0
PPIE	-5.5536969552094	0.0
KHSRP	1.4663756384047164	0.0
RBM5	4.420834151180718	0.0
SRP19	-1.5377085560259216	0.0
MBNL1	-1.3518911050633236	0.0
EIF4A3	-0.8574229003754662	0.0
CNOT4	-1.7587577318319911	0.0
MSI1	-0.9562626863116868	0.0
DDX19B	-3.326230033496014	0.0
TARDBP	2.6629958641371116	0.0
ESRP1	0.49751997390511216	0.0
HNRNPA0	6.41189091143786	0.0
HNRNPK	0.5657742463595511	0.0
RBM6	0.966575990987113	0.0
RBMS3	1.9584638222764439	0.0
TRA2A	0.2163535135009636	0.0
SRSF7	1.9119548765276715	0.0
PHAX	0.377458195188775	0.0
RBM24	2.098079886537869	0.0
PTBP1	-0.07207881853225206	0.0
FMR1	-6.0938407635476	0.0
PABPC4	-0.5847293640029227	0.0
CSTF2	0.48111993632184724	0.0
SRRM1	-3.1229544802442475	0.0
GRSF1	2.598901111456146	0.0
SRSF6	0.3095563147370868	0.0
KHDRBS3	-1.8467418859286537	0.0
NOVA1	-5.8828882398051645	0.0
CMTR1	-0.934167455118992	0.0
HNRNPLL	-0.7453181953866863	0.0
SRSF3	-8.599672077790764	0.0
HNRNPL	3.1560646624183657	0.0
ZFP36	1.1265182299640553	0.0
NXF1	1.0906325637675556	0.0
SNRNP70	-0.4633540210418552	0.0
NONO	1.182075446856917	0.0
PUM2	3.0242076901670405	0.0
AKAP1	-1.1543971795247372	0.0
IFIH1	0.9301739928691575	0.0
CFTR	-0.1948848601880231	0.0
G3BP1	-0.9511379806652192	0.0
EIF4B	-2.3667611865632403	0.0
DDX58	0.19947185439108717	0.0
CPEB2	1.2077839953512792	0.0
SYNCRIP	0.1866146562268901	0.0
YBX1	2.712768945879457	0.0
SRSF9	2.0601031049036056	0.0
RAVER1	-1.5892758171861452	0.0
NOVA2	-1.6177926482892233	0.0
HNRNPDL	-3.1137952878861594	0.0
SSB	-3.0685757809557854	0.0
HNRNPH3	0.08090849078573686	0.0
TIAL1	-0.18387384581008792	0.0
FUS	-0.5563623474247983	0.0
PABPN1	-1.2890888470555346	0.0
RBM3	0.6904062651439525	0.0
ZRANB2	-1.485383329155557	0.0
(Intercept)	-38.822129289951604	0.0
