	Estimate	p-value
NELFE	2.9678543823228734	0.0
AGO1	6.538216329034539	0.0
DHX58	-0.5661064678591948	0.0
HNRNPA1	-4.554724444264824	0.0
QKI	0.7305918859939191	0.0
PCBP1	2.2353443990713187	0.0
G3BP2	-0.34158928300897173	0.0
CPEB4	-0.03756550163716854	0.0
IGF2BP2	0.28908813717349613	0.0
SF3B4	-0.22531889070655486	0.0
SF3B1	-3.981439527739019	0.0
RBFOX2	-2.7436375381472438	0.0
XPO5	-2.1881932515999316	0.0
SRSF2	-2.6302020061384974	0.0
SAMD4A	-2.4594011726235085	0.0
RALY	3.1898643268916547	0.0
HNRNPH2	-0.48195087832991046	0.0
TUT1	-1.0635266572596525	0.0
FXR1	1.0166632951632417	0.0
NUDT21	3.4839618348752617	0.0
HNRNPD	3.4342309442759484	0.0
SP1	-1.6578324757019023	0.0
PCBP2	1.51552986541567	0.0
SRP14	-0.6718461549170618	0.0
CPEB1	-1.0104523707062705	0.0
ZFP36L2	-0.09833409670747884	0.0
HNRNPA3	3.2335525915286323	0.0
PABPC1	0.1694073437754895	0.0
RBM8A	-1.2887810258843573	0.0
HNRNPM	3.0064110404115256	0.0
AGO2	2.3754959034040866	0.0
SRSF11	1.388042831747009	0.0
RBM42	-5.003486946875096	0.0
GRN	1.2823249830355683	0.0
CELF4	0.24894824607817134	0.0
HNRNPF	2.1106339260070985	0.0
SRSF5	-1.8754474184167276	0.0
SART3	4.72901534522341	0.0
SRP54	-2.0993570685478034	0.0
SNRPB2	-2.584231301208371	0.0
SRSF4	-4.6292985310844434	0.0
RC3H1	-6.852208374903842	0.0
SUPV3L1	-5.5243847589548185	0.0
DHX9	7.548167842858961	0.0
CELF1	1.0332580171053056	0.0
HNRNPAB	2.3398218257969425	0.0
CELF5	0.9807143730499619	0.0
RBM38	-1.508218821058951	0.0
ADAR	-0.6243359537905468	0.0
PPIE	-2.3146528762568352	0.0
ZCRB1	-3.205506858661577	0.0
SRP19	-3.3978955883019513	0.0
CNOT4	4.5482695613598185	0.0
HNRNPA2B1	-4.445796607710388	0.0
MSI1	-0.14977313208344656	0.0
DDX19B	-1.737144556290139	0.0
SNRPA	0.5824080272435839	0.0
TARDBP	2.532374137221825	0.0
RBM6	-0.604630869793162	0.0
RBMS3	0.9947102212167787	0.0
TRA2A	0.6609246613649987	0.0
SF1	-4.22682952274361	0.0
RBM24	-1.1188367187489214	0.0
FMR1	-0.38140054550071634	0.0
PABPC4	0.7022799429828561	0.0
CSTF2	-1.4902669537540474	0.0
KHDRBS3	-0.35786130818659645	0.0
SRSF1	-1.9545668264819274	0.0
HNRNPLL	-3.290297657060344	0.0
SRSF3	-3.573573449582468	0.0
ZFP36	0.24551935714667206	0.0
NXF1	0.6854973348063584	0.0
SFPQ	3.513829422479516	0.0
IFIH1	1.8900666131905055	0.0
EIF4B	0.5253059383488468	0.0
DDX58	-0.5414786982472934	0.0
SYNCRIP	0.5180700677648399	0.0
SRSF9	-4.49065523758845	0.0
RAVER1	-2.713735418209571	0.0
RBM25	2.1359680321309598	0.0
NOVA2	0.7511672577181561	0.0
PUM1	1.377656970928882	0.0
HNRNPDL	5.101092251073375	0.0
SSB	-1.0812420783297456	0.0
HNRNPH3	-1.750305151162578	0.0
FUS	-1.7886053103086355	0.0
PABPN1	3.122384575572628	0.0
PPRC1	1.7293341034606098	0.0
RBM3	1.9145944536715722	0.0
ZRANB2	-2.7420949684993365	0.0
(Intercept)	51.55294619685912	0.0
