	Estimate	p-value
NELFE	0.08405557129818206	0.0
SRP14	-0.14534444214876263	0.0
ZFP36	0.013374452243460788	0.0
SNRNP70	0.8579734100467552	0.0
SRP19	-0.7413252267346042	0.0
AGO2	0.6905472100864112	0.0
RBM42	-1.3497199637498354	0.0
QKI	0.49657448843823	0.0
CPEB4	0.07609202092816714	0.0
SNRPA	-1.3650134644144432	0.0
RBFOX2	1.0243146521860549	0.0
RAVER1	1.81110547951806	0.0
RALY	0.724950909719734	0.0
TUT1	-0.9916621585628562	0.0
PABPN1	-0.8653040845675477	0.0
ADAR	0.51084591321933	0.0
(Intercept)	9.737273417187108	0.0
