	Estimate	p-value
NELFE	-0.4407503213206847	0.0
AGO1	-0.6011010177915688	0.0
SRP68	0.49269037413482464	0.0
DHX58	0.18041990560185733	0.0
CELF2	-0.5862451889345277	0.0
HNRNPU	0.41056398728652926	0.0
HNRNPA1	-0.17317538405658858	0.0
QKI	-0.38857208966243406	0.0
PCBP1	0.5115839209300077	0.0
RBMS1	0.21935724887873875	0.0
G3BP2	-0.08247371099155418	0.0
CPEB4	-0.07210934716018795	0.0
IGF2BP2	0.6456250386656934	0.0
SF3B4	-1.0350985498102663	0.0
SF3B1	-0.09342753026855673	0.0
U2AF2	-0.9571836783288524	0.0
RBFOX2	0.9056368697204884	0.0
XPO5	-0.26932423780200343	0.0
SRSF2	-0.3129370869120909	0.0
SAMD4A	0.38045049742472103	0.0
RALY	0.24540914433807887	0.0
YBX2	-0.16042763358446682	0.0
HNRNPH2	-0.15629644584040503	0.0
TUT1	-0.38362585077737255	0.0
HNRNPH1	-0.11451306282594825	0.0
NUDT21	0.5664277269044103	0.0
ERI1	0.7924297442932047	0.0
HNRNPD	-0.36908505379183115	0.0
SP1	0.15012584154452838	0.0
SRP14	0.03132680937773774	0.0
ZFP36L2	-0.3255287969929588	0.0
PABPC1	-0.3783585281454451	0.0
RBM8A	-0.6262301792756028	0.0
HNRNPM	0.8633449164034309	0.0
ESRP2	-0.02398858511037459	0.0
AGO2	-0.06967428085265537	0.0
FXR2	-0.657282150388449	0.0
RBM42	-0.3532757000739508	0.0
SRSF11	0.7954598467463175	0.0
GRN	-1.0980005960270647	0.0
CELF4	-0.061363071193982044	0.0
ACO1	0.6424593060519139	0.0
HNRNPF	0.6005680883954039	0.0
IGHMBP2	-0.8398488888996684	0.0
SRSF5	0.3534832884159089	0.0
SART3	-0.5050984604370452	0.0
SRP54	0.14030862190531584	0.0
SNRPB2	0.052760119892132834	0.0
RBMX	0.8366680959914594	0.0
SRSF10	0.0275144195925294	0.0
SRSF4	0.3733551312410673	0.0
RC3H1	0.23147984082437756	0.0
SUPV3L1	-0.35579515734492784	0.0
OAS1	0.33672589253739815	0.0
DHX9	0.5119997105027878	0.0
CELF1	-0.26545635836981946	0.0
HNRNPAB	-0.7472269969706922	0.0
CELF5	0.42844602402775883	0.0
ZNF638	0.5855996649933772	0.0
KHDRBS1	0.04237721378534981	0.0
RBM38	0.040274581696270406	0.0
ADAR	0.3759176725571689	0.0
ELAVL1	0.009755388469002091	0.0
PPIE	-0.7075445629160158	0.0
KHSRP	0.46963058427581733	0.0
RBM5	-0.41397267969091744	0.0
ZCRB1	-0.35695628025526016	0.0
DAZAP1	0.2031165561968572	0.0
MBNL1	-0.8757790183038601	0.0
EIF4A3	0.3605909951775676	0.0
CNOT4	-0.05156405933184949	0.0
HNRNPA2B1	0.029133118514043932	0.0
MSI1	0.011332747917158048	0.0
DDX19B	0.26489703092739125	0.0
TARDBP	-0.3757660629960492	0.0
ESRP1	0.3191430194344072	0.0
HNRNPA0	-0.3715727195275069	0.0
HNRNPK	-0.30129967891054144	0.0
RBM6	0.646620614203326	0.0
TRA2A	0.1449090444316609	0.0
SRSF7	0.2231621814825248	0.0
PHAX	0.3753042352907093	0.0
SF1	-0.2362377461697045	0.0
RBM24	0.3938084402893661	0.0
FMR1	-0.5253980434617116	0.0
PABPC4	-0.25031386724669247	0.0
CSTF2	0.14978599945585575	0.0
SRRM1	0.6091878337479613	0.0
GRSF1	0.0272165750735065	0.0
SRSF6	-0.0736737987852798	0.0
KHDRBS3	0.5582474587446568	0.0
CMTR1	0.69207492275532	0.0
HNRNPLL	0.36423451040631544	0.0
SRSF3	0.05112874391270977	0.0
HNRNPL	0.3653440194051013	0.0
SNRNP70	0.005707388193096269	0.0
NCL	0.0841522667525337	0.0
NONO	0.07069471501217495	0.0
PUM2	-1.2387979889437477	0.0
SFPQ	0.08053864768294261	0.0
AKAP1	-0.6316644257582154	0.0
IFIH1	-0.3185784862577523	0.0
CFTR	0.194862032220934	0.0
G3BP1	-0.06867133686640892	0.0
DDX58	0.14715678671071025	0.0
SYNCRIP	-0.6326891653513214	0.0
HNRNPC	-0.12791475892730342	0.0
YBX1	-0.7347367869977919	0.0
SRSF9	0.23723963368425166	0.0
RAVER1	0.6876950834214284	0.0
PUM1	0.19194106935866953	0.0
HNRNPDL	0.20031469917804973	0.0
SSB	-0.19832136981327558	0.0
HNRNPH3	-0.4522911519094741	0.0
RBM14	0.2231366750201938	0.0
FUS	-0.6659887510180833	0.0
PABPN1	-0.9864455680926711	0.0
PPRC1	-0.020848713903187363	0.0
RBM3	-0.4067084450401611	0.0
ZRANB2	-0.10545305709639707	0.0
(Intercept)	33.919268259303664	0.0
