	Estimate	p-value
NELFE	-1.0770796005933716	0.0
SRP68	-1.5040764722049713	0.0
DHX58	-0.4259391497615989	0.0
QKI	0.25666831749466396	0.0
HNRNPA1	-1.1205758831254684	0.0
PCBP1	0.9545954282612049	0.0
RBMS1	-0.7296935429958564	0.0
G3BP2	1.2276555572103125	0.0
CPEB4	-1.1704462885299305	0.0
IGF2BP2	0.6465123159000323	0.0
SF3B4	0.5249963420386125	0.0
SF3B1	3.408166819386654	0.0
U2AF2	0.6627840840501862	0.0
RBFOX2	-0.14423793807674923	0.0
XPO5	0.1117244574451478	0.0
SRSF2	-0.7765322442794096	0.0
SAMD4A	0.618835682567302	0.0
RALY	-0.17741814852049753	0.0
YBX2	0.002463864475062083	0.0
HNRNPH2	0.9826859511536117	0.0
TUT1	0.04223900975659656	0.0
FXR1	-1.1238642301491364	0.0
HNRNPH1	2.6397687326258334	0.0
NUDT21	-0.14255926759915388	0.0
HNRNPD	0.5077448373671319	0.0
SP1	1.7917238759673484	0.0
PCBP2	0.12581386453165888	0.0
ZFP36L2	0.36758263338696295	0.0
HNRNPA3	-0.2052309913544874	0.0
PABPC1	0.13413125721039387	0.0
HNRNPM	-0.9705563654454756	0.0
ESRP2	0.6891509454571019	0.0
AGO2	1.236611792187623	0.0
FXR2	0.1777604508956912	0.0
RBM42	0.0979482159855084	0.0
SRSF11	0.719105610325424	0.0
GRN	0.4488579229963433	0.0
CELF4	0.8523253202778404	0.0
YTHDC1	3.3229036782068486	0.0
ACO1	-0.09404504750935516	0.0
HNRNPF	0.31270967313202114	0.0
IGHMBP2	-1.5724607506772905	0.0
SRSF5	-1.1484750165792468	0.0
SART3	-1.3177985742627136	0.0
SRP54	0.44778872050762475	0.0
SNRPB2	-1.0982510821996996	0.0
SRSF4	-0.7518506848477233	0.0
RC3H1	1.0790607238378978	0.0
OAS1	0.24151209212449076	0.0
DHX9	-0.6380950604141087	0.0
HNRNPAB	-0.6407951659206106	0.0
CELF5	-1.4281015730444833	0.0
ZNF638	-3.3290062940307115	0.0
ADAR	0.05684397404153019	0.0
ELAVL1	-2.384920277276034	0.0
PPIE	-0.0528783237508928	0.0
KHSRP	2.65085108548688	0.0
RBM5	0.27797108585165475	0.0
ZCRB1	0.8124647360216752	0.0
DAZAP1	-0.23043008833657053	0.0
SRP19	1.2086278374446757	0.0
MBNL1	-0.1209893301828045	0.0
EIF4A3	0.021620156652195743	0.0
MSI1	-0.06531513559610036	0.0
DDX19B	-0.03241216950174153	0.0
SNRPA	1.6071353720704062	0.0
TARDBP	1.8842142505438813	0.0
ESRP1	-1.7821142569542887	0.0
HNRNPA0	0.8264074512885922	0.0
HNRNPK	-1.477775421218995	0.0
TRA2A	0.8117739080688826	0.0
SRSF7	-0.9564865359679476	0.0
RBM24	0.255595210059408	0.0
PTBP1	-2.20824990530056	0.0
FMR1	-0.3199084106805188	0.0
PABPC4	-0.31391063334402625	0.0
CSTF2	1.7716732743707344	0.0
SRRM1	-0.8347477010808128	0.0
GRSF1	-0.8005359365292218	0.0
SRSF6	1.0177126587580505	0.0
KHDRBS3	0.05001848653255841	0.0
SRSF1	-2.247342548903247	0.0
CMTR1	1.6282821299243584	0.0
ZFP36	0.13095520907580616	0.0
SNRNP70	-0.3155605834808456	0.0
NCL	0.2437717277629181	0.0
NONO	1.1030843059314417	0.0
AKAP1	0.6013575406881185	0.0
SFPQ	-0.8620651496002159	0.0
IFIH1	-0.6378471463863008	0.0
DDX58	0.029779996283905152	0.0
CPEB2	-1.226723327772374	0.0
SYNCRIP	-1.713420242204815	0.0
YBX1	0.7684629635901667	0.0
SRSF9	1.3893845661330428	0.0
RAVER1	-0.5107899406919749	0.0
RBM25	-0.9827234906777526	0.0
NOVA2	0.49459829679108136	0.0
HNRNPDL	-1.61951949415363	0.0
SSB	-1.2041457756097529	0.0
RBM14	2.371709710603526	0.0
PABPN1	-1.3321561177794554	0.0
PPRC1	-0.47512397925175653	0.0
RBM3	0.10295425764199106	0.0
(Intercept)	-3.204096262531497	0.0
