	Estimate	p-value
DHX58	0.16299254583815825	0.0
CELF2	-0.5656988889301816	0.0
HNRNPU	-1.5088259234432475	0.0
RBMS1	1.365402304282771	0.0
QKI	-0.18955567497914905	0.0
PCBP1	0.9536251623712247	0.0
G3BP2	0.5522977715357835	0.0
CPEB4	0.043818275969988496	0.0
IGF2BP2	-0.19311334620848053	0.0
SF3B4	1.0282631330205825	0.0
U2AF2	0.10357730562806622	0.0
RBFOX2	-0.11245550243569027	0.0
XPO5	1.1396561235083191	0.0
SRSF2	-3.0256255156898986	0.0
SAMD4A	-0.02027856587598742	0.0
YBX2	0.5947259462232706	0.0
HNRNPH2	-1.0423924481009885	0.0
TUT1	-1.7947974249094214	0.0
NUDT21	0.1582367676281038	0.0
HNRNPD	0.8704068617258247	0.0
ERI1	-0.09211514030177659	0.0
SP1	1.0466756421562096	0.0
PCBP2	0.888213498157133	0.0
SRP14	-0.6981737519828649	0.0
TIA1	-0.36512865992172205	0.0
ZFP36L2	-0.057213388426921696	0.0
HNRNPA3	-1.7081902277352823	0.0
PABPC1	0.81837172658206	0.0
HNRNPM	1.7264364651465334	0.0
ESRP2	-0.7631850622092332	0.0
AGO2	-0.9053216233695758	0.0
FXR2	-0.45774029788210224	0.0
RBM42	-0.6777552994861394	0.0
SRSF11	2.0241580875702265	0.0
YTHDC1	1.8828449971940273	0.0
ACO1	-0.2711775332523767	0.0
TRA2B	0.11242930306652738	0.0
HNRNPF	0.9212821552921757	0.0
IGHMBP2	-0.6566315192433478	0.0
SART3	0.12833964515140672	0.0
SNRPB2	0.5535769919768126	0.0
RBMX	-0.17507945520074553	0.0
SRSF10	-0.7663078752216073	0.0
SRSF4	1.3159567389728237	0.0
SUPV3L1	1.2929463391949683	0.0
OAS1	0.2562085168017775	0.0
HNRNPAB	-0.210286667996616	0.0
CELF5	-1.2520670432627339	0.0
RBM38	0.10653558018299758	0.0
ADAR	-0.9317292581885476	0.0
ELAVL1	-0.19583365066442948	0.0
KHSRP	-0.7615504077051177	0.0
RBM5	-0.060567444724651975	0.0
ZCRB1	1.584805210142534	0.0
SRP19	-1.2552527681759709	0.0
MBNL1	-0.5208690711876321	0.0
EIF4A3	0.39155260131662417	0.0
HNRNPA2B1	-0.19264581270488346	0.0
MSI1	-0.36023472535686263	0.0
DDX19B	-1.895248528684549	0.0
SNRPA	-0.14755412534022772	0.0
ESRP1	0.7695823431496673	0.0
HNRNPK	-0.315200191488881	0.0
RBMS3	-0.1324920563439025	0.0
TRA2A	0.6770851107453136	0.0
SRSF7	0.3734944714699065	0.0
SF1	0.2510857818184711	0.0
PABPC4	-3.249220359843472	0.0
CSTF2	0.4291441843704804	0.0
SRRM1	-0.9220241146995327	0.0
GRSF1	1.7171246311367985	0.0
KHDRBS3	0.34017188412485927	0.0
NOVA1	0.3148642713268725	0.0
SRSF1	-2.2499129143576475	0.0
CMTR1	-0.12448658806899507	0.0
SRSF3	-1.2259435335320197	0.0
ZFP36	-0.2377525759777417	0.0
SNRNP70	0.041500923240318455	0.0
NCL	-0.35569823352911745	0.0
NONO	1.311035719586919	0.0
PUM2	0.0892439179031087	0.0
SFPQ	1.7462420111242023	0.0
AKAP1	0.002497224752445737	0.0
IFIH1	0.27621123434724776	0.0
CFTR	0.32825166393667143	0.0
G3BP1	-1.1835445986742381	0.0
EIF4B	-0.26081629183510074	0.0
DDX58	0.1761640923388711	0.0
CPEB2	1.3351104916109906	0.0
SYNCRIP	-0.6746364279631372	0.0
HNRNPC	0.7895011981107152	0.0
SRSF9	-0.5850303507765358	0.0
RAVER1	0.9916147833292115	0.0
NOVA2	0.5819034057582149	0.0
PUM1	-0.9476434065846389	0.0
HNRNPDL	-0.6924962719761698	0.0
SSB	-0.5783194898869066	0.0
TIAL1	-1.0159727919854844	0.0
PABPN1	0.18493215050818987	0.0
PPRC1	1.13056196182197	0.0
ZRANB2	-2.2935754978665495	0.0
(Intercept)	28.74144874432811	0.0
