	Estimate	p-value
AGO1	-1.113120872451396	0.0
SRP14	-1.765133319378814	0.0
RBM5	-0.16124667075235577	0.0
HNRNPL	2.0131207041723487	0.0
ZFP36	-0.09437545469115165	0.0
CPEB1	-0.42542958734272546	0.0
TIA1	-0.758744876868215	0.0
NCL	1.5418731105757777	0.0
ZFP36L2	0.04889000174328917	0.0
DHX58	-0.9798767697922905	0.0
DAZAP1	-2.805856573580723	0.0
SRP19	-1.7037031192237182	0.0
MBNL1	-0.10023418454974775	0.0
PABPC1	0.13799266492595635	0.0
EIF4A3	-0.508030592230537	0.0
NONO	1.7885398551067095	0.0
AKAP1	-0.6325321815766707	0.0
SFPQ	-2.401268543256821	0.0
RBM8A	2.288397577092656	0.0
HNRNPM	0.07401565878015903	0.0
SRSF1	-2.373337989045763	0.0
ESRP2	-0.915290820891419	0.0
FXR2	-1.246047165642445	0.0
RBM42	0.8789098243956533	0.0
SRSF11	2.275324724607386	0.0
QKI	0.7517581314305708	0.0
GRN	0.25810402910047653	0.0
PCBP1	-1.4475297254918422	0.0
HNRNPA2B1	-0.9436557268053809	0.0
MSI1	0.11783934895004489	0.0
CFTR	0.28153723139617465	0.0
G3BP2	-1.274054071589393	0.0
ACO1	0.5966760825813281	0.0
SNRPA	1.9667292523251723	0.0
SF3B4	-2.0829598116624664	0.0
HNRNPF	1.310439646787676	0.0
SF3B1	-1.4022610343374582	0.0
SRSF5	-1.1338831114723487	0.0
SART3	0.31020221985913876	0.0
YBX1	0.1680517781598371	0.0
RBFOX2	-1.614281999670561	0.0
XPO5	0.5537691571310168	0.0
SRP54	-0.34380338775594066	0.0
ESRP1	0.6978463649609208	0.0
SRSF9	-1.2672147624858097	0.0
PPRC1	0.7046183215659683	0.0
RAVER1	2.2658293032275982	0.0
TRA2A	-2.2149670230739287	0.0
SUPV3L1	-0.28445309084733794	0.0
OAS1	-0.045146870489626234	0.0
PHAX	0.8232746993209198	0.0
HNRNPDL	0.8875080925306107	0.0
SF1	1.9690102948286647	0.0
DHX9	-4.535165414930925	0.0
SSB	0.9488480437090945	0.0
YBX2	0.42628007834824766	0.0
HNRNPAB	-0.9558403252534614	0.0
PABPC4	0.1773658640281167	0.0
FUS	3.328180316365676	0.0
CSTF2	-0.20211105667096363	0.0
SRRM1	0.8878140608659093	0.0
TUT1	-2.1299643387460483	0.0
PABPN1	-1.0441832488821015	0.0
ZNF638	0.8243574879191085	0.0
KHDRBS1	0.379866330041718	0.0
RBM38	1.4477616045746315	0.0
HNRNPH1	0.7354284535266888	0.0
ADAR	1.058859665559181	0.0
NUDT21	0.6256810467333729	0.0
ERI1	-2.317544464369846	0.0
RBM3	-0.42534283567899034	0.0
SP1	1.1122087203596938	0.0
(Intercept)	31.407663641885346	0.0
