	Estimate	p-value
PCBP2	-0.36697218799777453	0.0
SRP14	-0.24802445683928176	0.0
RBM5	0.8431440593318695	0.0
ZFP36	-0.1756446361415478	0.0
TIA1	-2.4580230960073113	0.0
NCL	-3.0196293984872358	0.0
ZFP36L2	0.24282816577909466	0.0
DHX58	-0.280202738526231	0.0
SRP19	-0.931791765107258	0.0
AKAP1	-0.4915829676844231	0.0
CNOT4	0.9468025475667579	0.0
AGO2	1.3984699262745541	0.0
RBM42	-0.7889315545440927	0.0
IFIH1	-0.525545939537555	0.0
MSI1	0.6384426369869385	0.0
G3BP2	0.7020959351798236	0.0
ACO1	0.05333059453187872	0.0
TRA2B	3.0648914951815263	0.0
SNRPA	-1.5752700071150663	0.0
EIF4B	1.1417979469862904	0.0
SP1	1.9958728244513513	0.0
IGHMBP2	-2.419520308940285	0.0
SF3B1	2.881124012434839	0.0
YBX1	-0.7979600954785881	0.0
RBFOX2	-0.048564329047507626	0.0
ESRP1	0.17645716004901482	0.0
SRSF2	-0.11963814999829597	0.0
SAMD4A	0.26204182335484477	0.0
RBM6	2.0010821068101805	0.0
RBMS3	-0.9785021172413297	0.0
TRA2A	-2.2470925729051796	0.0
RC3H1	-2.7095287441568847	0.0
OAS1	-0.054811309006364106	0.0
HNRNPD	-1.3730065147455093	0.0
HNRNPDL	-1.8456945187568383	0.0
SF1	0.056793526305247616	0.0
RBM24	-0.918288887868791	0.0
YBX2	-0.8824900970533718	0.0
FMR1	-1.1316731333497254	0.0
HNRNPAB	0.18072381115062858	0.0
CSTF2	2.1097156705577516	0.0
TUT1	-0.673355027898092	0.0
KHDRBS3	-0.2913591816977002	0.0
RBM38	0.20617600027598415	0.0
NOVA1	0.26674346163910845	0.0
ADAR	0.23330053620288865	0.0
CMTR1	1.1934801611933	0.0
PPRC1	1.6176832562191197	0.0
ZRANB2	-0.42004558459091473	0.0
(Intercept)	31.55483099453558	0.0
