	Estimate	p-value
NELFE	-6.63879792771169	0.0
AGO1	8.853878951792066	0.0
SRP68	11.560779485911034	0.0
DHX58	-2.24121619663474	0.0
CELF2	7.946106935580838	0.0
QKI	1.3699130642855257	0.0
PCBP1	5.606515614802842	0.0
G3BP2	-25.670164622858586	0.0
CPEB4	0.8609494643501794	0.0
IGF2BP2	3.4813853008329607	0.0
SF3B4	-16.03526335324313	0.0
SF3B1	9.632207065008124	0.0
XPO5	-4.628929466913645	0.0
RALY	4.008464178053144	0.0
YBX2	0.25557901502240554	0.0
HNRNPH2	-14.076110001559613	0.0
TUT1	15.415161907468043	0.0
HNRNPH1	-1.1367818754395058	0.0
NUDT21	-10.346231044467572	0.0
SP1	-0.8584638708285208	0.0
SRP14	-4.06260596096794	0.0
TIA1	16.282888763848927	0.0
ZFP36L2	-0.7533241443641412	0.0
RBM8A	14.693201321654957	0.0
HNRNPM	-1.9413163647370189	0.0
FXR2	-10.730087777187975	0.0
RBM42	14.635657532817483	0.0
GRN	4.685137174289395	0.0
YTHDC1	7.783682313363591	0.0
ACO1	2.3690194611730964	0.0
HNRNPF	1.4145906880785182	0.0
IGHMBP2	-3.3117834289151933	0.0
SRSF5	0.21396365629008685	0.0
SART3	27.267857299756706	0.0
SNRPB2	-12.72467927522155	0.0
SRSF4	-12.2461598925475	0.0
RC3H1	-7.053591840466825	0.0
OAS1	-0.1325282470498479	0.0
DHX9	-2.9097381358925434	0.0
CELF1	-2.3764551625224613	0.0
HNRNPAB	10.709649491425111	0.0
CELF5	-22.953972695026042	0.0
ZNF638	-12.654105993648308	0.0
ADAR	-5.129172834863546	0.0
RBM5	-17.785770396704528	0.0
DAZAP1	-2.4886539631236797	0.0
SRP19	18.98137948957794	0.0
MBNL1	-10.919365018768907	0.0
EIF4A3	2.8644880778224353	0.0
CNOT4	0.3446026820349677	0.0
SNRPA	-23.88733491559877	0.0
ESRP1	-2.792658731533109	0.0
RBM6	2.3869745327275824	0.0
RBMS3	1.0797325301206389	0.0
TRA2A	-6.755220215742195	0.0
PHAX	-6.0398666776692655	0.0
SF1	30.293963034130943	0.0
FMR1	16.938802044579678	0.0
SRRM1	-3.1285886995682937	0.0
SRSF6	2.729661076290979	0.0
KHDRBS3	0.1037381480489401	0.0
NOVA1	1.580827180661207	0.0
SRSF1	5.469515737024132	0.0
CMTR1	-5.298484927294775	0.0
HNRNPLL	0.8164854791984013	0.0
SRSF3	21.340175626165863	0.0
ZFP36	0.9785291033150978	0.0
SNRNP70	-2.128360421521865	0.0
NCL	-7.545109504876794	0.0
NONO	17.422167343984864	0.0
AKAP1	-8.539309059105392	0.0
SFPQ	5.178408145369486	0.0
IFIH1	8.78208308731235	0.0
G3BP1	-10.09582671448348	0.0
EIF4B	17.792552117065966	0.0
DDX58	0.7226621598111689	0.0
CPEB2	-0.03012125698120638	0.0
SYNCRIP	12.927257586090125	0.0
SRSF9	-19.370656446664512	0.0
RAVER1	2.825549061321098	0.0
PUM1	-4.54163281873667	0.0
HNRNPDL	12.0790762908959	0.0
RBM14	-21.20329465409091	0.0
FUS	-10.896942379497213	0.0
PABPN1	-0.1049473936684322	0.0
PPRC1	-6.598173780188873	0.0
(Intercept)	-136.9516788317294	0.0
