	Estimate	p-value
NELFE	2.041353135979637	0.0
AGO1	0.6303089573157319	0.0
SRP14	-0.3075090942744611	0.0
SNRNP70	-1.4135998018140907	0.0
DHX58	-0.7679543628383505	0.0
SRP19	-2.143719929328931	0.0
NONO	-1.0617215287408395	0.0
AKAP1	-0.06667442433355264	0.0
EIF4A3	0.8097223848559625	0.0
HNRNPM	1.1243217569942594	0.0
CELF2	0.27802560146538235	0.0
AGO2	-0.6504677002627541	0.0
HNRNPU	-0.5736372132586484	0.0
RBM42	-1.369737943081343	0.0
IFIH1	1.1621108436755958	0.0
QKI	-0.7823145598276979	0.0
HNRNPA1	-2.1463969557755456	0.0
PCBP1	0.026771982296508214	0.0
MSI1	-0.12502360993667017	0.0
YTHDC1	2.782696447622618	0.0
DDX19B	1.9573333014397307	0.0
RBMS1	-0.5802972355870288	0.0
G3BP2	-1.1314230797524805	0.0
TRA2B	1.7312125130353195	0.0
G3BP1	-0.9481702762377575	0.0
IGF2BP2	-0.19480026603250172	0.0
SNRPA	1.0762406531125395	0.0
SF3B1	0.41101557141164513	0.0
U2AF2	1.3567030372180982	0.0
SYNCRIP	-0.30871720946190423	0.0
SART3	3.149708419842127	0.0
SRP54	-0.12708543502558223	0.0
XPO5	-0.6937508904584087	0.0
SRSF9	-0.02919440710747595	0.0
RBFOX2	-1.0190795989473478	0.0
ESRP1	0.4098032287858634	0.0
SNRPB2	-1.5564644190087993	0.0
HNRNPA0	0.9541736704402836	0.0
SAMD4A	2.968888739911636	0.0
RBM6	1.0056875029342711	0.0
RAVER1	0.7492912289192134	0.0
TRA2A	0.5844136920216261	0.0
RALY	-1.4528397311193548	0.0
OAS1	-0.16381070721414442	0.0
HNRNPH3	-1.0525111679691528	0.0
DHX9	0.9481371552416606	0.0
NUDT21	2.003254253936344	0.0
FMR1	0.5317418783848384	0.0
CSTF2	1.309464503336644	0.0
SRRM1	-2.448770463695019	0.0
TUT1	-0.2848267518594926	0.0
PABPN1	-0.1904461348776001	0.0
KHDRBS3	0.4845896007550251	0.0
FXR1	0.4909242817415842	0.0
RBM38	0.10547152805947535	0.0
HNRNPH1	0.3535747230292414	0.0
ADAR	0.636758053238021	0.0
CMTR1	-1.830709894620199	0.0
HNRNPLL	0.776442903836607	0.0
RBM3	-0.2566822793335978	0.0
(Intercept)	0.7483156341917194	0.0
