	Estimate	p-value
SRP14	0.4368962615996306	0.0
SRP68	0.7631945416781865	0.0
ZFP36L2	0.08036192382645144	0.0
SRP19	-0.0660279909659156	0.0
MBNL1	-1.4970314034526415	0.0
NONO	-0.787801670480414	0.0
HNRNPM	-0.04529560838512386	0.0
ESRP2	-0.6691876442188222	0.0
CELF2	0.7286276343041571	0.0
FXR2	1.7742101834652786	0.0
HNRNPA1	-0.8090899427054863	0.0
GRN	0.41331458618755534	0.0
RBMS1	-0.5719064050425076	0.0
G3BP1	-1.7109129254153954	0.0
IGF2BP2	0.3026400982895291	0.0
SYNCRIP	2.60651326052697	0.0
RBFOX2	0.38532823825734824	0.0
ESRP1	-0.05877515664102839	0.0
RBMS3	-0.8334902305905282	0.0
RALY	-2.4117079194121724	0.0
OAS1	0.35143093560301353	0.0
RBM24	0.011319061841966072	0.0
YBX2	0.36552130191239124	0.0
TUT1	1.2806610407449919	0.0
PABPN1	-0.6079160058286159	0.0
KHDRBS3	-0.29398047430929214	0.0
FXR1	-0.21409816454242694	0.0
RBM38	-1.406512706334452	0.0
NOVA1	0.969927157304027	0.0
ADAR	2.1552531761297797	0.0
RBM3	-0.7843828543701701	0.0
ZRANB2	0.978255177221798	0.0
(Intercept)	11.283176164211527	0.0
