	Estimate	p-value
NELFE	1.2467519681791128	0.0
ZFP36	1.3992621882213294	0.0
DHX58	0.9760378933368699	0.0
SRP19	-1.4690972798817579	0.0
AKAP1	0.724538591420681	0.0
EIF4A3	0.6358026067870748	0.0
SFPQ	-1.8206803807331196	0.0
RBM42	-1.8436341585329523	0.0
QKI	0.748151976903255	0.0
HNRNPA1	-1.2304100314645399	0.0
MSI1	0.050058370568842214	0.0
RBMS1	-1.3424565528375365	0.0
ACO1	-1.2334409311794663	0.0
IGF2BP2	-0.41256366853198545	0.0
SNRPA	-1.2394914380835704	0.0
SF3B4	1.4896857978821476	0.0
HNRNPF	1.5451189045473168	0.0
IGHMBP2	-0.12587872756045126	0.0
SF3B1	1.009142965914418	0.0
CPEB2	0.25096242662360774	0.0
SART3	1.0405386350022545	0.0
ESRP1	-0.7191631286383183	0.0
RAVER1	2.124467741889744	0.0
SRSF7	0.9889316531558909	0.0
OAS1	0.04104747670697758	0.0
SF1	-0.9891734392544175	0.0
SSB	-1.0174514171671742	0.0
RBM24	0.41690117971653934	0.0
CELF1	1.1946980309573318	0.0
YBX2	1.845147933521637	0.0
GRSF1	1.2794868408653057	0.0
SRSF6	-1.5277700308722209	0.0
PABPN1	0.04640774258685168	0.0
RBM38	-0.335692586819777	0.0
SRSF1	-1.400266584418148	0.0
HNRNPD	-1.9090510750770417	0.0
RBM3	1.4451060379086418	0.0
(Intercept)	12.014919234613359	0.0
