	Estimate	p-value
NELFE	0.21319534257463726	0.0
AGO1	-0.12662076324140759	0.0
DHX58	-0.07729267861002642	0.0
CELF2	0.06760654072603592	0.0
HNRNPU	0.22176406605434024	0.0
QKI	-0.009014133589741	0.0
HNRNPA1	-0.6303517470766119	0.0
PCBP1	0.5909247438530764	0.0
RBMS1	0.21092202281251254	0.0
G3BP2	0.4028296240237246	0.0
CPEB4	0.035251574033059785	0.0
IGF2BP2	0.013602556132227883	0.0
SF3B4	-0.3203023500346626	0.0
SF3B1	0.3402693432975404	0.0
U2AF2	0.4033935658505419	0.0
RBFOX2	0.12890699364048996	0.0
XPO5	0.1505305769480702	0.0
SRSF2	-0.6687372974265821	0.0
SAMD4A	0.03663931123428227	0.0
RALY	-0.19584808215842192	0.0
YBX2	-0.04340864842446068	0.0
HNRNPH2	-0.39170355645601673	0.0
TUT1	-0.49242296575892086	0.0
FXR1	-0.008744866936111298	0.0
HNRNPH1	0.4509610165865343	0.0
NUDT21	0.256812975053468	0.0
ERI1	-0.08235054927372032	0.0
HNRNPD	-0.10253349523421888	0.0
SP1	0.3581598339104676	0.0
SRP14	-0.3174262699542803	0.0
CPEB1	-0.2660959428773735	0.0
TIA1	-0.43188019292185975	0.0
ZFP36L2	-0.06157011669813116	0.0
HNRNPA3	0.13258737692944136	0.0
PABPC1	0.1867403873652924	0.0
RBM8A	0.1654891155932558	0.0
HNRNPM	0.23535202453691154	0.0
ESRP2	0.1780277057560204	0.0
AGO2	-0.09358042901046096	0.0
FXR2	-0.18827080969187898	0.0
RBM42	-0.30953436802158174	0.0
SRSF11	0.016530002171074712	0.0
GRN	-0.061325301054712844	0.0
CELF4	-0.4206689222294118	0.0
YTHDC1	0.635778526216185	0.0
ACO1	0.07048576088375452	0.0
TRA2B	0.3674721954272576	0.0
HNRNPF	0.0976421348042141	0.0
IGHMBP2	0.0990889624728767	0.0
SRSF5	-0.4006227130863114	0.0
SART3	-0.07127896845361836	0.0
SRP54	-0.13835368400905873	0.0
RBMX	0.26780725914977965	0.0
SRSF10	0.22593010045009926	0.0
RC3H1	-0.7966076878457207	0.0
SUPV3L1	0.3680183875011933	0.0
OAS1	-0.06185154701015848	0.0
DHX9	0.5828560287091786	0.0
CELF1	0.2912541409588498	0.0
HNRNPAB	-0.20769876770954304	0.0
CELF5	0.34493078196952986	0.0
ZNF638	-0.18547037767443147	0.0
KHDRBS1	0.49662851882446024	0.0
RBM38	0.09657137712389843	0.0
ADAR	0.3148653508162321	0.0
ELAVL1	-0.28583906752867644	0.0
PPIE	-0.1812979457878255	0.0
KHSRP	-0.301579736273034	0.0
ZCRB1	-0.12226455316491808	0.0
DAZAP1	-0.029948628053853774	0.0
SRP19	-0.23176477232990172	0.0
MBNL1	-0.22157649199123897	0.0
EIF4A3	0.18101491979669	0.0
CNOT4	-0.5990446820148068	0.0
MSI1	0.08762756605081845	0.0
DDX19B	-0.22148988320184526	0.0
SNRPA	-0.6208197909850497	0.0
TARDBP	0.12839577265717164	0.0
ESRP1	-0.0820253736815593	0.0
HNRNPA0	0.3084326628043915	0.0
RBM6	0.15250437716262705	0.0
RBMS3	-0.007442463252058443	0.0
TRA2A	-0.13502178571736584	0.0
SRSF7	0.6023966234488707	0.0
PHAX	0.2725754125283245	0.0
SF1	0.31759078116984585	0.0
RBM24	0.04475610335155933	0.0
PTBP1	-0.7901927204879223	0.0
FMR1	-0.3231328410988574	0.0
PABPC4	-0.03975417861799915	0.0
CSTF2	0.5805492100279408	0.0
SRRM1	0.07722001058909422	0.0
GRSF1	-0.45175780185961306	0.0
SRSF6	-0.26497992200818027	0.0
KHDRBS3	0.11680344691905975	0.0
NOVA1	-0.1747595259969369	0.0
SRSF1	-0.9736950038144114	0.0
CMTR1	0.5446675136678557	0.0
HNRNPLL	0.054140044607213805	0.0
SRSF3	-0.8001290229584201	0.0
HNRNPL	0.611276861302543	0.0
ZFP36	-0.01074047139276646	0.0
SNRNP70	-0.40128842460918573	0.0
NONO	0.2783884617830048	0.0
PUM2	-0.7210475694939552	0.0
SFPQ	-0.18383297673984847	0.0
AKAP1	-0.09184456332447058	0.0
IFIH1	-0.1537003528225199	0.0
CFTR	0.1423300731871789	0.0
EIF4B	0.04619792379666671	0.0
DDX58	0.057286502470633424	0.0
CPEB2	0.026482033984040615	0.0
HNRNPC	0.14802199419386597	0.0
YBX1	0.128759531450646	0.0
SRSF9	0.19496625836243958	0.0
RAVER1	0.6072352461647156	0.0
RBM25	0.8057921698679458	0.0
NOVA2	0.0010862691899744398	0.0
PUM1	-0.7140745033407151	0.0
HNRNPDL	-0.01805167848144995	0.0
SSB	-0.12509492830553576	0.0
HNRNPH3	-0.3087253357580753	0.0
TIAL1	-0.2777286713190613	0.0
FUS	-0.2019194225776783	0.0
PABPN1	-0.2648610817699691	0.0
PPRC1	0.12641651962790795	0.0
RBM3	0.21294395031458904	0.0
ZRANB2	0.16482799350361432	0.0
(Intercept)	13.805532990436266	0.0
