	Estimate	p-value
NELFE	0.4073954824615424	0.0
SRP14	-0.3909054613781048	0.0
PPIE	0.15286267662032554	0.0
SRP68	0.4131212716686744	0.0
RBM5	-0.7241655258850658	0.0
ZFP36	-0.30733057766799243	0.0
NCL	-0.12473088112437714	0.0
SRP19	0.008355145534364505	0.0
MBNL1	0.4430573543230864	0.0
PUM2	-0.5158430959431479	0.0
EIF4A3	-0.17087578589831104	0.0
PABPC1	-0.4178126909792031	0.0
ESRP2	0.3569008743958802	0.0
CELF2	0.1964910242453366	0.0
FXR2	-0.8168437651121229	0.0
RBM42	-0.2717556119460766	0.0
SRSF11	0.7721474263522554	0.0
HNRNPA1	-0.07342019358317059	0.0
RBMS1	0.43156696797773	0.0
PCBP1	0.6024709941822042	0.0
QKI	-1.1604687768721438	0.0
GRN	0.0713101550652051	0.0
CELF4	-1.1758976273135628	0.0
MSI1	-0.09205066777881876	0.0
G3BP2	0.3525809586670996	0.0
ACO1	-0.29913253046170674	0.0
G3BP1	0.4585193946137109	0.0
IGF2BP2	-0.12331117557627802	0.0
SNRPA	0.3051920784348158	0.0
SF3B1	0.20405964374534458	0.0
DDX58	0.2855442477791673	0.0
SART3	0.2187389580168625	0.0
YBX1	-0.37961533458044805	0.0
RBFOX2	0.6954600506315078	0.0
XPO5	0.3154335476304113	0.0
ESRP1	0.7747092945240881	0.0
SRSF9	0.5615490858452832	0.0
SNRPB2	-0.25027413955481326	0.0
HNRNPA0	0.07900994375597327	0.0
RAVER1	0.11733862425976194	0.0
RBM6	0.45499532283628485	0.0
RBM25	-0.14655620918036832	0.0
NOVA2	0.3180718418769592	0.0
RALY	-0.5532965946358879	0.0
OAS1	-0.17113561172676262	0.0
HNRNPH3	-0.07967823974572391	0.0
RBM24	-0.17958745546252453	0.0
TIAL1	0.6351795916519118	0.0
YBX2	-0.005368901210073614	0.0
HNRNPAB	0.05152845763452418	0.0
CSTF2	0.3979181772270799	0.0
CELF5	-0.3746115782151395	0.0
PABPN1	-0.09197808833363386	0.0
KHDRBS3	-0.16839910196358476	0.0
NOVA1	-0.4296843430181585	0.0
ADAR	-0.8870844585601706	0.0
NUDT21	0.3771133638435791	0.0
PPRC1	0.42047450393155716	0.0
RBM3	-0.17224123869210772	0.0
ELAVL1	-0.9630291366860002	0.0
(Intercept)	-3.963065994818637	0.0
