	Estimate	p-value
NELFE	-0.2727210033179754	0.0
PPIE	0.46982505996156426	0.0
SRP68	-0.22683473700163015	0.0
ZFP36	0.12432310296361448	0.0
TIA1	-0.36005925558150115	0.0
ZFP36L2	0.09883264100488684	0.0
DHX58	0.23342597789294314	0.0
AKAP1	0.19602629998264154	0.0
EIF4A3	-0.13465164443876704	0.0
RBM8A	-0.411890187277132	0.0
ESRP2	0.5471179374162887	0.0
FXR2	-0.2418494563458727	0.0
RBM42	-0.22478258636723603	0.0
MSI1	-0.04875716553038464	0.0
PCBP1	0.8639000763303667	0.0
G3BP1	0.415930633484847	0.0
ACO1	0.013906449055768943	0.0
IGF2BP2	-0.033596232897720416	0.0
SNRPA	0.16037665278616967	0.0
CPEB2	0.07072246547503849	0.0
YBX1	-0.15708310226308062	0.0
RBFOX2	0.31907781534563295	0.0
ESRP1	0.589375658888463	0.0
SRSF9	0.5975843647156982	0.0
SNRPB2	-0.18338146087421414	0.0
SAMD4A	-0.40973174514900274	0.0
RAVER1	0.07849675500030731	0.0
RC3H1	0.38822485434990445	0.0
RALY	-0.3054081637127881	0.0
SUPV3L1	-0.36670785876016726	0.0
HNRNPH3	-0.11067865177842973	0.0
RBM24	0.1089365081932219	0.0
YBX2	0.0070610182147483845	0.0
HNRNPAB	-0.3213879851155087	0.0
TUT1	-0.21790689636847227	0.0
PABPN1	-0.03117790606574302	0.0
KHDRBS3	0.2025048921439318	0.0
RBM38	-0.07089131169586826	0.0
HNRNPH1	-0.18318625649262935	0.0
HNRNPLL	-0.39619033278159177	0.0
(Intercept)	-7.290295107914622	0.0
