	Estimate	p-value
NELFE	-0.5511949270377159	0.0
DHX58	0.09020199431490167	0.0
HNRNPU	1.6798394240841952	0.0
RBMS1	0.32154789967716674	0.0
QKI	0.15948523700430492	0.0
PCBP1	-0.3746260419422821	0.0
G3BP2	0.3803498587101585	0.0
CPEB4	-0.6080691676981346	0.0
IGF2BP2	-0.11418339863660798	0.0
U2AF2	-0.40575183295032846	0.0
RBFOX2	0.46445583805389723	0.0
SRSF2	0.20771083694135772	0.0
SAMD4A	-0.04406066823439257	0.0
YBX2	0.023416387154918283	0.0
HNRNPH2	-0.39123766476577126	0.0
TUT1	0.2333896650933365	0.0
FXR1	-0.15796656280571914	0.0
NUDT21	-0.1278800375087882	0.0
ERI1	-0.05020596011423201	0.0
SP1	-0.30948359463322284	0.0
SRP14	-0.0064297441701812175	0.0
CPEB1	0.5562833809108647	0.0
TIA1	-0.41503366280885057	0.0
ZFP36L2	-0.04371264247276113	0.0
HNRNPA3	-0.59919977585049	0.0
PABPC1	0.527234457852445	0.0
RBM8A	-0.3824197314367125	0.0
ESRP2	0.6035842760162055	0.0
AGO2	-0.09758423958403938	0.0
FXR2	0.29442611529981055	0.0
RBM42	-0.3123151686537111	0.0
GRN	0.22451489457481832	0.0
CELF4	-0.6123083109630738	0.0
YTHDC1	-0.022801421427328203	0.0
TRA2B	0.36767175161902443	0.0
IGHMBP2	-0.21427440495845612	0.0
SRSF5	0.6025864743750441	0.0
SART3	0.17971424377961703	0.0
SRP54	0.5910361371296355	0.0
SNRPB2	-0.40412468239854116	0.0
RBMX	-0.0724393480523442	0.0
SRSF4	1.2168633658551553	0.0
SUPV3L1	0.2321310067154455	0.0
OAS1	0.2717657884939853	0.0
HNRNPAB	-0.2232196682424007	0.0
KHDRBS1	-0.8179551110766935	0.0
RBM38	-0.00658116655787111	0.0
ADAR	-0.1429975740671863	0.0
PPIE	-0.07391136880027593	0.0
KHSRP	-0.0679824181835795	0.0
RBM5	-0.3491609647753617	0.0
DAZAP1	0.7946798710420512	0.0
SRP19	-0.34633828147200896	0.0
MBNL1	0.2863117418504706	0.0
EIF4A3	-0.24456952070620774	0.0
CNOT4	0.2423852728559269	0.0
MSI1	0.04867521986052992	0.0
DDX19B	-0.12216419692036246	0.0
TARDBP	0.07946413987612355	0.0
ESRP1	-0.0630756649832871	0.0
HNRNPK	1.4206702174418404	0.0
RBM6	0.007676638427627336	0.0
TRA2A	0.45771934993607444	0.0
SRSF7	-0.5758458019160525	0.0
PHAX	0.1131483095112617	0.0
FMR1	-0.07151843393273977	0.0
PABPC4	-0.5074681992735428	0.0
CSTF2	0.38528970672238794	0.0
GRSF1	-0.624005551673502	0.0
SRSF6	0.07072264589949998	0.0
KHDRBS3	-0.131884302462436	0.0
NOVA1	-0.8584175736877379	0.0
CMTR1	0.4343866618205584	0.0
HNRNPLL	-0.32577177900549625	0.0
ZFP36	0.15988062693889027	0.0
SNRNP70	-0.22579562473214887	0.0
PUM2	0.862450217575141	0.0
IFIH1	0.10803447436174496	0.0
CFTR	-0.016696532364666256	0.0
G3BP1	-0.029064462839673205	0.0
EIF4B	0.04675987579575236	0.0
DDX58	-0.3269316957120446	0.0
CPEB2	0.3766288623792265	0.0
RBM25	-0.1646842891824362	0.0
PUM1	-1.1614197154388002	0.0
TIAL1	-0.13544079406392864	0.0
PABPN1	-0.27700974890615604	0.0
RBM3	-0.168504619359869	0.0
ZRANB2	-0.37547379668821224	0.0
(Intercept)	-13.091130172152479	0.0
