	Estimate	p-value
NELFE	-1.2472588810698833	0.0
AGO1	-0.012277956748692476	0.0
SRP68	-0.20471453326628972	0.0
DHX58	0.1504861606930848	0.0
HNRNPA1	0.11894260192951078	0.0
RBMS1	0.7185713174240197	0.0
PCBP1	-0.41624816391379194	0.0
QKI	-0.43288614741607556	0.0
CPEB4	-0.36880350651331184	0.0
IGF2BP2	-0.03260997349200517	0.0
SF3B4	1.2173750059952337	0.0
U2AF2	0.6777928732586027	0.0
RBFOX2	1.5226892717403795	0.0
XPO5	0.18072274730710997	0.0
YBX2	0.2565706266009869	0.0
TUT1	-0.3027321542483451	0.0
HNRNPH1	0.004267668708886896	0.0
NUDT21	-0.8382074532474683	0.0
HNRNPD	-0.4030874514042132	0.0
ERI1	-0.22850088627245935	0.0
SRP14	-0.3947686968514492	0.0
ZFP36L2	0.351441865932575	0.0
HNRNPA3	-0.4083686851239303	0.0
RBM8A	0.5933217975654648	0.0
ESRP2	0.5428247682916342	0.0
AGO2	-0.2522455665667779	0.0
FXR2	-0.10602424350391942	0.0
RBM42	0.10993208011583055	0.0
SRSF11	0.688093008286708	0.0
GRN	-0.21223079956171664	0.0
CELF4	-2.995242219536907	0.0
YTHDC1	0.904091324594069	0.0
ACO1	-0.12762240178710876	0.0
TRA2B	0.49984621978153343	0.0
SRSF5	0.9567427617512476	0.0
SRP54	0.28400999777495173	0.0
SNRPB2	-0.11596228131935456	0.0
SRSF4	-0.8448100257510347	0.0
RC3H1	0.9322806564549757	0.0
SUPV3L1	-0.28504137574870114	0.0
OAS1	0.24402173657786408	0.0
CELF5	-0.7268293080347376	0.0
KHDRBS1	1.5865775627313612	0.0
RBM38	0.27764376275538977	0.0
ADAR	-1.4641983291714353	0.0
ELAVL1	-1.010527520031626	0.0
PPIE	0.18417442175999632	0.0
RBM5	-0.5019195885437729	0.0
DAZAP1	0.45553718284732586	0.0
MBNL1	-0.00888893511138994	0.0
EIF4A3	0.22719764367824058	0.0
HNRNPA2B1	0.18916812197239646	0.0
MSI1	0.013455441436764776	0.0
DDX19B	0.3043001330836591	0.0
ESRP1	0.3187960263139802	0.0
HNRNPA0	-0.6623287348484079	0.0
HNRNPK	1.536195150111943	0.0
RBM6	-0.3032124690474521	0.0
RBMS3	0.049510380220570804	0.0
PHAX	0.8843785274200907	0.0
SF1	-0.30448807099958275	0.0
RBM24	-0.15531063330084136	0.0
PTBP1	0.669445494007216	0.0
PABPC4	0.3918133694510918	0.0
CSTF2	0.6135626377899206	0.0
SRSF6	-0.6739821311411918	0.0
KHDRBS3	0.04352469919864027	0.0
NOVA1	0.42735308405929007	0.0
SRSF1	-1.9055397201416837	0.0
CMTR1	0.31630129137762697	0.0
HNRNPL	-1.1173308771144768	0.0
ZFP36	-0.14982232868949397	0.0
SNRNP70	-0.42878998068873736	0.0
NCL	-0.3682702999705365	0.0
NONO	0.011280984176234687	0.0
AKAP1	0.1508030976484136	0.0
SFPQ	0.027500147920169415	0.0
IFIH1	-0.012928831298570365	0.0
CFTR	0.180199415546777	0.0
CPEB2	0.0198238801590995	0.0
SRSF9	-0.18468386974832712	0.0
RAVER1	0.0913666070263427	0.0
RBM25	-0.9815816950505156	0.0
NOVA2	-1.9235295014779392	0.0
PUM1	-1.0680732751416215	0.0
HNRNPDL	-0.3368839983319768	0.0
SSB	0.1589888158226348	0.0
HNRNPH3	-0.019302403623093545	0.0
RBM14	0.39484172097751197	0.0
FUS	0.5434073940864437	0.0
RBM3	0.0876468810165123	0.0
ZRANB2	-0.2654983137378698	0.0
(Intercept)	-3.2145965038213733	0.0
