	Estimate	p-value
CELF2	-0.16613586255385612	0.0
HNRNPA1	-0.037666432402314175	0.0
QKI	0.039204316064794666	0.0
PCBP1	0.05648858741817406	0.0
G3BP2	-0.0770652614900269	0.0
IGF2BP2	-0.011812375034014722	0.0
SF3B4	-0.20773217143353773	0.0
SF3B1	0.20429120976491377	0.0
U2AF2	-0.23541874173458088	0.0
RALY	-0.10382351638299162	0.0
YBX2	-0.09551972927627123	0.0
TUT1	-0.2983186588622112	0.0
FXR1	-0.16952402382519982	0.0
HNRNPH1	-0.24786078424927416	0.0
HNRNPD	-0.06790860419187067	0.0
ERI1	-0.1784315048231521	0.0
SP1	-0.1310951689410326	0.0
PCBP2	0.024837443196118122	0.0
SRP14	-0.1475078830658214	0.0
CPEB1	-0.13411525793854234	0.0
TIA1	-0.563374916776683	0.0
ZFP36L2	-0.18862666242631876	0.0
HNRNPA3	0.11066999013941442	0.0
PABPC1	-0.01906892981003644	0.0
HNRNPM	-0.3180944305406259	0.0
ESRP2	0.5128080075003497	0.0
AGO2	-0.17067096594291664	0.0
FXR2	-0.15092995631778242	0.0
GRN	0.20730907340692378	0.0
CELF4	-0.010601568915636572	0.0
YTHDC1	0.5204745855483337	0.0
ACO1	-0.14347438328406442	0.0
HNRNPF	-0.04447850445125218	0.0
IGHMBP2	-0.14575797476327473	0.0
SRP54	0.12685060369035228	0.0
SNRPB2	-0.23354889008410784	0.0
RBMX	-0.017751842303706578	0.0
SRSF10	0.3584503842331728	0.0
SRSF4	-0.30751828955220967	0.0
SUPV3L1	0.15471605983279874	0.0
OAS1	-0.10399130345331672	0.0
HNRNPAB	-0.11593730444570549	0.0
CELF5	-0.710132953109709	0.0
ELAVL1	0.08443373601079213	0.0
PPIE	0.17728067399204891	0.0
KHSRP	0.11261529029511161	0.0
SRP19	-0.18925302741803376	0.0
MBNL1	0.22877655561310994	0.0
EIF4A3	-0.03819067267485372	0.0
CNOT4	-0.005274839685923974	0.0
MSI1	0.11830866115259875	0.0
SNRPA	7.516108912369868e-05	0.0
TARDBP	0.6194887920103412	0.0
ESRP1	0.40898305059944456	0.0
HNRNPA0	0.00013204098012062349	0.0
HNRNPK	0.34154790330233636	0.0
RBM6	0.3286908208157102	0.0
RBMS3	-0.12019128445576521	0.0
TRA2A	0.10525813389703881	0.0
RBM24	0.10702271594311608	0.0
FMR1	-0.1321110990824904	0.0
CSTF2	0.03285374278967669	0.0
SRRM1	0.26541273471685817	0.0
NOVA1	-0.21883842272540327	0.0
HNRNPL	-0.6005733381490728	0.0
ZFP36	0.0876756725274574	0.0
NXF1	-0.18800159307220032	0.0
SNRNP70	-0.2480869048702932	0.0
NCL	0.10884220031147954	0.0
NONO	-0.03017698881502387	0.0
AKAP1	0.19265797928479556	0.0
SFPQ	-0.08850532245816414	0.0
CFTR	0.1261433810667723	0.0
EIF4B	-0.1872128338476065	0.0
DDX58	0.14714164049447698	0.0
CPEB2	-0.17580752548799944	0.0
SYNCRIP	-0.3565959516095982	0.0
HNRNPC	0.13643356281608005	0.0
YBX1	-0.02307340337952324	0.0
RBM25	-0.0902299429495412	0.0
RBM14	-0.08089293910076123	0.0
FUS	0.330168026834389	0.0
RBM3	-0.07438407970832882	0.0
ZRANB2	-0.15305707117767547	0.0
(Intercept)	2.389022416517839	0.0
