	Estimate	p-value
NELFE	-0.0850927423423642	0.0
AGO1	-0.1470319898581334	0.0
CELF2	-0.041311479719921274	0.0
QKI	-0.919655371092993	0.0
PCBP1	0.18126059911882608	0.0
CPEB4	-0.10836879053874363	0.0
IGF2BP2	-0.011776968318180092	0.0
SF3B4	-0.3351358554984827	0.0
SF3B1	-0.2309238328985913	0.0
U2AF2	-0.06840745158784631	0.0
RBFOX2	0.5095153667159193	0.0
SRSF2	0.5083922177101643	0.0
YBX2	-0.0839167627451088	0.0
TUT1	-0.6385715339794403	0.0
FXR1	0.4226031970341029	0.0
HNRNPH1	-0.5015122364427982	0.0
NUDT21	0.15282734021401	0.0
ERI1	-0.6813305865862378	0.0
SP1	0.29794088809631575	0.0
SRP14	0.09935309811278314	0.0
TIA1	-0.05718084484254243	0.0
ZFP36L2	0.12627356225750785	0.0
HNRNPA3	0.15474585644190622	0.0
ESRP2	0.3471559741648692	0.0
AGO2	-0.39175195327704654	0.0
RBM42	-0.07896486470991194	0.0
GRN	0.16346705500225878	0.0
CELF4	-0.1375320629501608	0.0
ACO1	-0.1539360851853624	0.0
TRA2B	0.2835079889239232	0.0
SRSF5	0.025593919697182083	0.0
SNRPB2	-0.278124298513335	0.0
RBMX	-0.38032676056349	0.0
OAS1	-0.04073778344589335	0.0
CELF5	-0.9484312167084328	0.0
ZNF638	-0.24513366847990886	0.0
RBM38	-0.20464010626225393	0.0
ADAR	-0.05399261411923878	0.0
ELAVL1	-0.444573188148497	0.0
KHSRP	0.010726075654129821	0.0
ZCRB1	0.31638112067015145	0.0
SRP19	-0.3275360402175134	0.0
MBNL1	-0.11083112776307341	0.0
MSI1	0.071549855125565	0.0
DDX19B	-0.6078177189756899	0.0
SNRPA	-0.14780928325025416	0.0
ESRP1	0.5396073983190852	0.0
HNRNPA0	-0.7593055043844638	0.0
HNRNPK	0.9455097884834063	0.0
RBMS3	0.33475425890919264	0.0
SF1	0.919870232838616	0.0
RBM24	-0.06273853698712945	0.0
PTBP1	0.2691768799269487	0.0
FMR1	-0.4476794336037383	0.0
CSTF2	0.05562139223845716	0.0
GRSF1	0.0719656458156846	0.0
SRSF6	-0.035790438996128104	0.0
KHDRBS3	-0.14233765514439872	0.0
NOVA1	-0.3770744192187203	0.0
SRSF1	0.42907825416838163	0.0
HNRNPLL	-0.7292978350541396	0.0
SRSF3	0.1832595385350279	0.0
HNRNPL	-0.6256995591581248	0.0
SNRNP70	-0.41093813436493665	0.0
NONO	-0.23752401489216965	0.0
AKAP1	-0.5198868085816206	0.0
IFIH1	-0.06161653030366371	0.0
CFTR	0.18259670056212912	0.0
CPEB2	0.3388600356915279	0.0
SYNCRIP	0.32261687377914433	0.0
YBX1	0.10632832699041678	0.0
NOVA2	-0.46557055034663863	0.0
PUM1	-0.4468559470043906	0.0
SSB	-0.10804880155291727	0.0
HNRNPH3	-0.1593900522230462	0.0
FUS	0.418289349279569	0.0
PABPN1	0.3144189037560346	0.0
ZRANB2	-0.20161470597871323	0.0
(Intercept)	-1.5728412668748166	0.0
