	Estimate	p-value
NELFE	0.46670051756221703	0.0
AGO1	-0.8191400641942201	0.0
SRP68	0.4053818935089906	0.0
HNRNPU	0.08949054457887265	0.0
RBMS1	-0.9356993476682895	0.0
QKI	-0.04890682813776953	0.0
PCBP1	0.41173489196354046	0.0
G3BP2	-0.4832494100128667	0.0
RBFOX2	1.119678380033054	0.0
SAMD4A	-0.3017209813511219	0.0
TUT1	-0.4473704851155915	0.0
HNRNPH1	0.6660919109239118	0.0
ERI1	0.26662871797177606	0.0
SRP14	-0.201744099837402	0.0
ZFP36L2	0.08911458372081649	0.0
HNRNPA3	-0.24772770127759236	0.0
PABPC1	-0.19327266376237928	0.0
ESRP2	0.27984025904368026	0.0
AGO2	0.5008333996628979	0.0
FXR2	-0.5120510111464311	0.0
RBM42	-0.3874349367108457	0.0
GRN	0.46253765801081864	0.0
CELF4	-1.5553479356421562	0.0
ACO1	0.2746178849665598	0.0
TRA2B	1.405777471840001	0.0
HNRNPF	0.5070733538733065	0.0
IGHMBP2	-0.5457802906498024	0.0
SRSF5	0.8324489238099511	0.0
SART3	0.894632713972661	0.0
SRP54	0.48317639702490406	0.0
SNRPB2	-0.5276198227868181	0.0
RBMX	0.07271717078632994	0.0
SRSF10	0.6912519010971223	0.0
SUPV3L1	-0.22987352257005508	0.0
OAS1	0.3254750447344565	0.0
DHX9	1.5360752095998649	0.0
CELF5	-0.3002084246592397	0.0
RBM38	-0.1836215472979943	0.0
ADAR	-1.2400816558250034	0.0
PPIE	0.4878428937296271	0.0
KHSRP	1.2512537329986386	0.0
DAZAP1	-0.6328981091272908	0.0
SRP19	0.6400400176669422	0.0
MBNL1	-1.2102833618980906	0.0
EIF4A3	-0.7722164522430816	0.0
MSI1	0.3799093634915849	0.0
DDX19B	1.0315894516689346	0.0
SNRPA	-1.0569716635628743	0.0
TARDBP	0.5455949997264044	0.0
ESRP1	0.1515648473744745	0.0
HNRNPA0	-0.5743068105187565	0.0
RBM6	-0.3922585331620023	0.0
RBMS3	-0.15115090902430606	0.0
RBM24	0.012481463361319278	0.0
PTBP1	0.04807324097889587	0.0
PABPC4	-0.7927406014717806	0.0
SRRM1	0.6208782879298615	0.0
SRSF6	-1.5819925198265912	0.0
KHDRBS3	-0.13149559704112082	0.0
NOVA1	-0.7655415886379632	0.0
SRSF1	-0.7655735211039457	0.0
CMTR1	-0.24682887643998086	0.0
HNRNPLL	-1.0457603494600618	0.0
HNRNPL	-0.7818685443802702	0.0
ZFP36	0.01973696056179719	0.0
NXF1	-0.12612816009332253	0.0
SNRNP70	-0.0931520050544799	0.0
NONO	0.38800609115755613	0.0
PUM2	0.625056396752919	0.0
AKAP1	-0.013923679346263484	0.0
CFTR	0.1239814493086484	0.0
CPEB2	0.4328328908563234	0.0
SYNCRIP	-0.4578577961353561	0.0
HNRNPC	-0.9214268936244817	0.0
SRSF9	-0.8168304875396675	0.0
RAVER1	-0.2464482645814975	0.0
RBM25	-0.593131178168202	0.0
PUM1	-0.5398291404349383	0.0
HNRNPDL	-0.025821255958639933	0.0
SSB	0.34772232935099545	0.0
RBM14	-1.648362129142381	0.0
FUS	-0.22098049218634291	0.0
PABPN1	0.3674981249096301	0.0
PPRC1	0.6000939092777735	0.0
RBM3	-0.35904971206728986	0.0
ZRANB2	-0.05547622694721405	0.0
(Intercept)	15.37969279458213	0.0
