	Estimate	p-value
AGO1	0.10176251100372155	0.0
ZFP36	-0.38654167254437694	0.0
SNRNP70	-0.5785041877749453	0.0
ZFP36L2	-0.1890493892617123	0.0
DHX58	-0.2984617797248792	0.0
SRP19	-0.4901228666246306	0.0
ESRP2	2.0318732741595658	0.0
CELF2	-0.07579900522808392	0.0
QKI	0.2929546294797549	0.0
G3BP2	-0.02592976613315548	0.0
CPEB4	-0.811974883887684	0.0
IGF2BP2	-0.06929695975517638	0.0
SRSF5	-0.10091796284844667	0.0
CPEB2	0.3958234907567171	0.0
YBX1	0.16169816299945966	0.0
HNRNPA0	-0.327417305244674	0.0
HNRNPAB	-0.2817758109819626	0.0
GRSF1	0.2631852304072462	0.0
PABPN1	0.06162958797875942	0.0
KHDRBS3	-0.1867562874011646	0.0
(Intercept)	0.42899880640990506	0.0
