	Estimate	p-value
PCBP2	-1.2731775041003126	0.0
NELFE	-0.3027574602438934	0.0
ZFP36	0.24402392086605892	0.0
ZCRB1	-0.0691273769287745	0.0
TIA1	-0.007486744736909591	0.0
ZFP36L2	-0.7057527899536051	0.0
NONO	-0.4801967397608933	0.0
AKAP1	0.4733249930445407	0.0
EIF4A3	0.4019830038194008	0.0
PABPC1	0.4981153563419376	0.0
RBM8A	-0.1320684597095347	0.0
ESRP2	0.7276912132138071	0.0
AGO2	-0.1169512652242143	0.0
RBM42	-0.41883270918460214	0.0
HNRNPA1	-1.036362943591699	0.0
RBMS1	0.34348451224079635	0.0
QKI	-0.24756958026194267	0.0
CELF4	-0.4066638126191457	0.0
MSI1	-0.21774069335862192	0.0
CFTR	0.062061537865951893	0.0
G3BP2	-0.18793249726752792	0.0
IGF2BP2	0.10514751247599255	0.0
EIF4B	0.11375132945199333	0.0
SP1	0.4939575215961238	0.0
CPEB2	-0.15121989995790605	0.0
SRP54	-0.05889655938759996	0.0
ESRP1	0.11674826184781584	0.0
SRSF9	1.3603920751986593	0.0
HNRNPA0	0.38875729301500617	0.0
RBM6	-0.6992904491733148	0.0
RBMS3	0.5805407123930226	0.0
RBM25	1.2591106536526437	0.0
RC3H1	1.0456935502341773	0.0
RALY	-0.24257992255789615	0.0
OAS1	0.07374283303312207	0.0
HNRNPH3	-0.84225812720209	0.0
CELF1	-0.8136039896941596	0.0
HNRNPAB	0.3051466254942172	0.0
CSTF2	0.7549658010359739	0.0
SRRM1	-0.3314401213452392	0.0
GRSF1	0.6651714046753114	0.0
KHDRBS1	0.8571414359388293	0.0
KHDRBS3	0.020504134640414864	0.0
RBM38	0.4712011436440243	0.0
NOVA1	0.14734923531752167	0.0
CMTR1	-0.9514150119601537	0.0
PPRC1	0.4016501247444475	0.0
HNRNPLL	-0.37847699935441875	0.0
RBM3	-0.48685534130816693	0.0
ELAVL1	-0.1865556470908775	0.0
(Intercept)	-5.752678064524762	0.0
