	Estimate	p-value
NELFE	-0.20448929785007963	0.0
AGO1	-0.22931371883950058	0.0
SRP68	0.05359721544143482	0.0
DHX58	0.11345390391009336	0.0
CELF2	-0.035845131398956676	0.0
HNRNPU	0.10420426956807137	0.0
RBMS1	-0.018745384326290637	0.0
QKI	-0.16751518921099343	0.0
PCBP1	-0.14530086859412622	0.0
G3BP2	0.18929377590293883	0.0
CPEB4	0.18771184273390534	0.0
IGF2BP2	-0.10887991369711614	0.0
SF3B4	0.2513245592203576	0.0
SF3B1	0.14864102800577053	0.0
RBFOX2	0.4062711541571298	0.0
SRSF2	-0.28723688904165473	0.0
SAMD4A	-0.009754389288870402	0.0
RALY	0.14742413939124427	0.0
YBX2	-0.0815050445805407	0.0
HNRNPH2	0.27384904981249814	0.0
TUT1	-0.4443140074006932	0.0
FXR1	0.20337003935919554	0.0
HNRNPH1	-0.1271099913916045	0.0
NUDT21	0.39387858145874516	0.0
ERI1	-0.06317939435365047	0.0
HNRNPD	-0.15392005342170484	0.0
PCBP2	-0.2007069688125081	0.0
SRP14	-0.3295685932066734	0.0
CPEB1	0.012631195022470162	0.0
TIA1	-0.3578781091333042	0.0
ZFP36L2	-0.060048595608253263	0.0
HNRNPA3	0.21343972400942973	0.0
PABPC1	0.15883036186999644	0.0
RBM8A	-0.05019812798517331	0.0
HNRNPM	0.2654820386824689	0.0
ESRP2	0.4938473315761124	0.0
AGO2	0.15004233296817754	0.0
FXR2	0.05183348152012545	0.0
RBM42	-0.09938878217004227	0.0
GRN	0.017859633277694957	0.0
CELF4	-0.11448267558023291	0.0
YTHDC1	-0.2521310905426558	0.0
ACO1	-0.16010852905717593	0.0
TRA2B	0.7656337422825457	0.0
HNRNPF	0.060233361010615744	0.0
IGHMBP2	0.0426985414068784	0.0
SRSF5	-0.01605103747940599	0.0
SART3	0.40464704486438025	0.0
SNRPB2	-0.1977434652414993	0.0
RBMX	-0.37986670211296913	0.0
SRSF10	-0.2904434104129545	0.0
SRSF4	0.3602542336516027	0.0
RC3H1	0.05221064747214454	0.0
SUPV3L1	-0.1810873403048237	0.0
OAS1	0.09707050789219174	0.0
DHX9	-0.16236418141022418	0.0
CELF1	-0.5043417600617882	0.0
HNRNPAB	-0.08323095365356387	0.0
CELF5	-0.16421246262872435	0.0
ZNF638	-0.21413174100194826	0.0
RBM38	-0.23067430994040422	0.0
ADAR	-0.3952835029047881	0.0
ELAVL1	-0.34225525035206117	0.0
PPIE	0.07845061903712279	0.0
KHSRP	0.1534249057796577	0.0
ZCRB1	0.16640105856175963	0.0
DAZAP1	-0.26372986515392377	0.0
SRP19	0.21359312251071869	0.0
MBNL1	0.21326331852860253	0.0
EIF4A3	0.13549558275654316	0.0
CNOT4	-0.2562859119089413	0.0
MSI1	-0.053940460135363355	0.0
DDX19B	-0.30050936782385146	0.0
SNRPA	0.2809359196339864	0.0
TARDBP	0.1095089851317169	0.0
ESRP1	0.5098129097342867	0.0
HNRNPA0	-0.23571970060365782	0.0
HNRNPK	0.824641300972191	0.0
RBM6	-0.15921371533273257	0.0
TRA2A	0.15782653553067463	0.0
SRSF7	-0.2356820150028938	0.0
PHAX	-0.5149793844014854	0.0
SF1	0.24026072699198125	0.0
RBM24	-0.05174994447192634	0.0
PTBP1	-0.3180187234322571	0.0
FMR1	-0.3448438599666376	0.0
PABPC4	-0.0871616054853658	0.0
CSTF2	0.4399165916167871	0.0
SRRM1	0.13815689593025493	0.0
SRSF6	-0.10287667084298152	0.0
KHDRBS3	-0.2987550492682719	0.0
NOVA1	0.19235292627773837	0.0
SRSF1	-0.16417690511582714	0.0
CMTR1	-0.37993668783957135	0.0
HNRNPLL	-0.2958581028961528	0.0
HNRNPL	-0.39254794849046937	0.0
ZFP36	0.01088357446065398	0.0
NXF1	0.16337838695818524	0.0
SNRNP70	0.12811921775711532	0.0
NONO	-0.2683047674424649	0.0
PUM2	0.5689064245811479	0.0
SFPQ	0.34333139914309585	0.0
AKAP1	-0.10204257340837439	0.0
IFIH1	0.058296869020042164	0.0
CFTR	-0.06047179325314378	0.0
G3BP1	-0.14141407951272916	0.0
EIF4B	-0.27267409978348933	0.0
CPEB2	-0.10182102141624691	0.0
SYNCRIP	0.4984916695810715	0.0
HNRNPC	-0.06901999295959868	0.0
YBX1	-0.07769415433147374	0.0
SRSF9	0.008072678113245118	0.0
RBM25	0.10296906771780613	0.0
PUM1	-0.5460223271514634	0.0
HNRNPDL	0.32575327861070075	0.0
SSB	-0.12206765273476475	0.0
HNRNPH3	-0.4417643849329963	0.0
TIAL1	0.4233966757601688	0.0
RBM14	-0.1693297360285441	0.0
FUS	-0.031024199037251163	0.0
PPRC1	0.1604119348192581	0.0
RBM3	-0.1970444881889237	0.0
(Intercept)	-2.649263617476473	0.0
