	Estimate	p-value
NELFE	0.24963444004348803	0.0
AGO1	0.17685477333203659	0.0
SRP14	-0.5877262449451934	0.0
SRP68	0.47718444939863874	0.0
NXF1	0.23838159578129936	0.0
ZFP36	-0.10561742957562631	0.0
CPEB1	-0.36587685215117977	0.0
SNRNP70	0.4317851207112652	0.0
NCL	-0.02617165288758949	0.0
DHX58	0.054681976116871145	0.0
MBNL1	0.7436508298216866	0.0
PUM2	-0.11875217860984866	0.0
AKAP1	0.05292588737378301	0.0
PABPC1	-0.38015998044311106	0.0
SFPQ	-0.32618834560079896	0.0
CNOT4	-0.20642516467732192	0.0
RBM8A	-0.41979530678666443	0.0
ESRP2	0.0690543847550667	0.0
CELF2	-0.17751955464293404	0.0
SRSF11	0.15308773077138824	0.0
RBM42	-0.45876029091186477	0.0
IFIH1	-0.10773872735570447	0.0
QKI	-0.8631708712963304	0.0
RBMS1	0.1886806549448025	0.0
PCBP1	0.19285545605118654	0.0
GRN	0.17978419518162397	0.0
MSI1	-0.3053378728601704	0.0
ERI1	-0.31989127681585666	0.0
G3BP2	0.34613184624704485	0.0
ACO1	-0.20607471161622615	0.0
G3BP1	0.3672707134870685	0.0
CPEB4	-0.4501804166031584	0.0
IGF2BP2	0.08399675834112977	0.0
EIF4B	-0.04809728782184297	0.0
SYNCRIP	0.531742647136487	0.0
RBFOX2	0.24555664022138177	0.0
XPO5	0.061546117357743235	0.0
ESRP1	0.6140533032382215	0.0
SNRPB2	-0.2292094527854509	0.0
SRSF2	-0.15028439563049883	0.0
SRSF4	0.14100356303774125	0.0
RBMS3	-0.3245839364785193	0.0
RBM25	-0.07484301911012925	0.0
TRA2A	0.6037662581229482	0.0
NOVA2	-0.00799433075844963	0.0
RALY	-0.3506243969555718	0.0
OAS1	0.15212328388089735	0.0
TIAL1	0.011763109371560332	0.0
CELF5	-0.6102654026567542	0.0
GRSF1	0.31157171186763555	0.0
KHDRBS3	-0.2525082692894557	0.0
PPRC1	0.2856427738436712	0.0
SP1	-0.05103479935646882	0.0
(Intercept)	-5.724139904364459	0.0
