	Estimate	p-value
NELFE	-0.18988169587790846	0.0
AGO1	-0.0029254183963787206	0.0
SRP68	0.0415189171198887	0.0
DHX58	0.09907720026171701	0.0
CELF2	-0.28626186963255346	0.0
HNRNPU	-0.2567457279595382	0.0
QKI	-0.15036952245870372	0.0
RBMS1	-0.23194715480667513	0.0
PCBP1	0.348696147183882	0.0
CPEB4	0.21786108606362423	0.0
IGF2BP2	-0.05973100857964503	0.0
SF3B4	0.2868344000328965	0.0
U2AF2	-0.05629168377184329	0.0
RBFOX2	0.5559721908446148	0.0
SRSF2	-0.2559798712408423	0.0
SAMD4A	-0.06006159372564146	0.0
RALY	-0.0902613474479036	0.0
YBX2	-0.02279672623635154	0.0
HNRNPH2	0.15501081910748232	0.0
TUT1	-0.16331658810629107	0.0
FXR1	0.20015626850363638	0.0
HNRNPH1	-0.09331952556202079	0.0
NUDT21	0.03142731710836169	0.0
ERI1	-0.04562603950224611	0.0
PCBP2	-0.02850017897276695	0.0
SRP14	-0.19495217948402443	0.0
CPEB1	-0.43444809718170097	0.0
TIA1	-0.2592382408836184	0.0
ZFP36L2	0.02367022320258899	0.0
PABPC1	0.03295346282831518	0.0
RBM8A	-0.3272091535556646	0.0
HNRNPM	0.15737002214551324	0.0
ESRP2	-0.05187259843436082	0.0
SRSF11	0.25233495357878877	0.0
RBM42	0.3155968891682149	0.0
GRN	0.05432354738253031	0.0
CELF4	0.1601985023890465	0.0
YTHDC1	-0.19971694832593914	0.0
ACO1	0.015022843983433735	0.0
IGHMBP2	-0.06648509477430431	0.0
SRSF5	0.20292049692054476	0.0
SRP54	-0.3642980460809613	0.0
SNRPB2	-0.1117763087696993	0.0
SRSF10	-0.36629324311893574	0.0
RC3H1	0.09949360402607557	0.0
SUPV3L1	-0.047321692919058495	0.0
OAS1	0.09095714022113645	0.0
DHX9	0.012627525274500041	0.0
HNRNPAB	-0.29483155486796725	0.0
CELF5	-0.16745869613903638	0.0
ZNF638	0.010797048987586294	0.0
RBM38	-0.09559909547536488	0.0
ADAR	-0.1886229442406094	0.0
ELAVL1	0.17528937221772178	0.0
PPIE	0.3380360193680589	0.0
KHSRP	-0.33769723990544304	0.0
RBM5	-0.17941538190624318	0.0
SRP19	0.18916121159213536	0.0
EIF4A3	-0.26952811386866626	0.0
MSI1	-0.11960424788574121	0.0
DDX19B	-0.2477496417784273	0.0
SNRPA	-0.26392711506156613	0.0
TARDBP	-0.13007018201023496	0.0
ESRP1	0.3991410933229013	0.0
HNRNPK	0.08524527108269073	0.0
RBMS3	-0.034862352825374816	0.0
TRA2A	0.3500610886307645	0.0
SRSF7	0.7509761132695182	0.0
SF1	-0.3153270009352782	0.0
RBM24	0.019241400243818513	0.0
FMR1	-0.044298110388472305	0.0
PABPC4	-0.40654828060923043	0.0
SRRM1	-0.21754822546646002	0.0
SRSF6	-0.28178988786873593	0.0
KHDRBS3	0.16421178102175585	0.0
NOVA1	0.05003223534861462	0.0
CMTR1	-0.03356083845469282	0.0
HNRNPLL	-0.34635765114827216	0.0
SRSF3	-0.09291506669088995	0.0
HNRNPL	-0.19544609902916676	0.0
NXF1	0.42865169168511585	0.0
SNRNP70	-0.2083342663706827	0.0
NCL	0.19758617101053683	0.0
AKAP1	0.21813346938578085	0.0
SFPQ	0.5853105713104538	0.0
IFIH1	0.005450558125770753	0.0
G3BP1	0.26517477113580284	0.0
DDX58	0.008849210574017718	0.0
SYNCRIP	0.3908203661543146	0.0
YBX1	-0.05309805479309411	0.0
SRSF9	0.03706698662506938	0.0
RAVER1	0.12954027172820137	0.0
NOVA2	-0.1449868843462203	0.0
PUM1	0.05615579863409206	0.0
HNRNPDL	-0.17600063661055576	0.0
SSB	0.2137500858901592	0.0
HNRNPH3	-0.5861627090516155	0.0
TIAL1	-0.3096507796784598	0.0
FUS	0.3833259809397209	0.0
PABPN1	-0.03719451381173203	0.0
PPRC1	0.15261268032574793	0.0
RBM3	-0.05525596983423674	0.0
(Intercept)	0.22676001060704798	0.0
