	Estimate	p-value
NELFE	-0.47409777996484437	0.0
DHX58	-0.21715553897004738	0.0
CELF2	0.02477916230535382	0.0
HNRNPU	0.17063257918225383	0.0
QKI	0.08831227543372706	0.0
HNRNPA1	0.8702440462375007	0.0
RBMS1	0.2810818225153355	0.0
G3BP2	-0.6458283243622123	0.0
CPEB4	-0.08692287205259447	0.0
IGF2BP2	-0.11759716269763897	0.0
SF3B1	-0.913656309691866	0.0
RBFOX2	0.8073086319799263	0.0
SRSF2	0.4290382631523999	0.0
SAMD4A	-0.04698556559862721	0.0
RALY	-0.36503193516585136	0.0
YBX2	-0.054830112642004436	0.0
TUT1	0.1988804930098504	0.0
FXR1	0.0012826976389476719	0.0
HNRNPH1	0.4325086236731023	0.0
NUDT21	0.23183906722702252	0.0
ERI1	-0.08493605528496001	0.0
HNRNPD	0.5652507880571137	0.0
SP1	-0.39230153957142483	0.0
PCBP2	-0.5611794718062426	0.0
SRP14	-0.3847006628038108	0.0
CPEB1	0.5204114161676674	0.0
TIA1	-0.13308427166353248	0.0
ZFP36L2	-0.007882735708937688	0.0
PABPC1	-0.3777960422120962	0.0
RBM8A	-0.14213931129026297	0.0
HNRNPM	-0.4452050712240124	0.0
ESRP2	0.0429985750549684	0.0
AGO2	0.09438257610263157	0.0
FXR2	-0.014052228312050288	0.0
RBM42	0.22246463341682216	0.0
GRN	0.2671854226928153	0.0
CELF4	-0.4598550505205624	0.0
YTHDC1	-0.15793034893427368	0.0
TRA2B	0.7565525862456421	0.0
ACO1	0.12000336225335309	0.0
HNRNPF	-0.11289825047439522	0.0
IGHMBP2	-0.30449158624711636	0.0
SRSF5	0.448537021354966	0.0
SRP54	0.5776634574414106	0.0
SNRPB2	-0.30305539461854136	0.0
RBMX	-0.9131982647680655	0.0
SRSF10	-1.6361631406304205	0.0
SRSF4	0.6239858309520661	0.0
SUPV3L1	0.5466712664860285	0.0
OAS1	0.0293191380398361	0.0
DHX9	-0.051964751019695055	0.0
CELF1	-0.19903280694291908	0.0
HNRNPAB	-0.02620566510822605	0.0
ZNF638	-0.43900520083412997	0.0
KHDRBS1	-0.4933930364672154	0.0
RBM38	-0.010744206748417806	0.0
ADAR	0.5103786908788184	0.0
ELAVL1	-0.8352046700643928	0.0
PPIE	0.17152090489010585	0.0
RBM5	-0.26892087249998314	0.0
DAZAP1	0.08756808397830627	0.0
MBNL1	0.5614465137495255	0.0
SRP19	0.0568612213851836	0.0
EIF4A3	-0.2580249832188358	0.0
CNOT4	-0.3378423378561979	0.0
HNRNPA2B1	0.18212421831889364	0.0
MSI1	-0.004493619891324685	0.0
DDX19B	-0.2225184040665032	0.0
SNRPA	0.5101668365229064	0.0
ESRP1	0.8790653953740982	0.0
HNRNPA0	-0.4354859772710299	0.0
RBMS3	0.10459413041103681	0.0
RBM6	0.07692168122546741	0.0
TRA2A	0.7538756354540601	0.0
PHAX	0.15445777963916876	0.0
RBM24	-0.16661644732408884	0.0
FMR1	0.09272453510725903	0.0
PABPC4	-0.32489145418405685	0.0
CSTF2	0.4590829387213075	0.0
GRSF1	-0.08682610865743753	0.0
KHDRBS3	-0.011197694031406302	0.0
NOVA1	-0.5895460112929469	0.0
HNRNPLL	0.020493545647761652	0.0
ZFP36	-0.13285618037598354	0.0
NCL	-0.49641179241035105	0.0
PUM2	0.8216947928775413	0.0
AKAP1	0.15557734715984212	0.0
SFPQ	0.7702064375398452	0.0
IFIH1	-0.049574885045955086	0.0
CFTR	-0.03222746113701186	0.0
G3BP1	0.31487236773068217	0.0
CPEB2	0.16983235132953273	0.0
SYNCRIP	-0.22824990786633834	0.0
YBX1	-0.0751259913807619	0.0
RAVER1	0.4027438194772016	0.0
RBM25	0.03691745380336331	0.0
NOVA2	0.1283996678542612	0.0
PUM1	0.4578726580061422	0.0
SSB	0.7228166624475698	0.0
HNRNPH3	-0.18432570236215873	0.0
TIAL1	0.5896217975750888	0.0
RBM14	-0.00843589474849854	0.0
FUS	0.16424953064480075	0.0
PABPN1	-0.25284974788924564	0.0
PPRC1	-0.20212109753590526	0.0
ZRANB2	-0.6759693453660239	0.0
(Intercept)	-8.95563150018394	0.0
