	Estimate	p-value
NELFE	-0.3752202001673782	0.0
AGO1	-0.4644299576247697	0.0
DHX58	0.153703214970937	0.0
CELF2	-0.9750562475085262	0.0
QKI	0.22886785964749262	0.0
HNRNPA1	-0.26984556359732226	0.0
G3BP2	0.3763353330604241	0.0
CPEB4	0.16334617746921243	0.0
IGF2BP2	-0.05801754642554546	0.0
SF3B1	0.4390012173047588	0.0
XPO5	-0.1278013250385724	0.0
SAMD4A	1.0544647386449384	0.0
RALY	0.009518859685884534	0.0
YBX2	0.545801544643373	0.0
TUT1	-0.5553013079665524	0.0
FXR1	0.9788812169971259	0.0
HNRNPH1	0.30981933733990996	0.0
HNRNPD	-0.07000194366601752	0.0
PCBP2	-0.3607979140020512	0.0
SRP14	-0.4937638503099378	0.0
CPEB1	-0.20183392889411103	0.0
TIA1	-0.5443174519115522	0.0
RBM8A	0.127828958433658	0.0
ESRP2	-0.6676397821228139	0.0
AGO2	0.3095593598508657	0.0
RBM42	0.18906232899762504	0.0
GRN	-0.044244441849229994	0.0
ACO1	-0.4467673751298357	0.0
IGHMBP2	-0.42667292673518303	0.0
SRSF5	-0.13678062569627047	0.0
SRP54	0.31261326733466516	0.0
SRSF4	-0.5824223820969245	0.0
SUPV3L1	-0.01528148529135484	0.0
OAS1	-0.058793567658328307	0.0
CELF1	0.45795241604087006	0.0
HNRNPAB	-0.12057740109070994	0.0
KHDRBS1	-0.4883776492069569	0.0
RBM38	0.03144029513220144	0.0
ADAR	-0.1730286861374294	0.0
PPIE	0.10504086496455914	0.0
KHSRP	0.25043418784537197	0.0
ZCRB1	-0.4203460477307345	0.0
MBNL1	-0.3417138364618689	0.0
SRP19	-0.31362017011842563	0.0
CNOT4	-0.31948986474817903	0.0
MSI1	0.030815776521132744	0.0
DDX19B	-0.7591155894444694	0.0
SNRPA	0.21624099297043242	0.0
HNRNPA0	0.003233740275539812	0.0
RBMS3	-0.08460523916364662	0.0
RBM6	0.3577454404621152	0.0
TRA2A	-0.056545246998420215	0.0
SRSF7	-0.031230146974578626	0.0
RBM24	0.6569433647975964	0.0
FMR1	0.24408351309493423	0.0
PABPC4	0.05967234963215637	0.0
CSTF2	0.6531648548154444	0.0
SRRM1	0.19515822454060652	0.0
GRSF1	-0.3520525547852494	0.0
KHDRBS3	-0.06509281334721423	0.0
CMTR1	-0.08225428225983444	0.0
SRSF3	-0.20416949179761645	0.0
ZFP36	0.07658062788544681	0.0
SNRNP70	0.7569359743724124	0.0
NCL	-0.381391543045244	0.0
NONO	-0.24284811722121596	0.0
AKAP1	0.3768161200542003	0.0
SFPQ	-0.34321906274274144	0.0
PUM2	0.16262416317929593	0.0
IFIH1	-1.1591307732641618	0.0
CFTR	0.6059295475979489	0.0
CPEB2	0.23787057862329422	0.0
SYNCRIP	-0.20418220586555547	0.0
YBX1	-0.448989096029218	0.0
RBM25	-0.07719269495521713	0.0
FUS	-0.5630093650297363	0.0
RBM3	0.2933197191866172	0.0
(Intercept)	14.24219099636927	0.0
