	Estimate	p-value
NELFE	-0.260782780317088	0.0
SRP68	0.1385145844452623	0.0
DHX58	0.08045674243950972	0.0
CELF2	-0.23296440294477272	0.0
HNRNPU	0.7995758253797901	0.0
QKI	-0.08536988912625272	0.0
HNRNPA1	-0.0014369554014944663	0.0
RBMS1	0.276315316335353	0.0
G3BP2	0.2641302890738383	0.0
IGF2BP2	-0.0428132512177381	0.0
SF3B4	0.4537710172858211	0.0
U2AF2	-0.3722059960300996	0.0
XPO5	-0.11381525861204961	0.0
SRSF2	0.044167452106942735	0.0
SAMD4A	0.12136989265548485	0.0
YBX2	0.12647976853746487	0.0
HNRNPH2	-0.226395856306541	0.0
TUT1	0.059398657350066816	0.0
FXR1	0.028454806292384685	0.0
HNRNPH1	-0.20915349835262487	0.0
ERI1	-0.14110800613623442	0.0
HNRNPD	-0.09154514236873018	0.0
PCBP2	-0.3914336567701596	0.0
CPEB1	-2.379078998942537	0.0
HNRNPA3	-0.4895514624113041	0.0
PABPC1	0.05236036555054219	0.0
RBM8A	0.3566229138058439	0.0
HNRNPM	0.9389099713561695	0.0
ESRP2	0.3736959011752192	0.0
AGO2	0.24724991265349316	0.0
FXR2	-0.2731609691303928	0.0
RBM42	-0.29202995034286927	0.0
GRN	0.18297641600386894	0.0
TRA2B	0.12565539040012907	0.0
ACO1	-0.08100579065280317	0.0
HNRNPF	0.24419946536856735	0.0
SRSF5	-0.4209860685340705	0.0
SRP54	-0.22796864755938365	0.0
SNRPB2	-0.07434160011038243	0.0
RBMX	0.45430489723189205	0.0
SRSF10	0.2486499608762041	0.0
OAS1	0.0836540851013508	0.0
DHX9	-0.19312161306864017	0.0
HNRNPAB	-0.14991024093559202	0.0
CELF5	-0.041543822511689976	0.0
RBM38	-0.021973619082390886	0.0
ADAR	-0.515596064778306	0.0
ELAVL1	-0.7845649240496835	0.0
KHSRP	-0.5889898729299446	0.0
DAZAP1	0.38714525982112424	0.0
MBNL1	0.5314240621480013	0.0
SRP19	-0.00207417643923391	0.0
CNOT4	0.30966899980999024	0.0
HNRNPA2B1	0.24431171542853947	0.0
MSI1	-0.06321135055249827	0.0
DDX19B	-0.22822816959564896	0.0
ESRP1	0.3395375518535577	0.0
RBMS3	0.43752470241229613	0.0
RBM6	-0.2562836342916057	0.0
TRA2A	-0.25082168613056144	0.0
SRSF7	0.1584738903944392	0.0
PHAX	0.18294068723294354	0.0
SF1	-0.11270899188137345	0.0
RBM24	0.0009765045033370834	0.0
FMR1	-0.008142441799811717	0.0
PABPC4	-0.13004703911341842	0.0
CSTF2	0.12796827107062111	0.0
SRRM1	0.4525451806192301	0.0
GRSF1	-0.010473839840711097	0.0
KHDRBS3	0.2126202427538606	0.0
SRSF1	0.02380098483680776	0.0
CMTR1	-0.3025668791868503	0.0
HNRNPLL	-0.07306328916545973	0.0
NXF1	0.49795624252034526	0.0
ZFP36	-0.014497987932283907	0.0
NCL	0.18273712040191875	0.0
NONO	-0.39888316486029013	0.0
AKAP1	0.012491766523238246	0.0
SFPQ	-0.2655196245107124	0.0
G3BP1	-0.023216270465636624	0.0
EIF4B	-0.1186260123029037	0.0
CPEB2	-0.07285020052505509	0.0
SRSF9	0.266481070996774	0.0
NOVA2	-0.41781692792380476	0.0
PUM1	-0.43770446564007176	0.0
HNRNPH3	-0.751726543952598	0.0
FUS	0.7405720567661537	0.0
PPRC1	-0.23447728536591672	0.0
RBM3	0.2489757539597604	0.0
ZRANB2	0.10336601582289118	0.0
(Intercept)	-4.2316943796646544	0.0
