	Estimate	p-value
SRP68	0.10762850612890162	0.0
DHX58	-0.010468399464072964	0.0
CELF2	-0.3185725621276956	0.0
RBMS1	0.5301289815428327	0.0
HNRNPA1	-0.2291786312276435	0.0
G3BP2	-0.20167732145469963	0.0
SF3B4	0.566794924084008	0.0
SF3B1	-0.022398280356918432	0.0
U2AF2	0.4297171048289593	0.0
RBFOX2	0.5978253830996573	0.0
XPO5	-0.1342653606197141	0.0
TUT1	-0.4718476840005863	0.0
FXR1	0.4743017868189006	0.0
HNRNPH1	0.10294069219082158	0.0
ERI1	-0.38265616346888087	0.0
SP1	-0.45512478912697646	0.0
PCBP2	-0.440371053921439	0.0
SRP14	-0.5536995911614031	0.0
CPEB1	2.1163887728138246	0.0
ZFP36L2	0.04275728083078245	0.0
HNRNPA3	-0.7764070662028508	0.0
PABPC1	-0.21186016792666224	0.0
RBM8A	0.2509492545577008	0.0
ESRP2	-0.17692046154568195	0.0
RBM42	0.2118496457666633	0.0
GRN	0.24331110902583802	0.0
YTHDC1	0.2984947329203212	0.0
TRA2B	0.10228499012427672	0.0
ACO1	-0.28364146824343933	0.0
IGHMBP2	0.05699680226762516	0.0
SRSF5	0.12165603783797324	0.0
SNRPB2	-0.10594194916597088	0.0
SRSF4	-0.21541395808425323	0.0
RC3H1	0.9564778014657346	0.0
SUPV3L1	-0.3891629298088568	0.0
OAS1	-0.08218497734078639	0.0
CELF1	0.48032746431071166	0.0
HNRNPAB	0.1517128827635592	0.0
KHDRBS1	-0.06434676941090367	0.0
RBM38	0.0063726140488834515	0.0
ELAVL1	-0.8414012211590053	0.0
KHSRP	0.6725782265580744	0.0
RBM5	-0.0881141429711352	0.0
ZCRB1	0.32605902106679535	0.0
DAZAP1	1.1936330427552924	0.0
MBNL1	0.17532789489221812	0.0
SRP19	0.36753823522222767	0.0
EIF4A3	-0.057956832557912175	0.0
MSI1	-0.1469324302165878	0.0
DDX19B	-0.21158625101037082	0.0
ESRP1	0.9702776711561469	0.0
RBMS3	0.21623572057985177	0.0
RBM6	-0.6825981410597337	0.0
PHAX	-0.25260514619681673	0.0
SF1	-0.7880482449352699	0.0
RBM24	-0.4802444951150655	0.0
PTBP1	-1.2023319193970559	0.0
FMR1	-0.6789707020414584	0.0
PABPC4	0.2958464923167854	0.0
CSTF2	0.06418869218301554	0.0
SRRM1	-0.7784783746697703	0.0
GRSF1	0.5397402576190307	0.0
SRSF6	0.19670534242693005	0.0
NOVA1	0.08298011303200042	0.0
HNRNPLL	-0.2970544999266046	0.0
NXF1	0.16731354124026893	0.0
ZFP36	-0.11488661615812268	0.0
NONO	0.7623678918391118	0.0
SFPQ	0.7217067293060222	0.0
CFTR	-0.15389061678827543	0.0
EIF4B	0.575700878435555	0.0
DDX58	0.46591378136738226	0.0
CPEB2	-0.18787136482868538	0.0
YBX1	0.11935762605373146	0.0
SRSF9	0.10915288524445356	0.0
RAVER1	-0.47062101378189586	0.0
RBM25	0.37946687742415497	0.0
NOVA2	-0.6775644254161548	0.0
HNRNPH3	-0.015276421576124855	0.0
RBM14	0.4492120406728777	0.0
FUS	-0.18846176002740356	0.0
PABPN1	-0.9928158690923066	0.0
PPRC1	-0.38307173191446797	0.0
RBM3	0.25744080911093165	0.0
(Intercept)	-6.039619235278535	0.0
