	Estimate	p-value
AGO1	-0.046278088040813785	0.0
CELF2	-0.4941115470060223	0.0
HNRNPA1	-0.2767001378524339	0.0
QKI	-0.0974034727560142	0.0
RBMS1	0.08553110487041765	0.0
G3BP2	0.22602931151581807	0.0
CPEB4	-0.16014454036993805	0.0
IGF2BP2	0.04660755966478733	0.0
SF3B4	-0.011396924463832808	0.0
SF3B1	-0.06387260769788951	0.0
RBFOX2	0.17174429255877394	0.0
SAMD4A	0.11244255723142885	0.0
YBX2	-0.18664171466730947	0.0
TUT1	-0.026942572678772203	0.0
FXR1	0.038783130013165745	0.0
NUDT21	-0.2419745219926262	0.0
ERI1	-0.242196311908015	0.0
HNRNPD	0.1710623946100326	0.0
PCBP2	0.02572413397781416	0.0
SRP14	-0.32953985736078517	0.0
CPEB1	-0.06493112220492947	0.0
PABPC1	-0.09368908312878832	0.0
RBM8A	0.13540541474137313	0.0
ESRP2	0.11580850531518783	0.0
AGO2	-0.21232331659027567	0.0
FXR2	-0.06847940873609731	0.0
RBM42	-0.27881920868869187	0.0
GRN	0.31792236216701397	0.0
CELF4	-0.12799302833569684	0.0
YTHDC1	0.18934893609429385	0.0
IGHMBP2	0.025865048326430523	0.0
SRP54	0.01615540637853427	0.0
SNRPB2	-0.11803753953726492	0.0
SRSF10	-0.0731319290929136	0.0
SRSF4	-0.2162940616938987	0.0
RC3H1	-0.259496093497719	0.0
OAS1	0.09467915626618692	0.0
DHX9	0.1357249697078596	0.0
CELF1	0.5910591377246213	0.0
ZNF638	0.22335961793183054	0.0
KHDRBS1	-0.34310346912345263	0.0
RBM38	-0.0469449573999496	0.0
ADAR	-0.46459574106408175	0.0
ELAVL1	0.27807711360275816	0.0
PPIE	0.2587214907450637	0.0
KHSRP	-0.2066917624349521	0.0
RBM5	-0.031808517890982144	0.0
DAZAP1	-0.0538411325956387	0.0
MBNL1	0.2641994414587541	0.0
SRP19	-0.2919718977061605	0.0
EIF4A3	-0.051615092750480956	0.0
HNRNPA2B1	0.13675419814583123	0.0
MSI1	0.043507719850468696	0.0
DDX19B	0.10994474877218822	0.0
SNRPA	0.2455566491786806	0.0
ESRP1	0.7636391641400433	0.0
HNRNPA0	0.3765023523115304	0.0
RBMS3	-0.13509599792931667	0.0
RBM6	0.009999426151299506	0.0
SRSF7	-0.1565313854800717	0.0
PHAX	0.0910133619015989	0.0
RBM24	0.071421766749006	0.0
FMR1	-0.06771330942892848	0.0
PABPC4	-0.12474106123883147	0.0
SRRM1	0.1585293324905452	0.0
GRSF1	-0.33595357181954677	0.0
NOVA1	-0.22227202332909346	0.0
CMTR1	-0.11043337684857411	0.0
HNRNPLL	-0.44960086316165715	0.0
HNRNPL	0.015123267482589527	0.0
NXF1	-0.28172860881696987	0.0
ZFP36	0.003768806149648196	0.0
SNRNP70	-0.06600181265243676	0.0
NCL	-0.025702019322376483	0.0
SFPQ	0.059243041181359035	0.0
IFIH1	0.16281333248836263	0.0
CFTR	0.2072807832695387	0.0
G3BP1	0.06422866767457494	0.0
EIF4B	0.11339133884001124	0.0
DDX58	0.002451011164718367	0.0
SRSF9	-0.16319444726285365	0.0
RAVER1	0.05580526831147056	0.0
RBM25	0.45737824086510154	0.0
NOVA2	0.3400767392391969	0.0
HNRNPDL	-0.19731891378969565	0.0
SSB	0.3080835605530534	0.0
HNRNPH3	0.2240622360079108	0.0
RBM14	-0.34164758667501693	0.0
FUS	0.33421863571769783	0.0
PABPN1	-0.358043925232352	0.0
RBM3	0.09557639468373552	0.0
(Intercept)	0.5072579359860288	0.0
