	Estimate	p-value
NELFE	-0.21946011246198913	0.0
SRP14	-0.4449332313553919	0.0
ZFP36	0.08690060066647745	0.0
DHX58	0.6101988464108467	0.0
ESRP2	0.0637698530483873	0.0
CELF2	-0.2219555342580247	0.0
RBM42	-0.23290975950723658	0.0
QKI	-0.34173165525640375	0.0
RBMS1	0.38801039979912194	0.0
CFTR	0.12212739359321714	0.0
GRN	-0.18143333984406168	0.0
CELF4	-0.3178598031550452	0.0
MSI1	0.014073120852837365	0.0
G3BP1	0.2586090199460871	0.0
IGF2BP2	-0.07588299036546331	0.0
RBFOX2	0.4071585515287589	0.0
ESRP1	0.3177003271563147	0.0
SAMD4A	0.1281274642074724	0.0
RBM6	-0.6334430594766585	0.0
OAS1	-0.05937840975734089	0.0
HNRNPH3	-0.3997226913250422	0.0
FMR1	-0.132371420137585	0.0
YBX2	-0.21220303013368577	0.0
GRSF1	0.2504383377356647	0.0
SRSF6	0.4520323413205269	0.0
PABPN1	0.5063608200454116	0.0
RBM38	-0.2524736496982668	0.0
NOVA1	-0.1791476859954666	0.0
ADAR	-0.4736552075008861	0.0
CMTR1	-0.2772015853830212	0.0
PPRC1	0.3776669419238333	0.0
(Intercept)	0.5776049922117878	0.0
