	Estimate	p-value
NELFE	0.07249888932883918	0.0
AGO1	-0.3134121113963744	0.0
DHX58	-0.1475227195727266	0.0
CELF2	-0.3721707828627401	0.0
QKI	-0.3002181170617551	0.0
PCBP1	0.09952129063156964	0.0
CPEB4	-0.36077388206793537	0.0
IGF2BP2	0.02197098415121823	0.0
SF3B4	-0.19180046236991977	0.0
U2AF2	0.15565883966170974	0.0
RBFOX2	0.42490932732622644	0.0
XPO5	-0.21126115501432863	0.0
YBX2	-0.018733161213923405	0.0
TUT1	-0.4992619464515089	0.0
FXR1	0.28322442747221965	0.0
HNRNPH1	-0.3277571420525907	0.0
NUDT21	0.09725415876795329	0.0
ERI1	-0.8060062935362886	0.0
SP1	0.3700781169461656	0.0
PCBP2	-0.06342569623475097	0.0
CPEB1	0.758169816571393	0.0
ZFP36L2	0.022209824262171718	0.0
HNRNPA3	0.06922056357090872	0.0
PABPC1	-0.22700664747998428	0.0
RBM8A	-0.09503284117781419	0.0
HNRNPM	0.10114879921034202	0.0
AGO2	-0.26942450650717864	0.0
FXR2	-0.16571116139410938	0.0
RBM42	-0.20460292288262347	0.0
GRN	0.17837330775422106	0.0
CELF4	-0.2653044534213487	0.0
TRA2B	-0.14117043432512222	0.0
ACO1	-0.09177288212644066	0.0
HNRNPF	0.12013635031500071	0.0
IGHMBP2	-0.0912623665605393	0.0
SRSF5	0.13678927646250294	0.0
SART3	0.07575938698546045	0.0
SNRPB2	-0.1782285212479992	0.0
RBMX	-0.4555635923421357	0.0
SUPV3L1	0.174658439584368	0.0
CELF1	0.3730269319687797	0.0
HNRNPAB	0.35796842101295595	0.0
CELF5	-0.4694425712497303	0.0
KHDRBS1	-0.37697286489026927	0.0
RBM38	-0.1074081852370217	0.0
ADAR	-0.3464288355303238	0.0
ELAVL1	-0.1377102985297184	0.0
PPIE	-0.016648513439333795	0.0
KHSRP	-0.10908837542454872	0.0
RBM5	-0.18090645627527166	0.0
ZCRB1	0.17234233844300018	0.0
MBNL1	0.009350366836007236	0.0
SRP19	-0.4525109611148699	0.0
EIF4A3	-0.07914507988354992	0.0
CNOT4	-0.5242899143009863	0.0
MSI1	-0.11907523755240287	0.0
DDX19B	-0.4060757680402232	0.0
SNRPA	-0.29867132564295973	0.0
ESRP1	0.7382094230591172	0.0
HNRNPA0	-0.25820793290291877	0.0
HNRNPK	0.07715819626204755	0.0
RBMS3	0.09073177420878648	0.0
TRA2A	0.16357730866546116	0.0
SRSF7	-0.003262365743151696	0.0
SF1	0.9428689877896808	0.0
RBM24	-0.02321716926104256	0.0
PTBP1	0.011488291073174964	0.0
FMR1	-0.33011588315775053	0.0
PABPC4	-0.011567263721551257	0.0
CSTF2	0.032403383079054576	0.0
SRRM1	-0.03323298449352796	0.0
GRSF1	0.13428753665637816	0.0
SRSF6	-0.11579838825058647	0.0
KHDRBS3	-0.15854684183037424	0.0
NOVA1	-0.2918386377734504	0.0
SRSF1	0.6196007499840126	0.0
CMTR1	0.006785460789769382	0.0
HNRNPLL	-0.5740086510468686	0.0
SRSF3	0.220503400948579	0.0
HNRNPL	-0.2761678829095367	0.0
ZFP36	0.03500519767382143	0.0
SNRNP70	-0.1710511678197942	0.0
NCL	0.012311293290451192	0.0
NONO	0.3107847450501582	0.0
AKAP1	-0.2884174452560524	0.0
SFPQ	0.07770592521413665	0.0
PUM2	-0.06498908483521076	0.0
IFIH1	-0.040876835715846105	0.0
CFTR	0.08107535334644289	0.0
G3BP1	0.2758882101637401	0.0
CPEB2	0.25298789478360384	0.0
SYNCRIP	0.2052924358454487	0.0
HNRNPC	0.3246312081562147	0.0
YBX1	-0.11779116440016969	0.0
SRSF9	-0.42698117159974186	0.0
RAVER1	-0.08447720115504284	0.0
NOVA2	-0.6744148065661932	0.0
PUM1	-0.04439900041326761	0.0
HNRNPDL	-0.08840038254420945	0.0
SSB	-0.06244850908512073	0.0
HNRNPH3	-0.5792794948326363	0.0
FUS	0.6508752468774698	0.0
PPRC1	0.012084632508742504	0.0
RBM3	-0.23082413895929266	0.0
ZRANB2	-0.13427692666838661	0.0
(Intercept)	5.473135190277884	0.0
