	Estimate	p-value
PCBP2	0.07471467636560858	0.0
NELFE	0.12308936942255899	0.0
ZFP36	0.11927202951900298	0.0
NXF1	0.28097899831450013	0.0
TIA1	-0.4402738832614861	0.0
SNRNP70	-0.03887120393266674	0.0
NCL	-0.43066250410563434	0.0
DAZAP1	-0.060295358158975465	0.0
DHX58	-0.08534518009809289	0.0
HNRNPA3	-0.19736461892038976	0.0
MBNL1	-0.5995917071003354	0.0
SRP19	0.29256507759744377	0.0
EIF4A3	-0.3402970824507695	0.0
PABPC1	-0.019497376526906335	0.0
ESRP2	-0.45001873721527447	0.0
AGO2	-0.4485094999999486	0.0
HNRNPU	0.08632919525472606	0.0
FXR2	0.09288154948711713	0.0
QKI	-0.3940426561243381	0.0
RBMS1	-0.42536635157610125	0.0
CFTR	0.3654328581395907	0.0
GRN	0.23936855865059858	0.0
MSI1	0.47423115179902586	0.0
G3BP2	-0.1873767340299679	0.0
CPEB4	0.23320051366348532	0.0
SNRPA	-0.7220865014791764	0.0
SART3	0.6842265526318287	0.0
HNRNPC	-0.17620568156804234	0.0
YBX1	0.046214725053625325	0.0
RBFOX2	0.7076652392230638	0.0
XPO5	0.6440641433428608	0.0
SRP54	0.09523537349565733	0.0
SRSF9	-0.870165044515719	0.0
SNRPB2	-0.33629197964953866	0.0
SRSF2	0.21104331807539028	0.0
RBMX	0.26368197789525105	0.0
SAMD4A	-0.3626076220639357	0.0
RBMS3	0.34043447205272764	0.0
RAVER1	-0.11810196208219825	0.0
SRSF7	-0.47266604323733025	0.0
OAS1	0.3998444674706887	0.0
PHAX	0.5965529896416764	0.0
HNRNPD	-0.46560516294763277	0.0
DHX9	1.0488787042238612	0.0
RBM24	0.07304457942074866	0.0
CELF1	0.043565110797358586	0.0
TIAL1	-0.5393485996408374	0.0
FUS	0.07320332354733688	0.0
SRRM1	0.14106895178252554	0.0
CELF5	-0.1516299456012958	0.0
HNRNPH2	-0.06438540763328415	0.0
PABPN1	0.5202682336052196	0.0
TUT1	-0.4365705172760064	0.0
KHDRBS3	-0.04344253574866111	0.0
FXR1	-0.07404265069779659	0.0
NOVA1	-0.49619090415425005	0.0
RBM38	-0.37541212157845594	0.0
ADAR	-1.0690607843451883	0.0
CMTR1	0.06925672885536421	0.0
PPRC1	0.17148122485507256	0.0
HNRNPLL	-0.26902044241896506	0.0
RBM3	0.06312726306637359	0.0
(Intercept)	8.909070713776714	0.0
