	Estimate	p-value
NELFE	-0.43072540357268135	0.0
AGO1	0.1294621574042915	0.0
SRP68	-0.28137228760288024	0.0
CELF2	-0.15391395047823192	0.0
HNRNPU	-0.06429210273547717	0.0
HNRNPA1	-0.12315098413363593	0.0
RBMS1	-0.16496022333668559	0.0
PCBP1	0.6063958209687212	0.0
G3BP2	0.20349261287410228	0.0
IGF2BP2	-0.20417087252097782	0.0
SF3B4	0.5228014768651471	0.0
SF3B1	-0.668056932942972	0.0
RBFOX2	0.49791764004310574	0.0
XPO5	0.3428415384626871	0.0
SAMD4A	-0.3697244530305417	0.0
RALY	0.38907074488892057	0.0
YBX2	-0.13670199786397583	0.0
FXR1	0.5646335368874279	0.0
HNRNPH1	-0.15435533627254083	0.0
NUDT21	0.40141252287205464	0.0
ERI1	0.2579391804558161	0.0
PCBP2	0.2072957797048698	0.0
TIA1	-0.010173905604035124	0.0
ZFP36L2	0.0909766446183251	0.0
HNRNPA3	-0.24319270113442948	0.0
PABPC1	-0.11442953365810977	0.0
RBM8A	0.0628775164892996	0.0
HNRNPM	-0.47531963497785634	0.0
ESRP2	0.09939582971621576	0.0
AGO2	0.41405108175312194	0.0
FXR2	-0.3929169046478942	0.0
SRSF11	-0.21910198120991087	0.0
RBM42	-0.2941341129448992	0.0
GRN	0.03509925558345038	0.0
TRA2B	0.14434745288925252	0.0
ACO1	-0.04560511630380559	0.0
IGHMBP2	0.2812272770118108	0.0
SRP54	-0.013922708585895865	0.0
SNRPB2	-0.18342087917923117	0.0
RBMX	0.23008303066713565	0.0
SRSF10	0.4866033928981319	0.0
SRSF4	0.267969505175596	0.0
RC3H1	0.26530855723243574	0.0
SUPV3L1	-0.2701958043589623	0.0
OAS1	-0.003863686404117661	0.0
DHX9	0.17124556372996314	0.0
CELF1	0.05408578513419071	0.0
CELF5	0.032246974990174135	0.0
ZNF638	-0.31518345228733075	0.0
KHDRBS1	-0.35641476767242963	0.0
RBM38	0.005794626294139488	0.0
ADAR	0.19310276408157181	0.0
ELAVL1	-0.16120368804123125	0.0
PPIE	-0.2735070356598466	0.0
ZCRB1	0.12043984268102861	0.0
DAZAP1	0.3328968738261935	0.0
MBNL1	-0.27550570334764657	0.0
SRP19	0.08573828318745269	0.0
CNOT4	-0.37003314647938157	0.0
MSI1	-0.1554571741452121	0.0
TARDBP	-0.5733757162447378	0.0
ESRP1	0.3258904822854004	0.0
RBMS3	-0.027024649978413376	0.0
PHAX	-0.20650843145586129	0.0
RBM24	-0.18595337743528184	0.0
PABPC4	0.2996386497848296	0.0
CSTF2	0.2307851305857549	0.0
SRRM1	-0.07765784425510565	0.0
KHDRBS3	0.13349991113555798	0.0
NOVA1	-0.25574198614216476	0.0
SRSF1	-0.45280927095814094	0.0
CMTR1	-0.1973264386621748	0.0
SRSF3	-0.0653843150108892	0.0
HNRNPL	0.5267569756833682	0.0
ZFP36	-0.11013931695872142	0.0
NONO	0.07139017323216508	0.0
AKAP1	0.3289455827783732	0.0
CFTR	-0.01946642057829974	0.0
CPEB2	-0.02080218847350873	0.0
SYNCRIP	-0.5697611645311634	0.0
HNRNPC	-0.11074990513270996	0.0
YBX1	0.09315963545358974	0.0
SRSF9	0.08635165599988291	0.0
RAVER1	0.09281736000045682	0.0
RBM25	0.255837677127235	0.0
NOVA2	0.12198229088358231	0.0
HNRNPDL	0.20057100063853361	0.0
SSB	0.40153203114141534	0.0
HNRNPH3	-0.4177300230386495	0.0
TIAL1	-0.8862251370105381	0.0
RBM14	-0.07683351364886887	0.0
FUS	0.5205904919613995	0.0
PABPN1	0.40054886097931225	0.0
ZRANB2	0.40560009866256785	0.0
(Intercept)	-9.201913397478972	0.0
