	Estimate	p-value
SRP14	-0.30142111817852335	0.0
KHSRP	-0.08300665771962612	0.0
RBM5	-0.4918996861608669	0.0
ZFP36	-0.167024415109346	0.0
NXF1	0.01666165683038428	0.0
NCL	0.21062834826735455	0.0
MBNL1	0.12870699302869565	0.0
CNOT4	-0.3057999612776684	0.0
ESRP2	1.1534952007366621	0.0
G3BP2	0.49553862332122983	0.0
G3BP1	-0.16075195853764188	0.0
CPEB4	-0.39391571580477175	0.0
IGF2BP2	-0.03605097879234356	0.0
HNRNPC	-0.3503374192751175	0.0
RBFOX2	0.29791466584113796	0.0
SRSF9	0.18973695802702306	0.0
HNRNPA0	-0.0658261556853192	0.0
OAS1	-0.04479287620183754	0.0
SF1	-0.48560002096718374	0.0
YBX2	0.14466966394084774	0.0
HNRNPH2	-0.24814769179201965	0.0
PABPN1	0.048043506818505666	0.0
KHDRBS3	-0.2723671176827519	0.0
CMTR1	-0.004941845168258102	0.0
(Intercept)	2.502064086988063	0.0
