	Estimate	p-value
AGO1	0.5551235294878536	0.0
DHX58	0.05355587113354841	0.0
CELF2	-0.009312673966212548	0.0
HNRNPU	-0.899381357401297	0.0
QKI	-0.3094998584370461	0.0
HNRNPA1	-0.6489299003716105	0.0
PCBP1	0.4626189849627749	0.0
RBMS1	0.13179173604961414	0.0
G3BP2	0.2477692076556162	0.0
CPEB4	0.19838558048685806	0.0
IGF2BP2	-0.028509521366314322	0.0
SF3B1	-0.10396845700945989	0.0
RBFOX2	0.8207220051294962	0.0
XPO5	-0.188996900009188	0.0
SAMD4A	-0.06080955927432696	0.0
YBX2	-0.020939215154973156	0.0
TUT1	-0.11912108433426072	0.0
FXR1	-0.46477093109185896	0.0
HNRNPH1	-0.0014551449614357281	0.0
SRP14	-0.15696077494323235	0.0
TIA1	0.014247156486828505	0.0
ZFP36L2	-0.08239828083049884	0.0
HNRNPA3	0.5292345452085016	0.0
PABPC1	0.13266050635815643	0.0
RBM8A	-0.5992500713561555	0.0
HNRNPM	0.3157403327277525	0.0
ESRP2	0.5977390663392008	0.0
AGO2	-0.3877756381179012	0.0
GRN	-0.10923152600796604	0.0
CELF4	-0.009490959407449151	0.0
YTHDC1	-0.07105483274636637	0.0
TRA2B	-0.007718035798517556	0.0
ACO1	0.2940030973748855	0.0
HNRNPF	-0.31509303399263566	0.0
IGHMBP2	0.23120509484874185	0.0
SRSF5	0.2750849246599192	0.0
RBMX	-0.3710638779374097	0.0
RC3H1	-0.4155854084500432	0.0
SUPV3L1	0.5825751615278838	0.0
OAS1	0.04646225532983331	0.0
CELF1	0.04238336104973356	0.0
HNRNPAB	0.062479765688510325	0.0
CELF5	0.8820454310570263	0.0
KHDRBS1	0.4757087760284193	0.0
RBM38	-0.12920555739161685	0.0
ADAR	0.35378717006143057	0.0
PPIE	0.10925839986325449	0.0
RBM5	0.3429519121305351	0.0
ZCRB1	-0.23453503345255636	0.0
DAZAP1	-0.16841246131505147	0.0
MBNL1	0.38176002893606686	0.0
SRP19	-0.05086161508641779	0.0
EIF4A3	0.03790966696337173	0.0
MSI1	0.007891896364072004	0.0
SNRPA	-0.3308782518863742	0.0
ESRP1	0.6278172210030069	0.0
RBMS3	0.33745182869023066	0.0
RBM6	-0.38588632143883933	0.0
TRA2A	0.3934511389055788	0.0
SRSF7	-0.3182096351881265	0.0
RBM24	0.02147945268912907	0.0
PTBP1	0.6537019857448694	0.0
FMR1	-0.15315313648026377	0.0
PABPC4	-0.25885595335360834	0.0
SRRM1	-0.024583660981570277	0.0
SRSF6	0.2101801972349747	0.0
KHDRBS3	0.06889880111541664	0.0
NOVA1	0.027086322392119333	0.0
SRSF1	0.6612559598662633	0.0
CMTR1	-0.22047584613748483	0.0
HNRNPLL	0.10576455985598358	0.0
NXF1	-0.2384585906476101	0.0
SNRNP70	-0.18649264730275752	0.0
PUM2	-0.7027940381830837	0.0
SFPQ	0.1443533207385123	0.0
G3BP1	-0.08181804297491305	0.0
EIF4B	-0.014524063683077668	0.0
DDX58	-0.12202766358443148	0.0
HNRNPC	0.23861751183643032	0.0
YBX1	0.26822790704043464	0.0
SRSF9	-0.30649749124543735	0.0
RAVER1	-0.1156809812398068	0.0
RBM25	0.13748029178521048	0.0
PUM1	-0.6946454992214006	0.0
SSB	0.2090370041396024	0.0
RBM14	0.08814719278121583	0.0
PABPN1	0.08666522823805213	0.0
RBM3	0.21776421148641473	0.0
ZRANB2	-0.2591618291346295	0.0
(Intercept)	-7.649946064289217	0.0
