	Estimate	p-value
PCBP2	-0.28834356474858075	0.0
PPIE	-4.21103420673372	0.0
NELFE	1.2195844865135115	0.0
SRP68	-4.687038125730978	0.0
SRSF3	-6.569113274234279	0.0
ZFP36	-1.1637363741716291	0.0
ZCRB1	-2.961406028623011	0.0
ZFP36L2	0.0011920485595963703	0.0
DHX58	0.5884998190034323	0.0
HNRNPA3	4.126857119996863	0.0
MBNL1	2.4406825214780623	0.0
AKAP1	3.514435432970137	0.0
SFPQ	1.77820370264859	0.0
HNRNPM	4.350586810283959	0.0
CELF2	-1.757303883620659	0.0
AGO2	6.2464988829205454	0.0
FXR2	1.746697982734901	0.0
HNRNPA2B1	-9.959015311338142	0.0
RBM42	-1.7202330210458245	0.0
QKI	-0.6885338701285734	0.0
IFIH1	-2.903270199267926	0.0
PCBP1	-0.6996587854561862	0.0
RBMS1	-1.1424540036661885	0.0
DDX19B	1.2017396171418533	0.0
GRN	-0.30789420079388974	0.0
ERI1	-6.797593564202468	0.0
G3BP1	-5.253928742203784	0.0
TRA2B	8.681418133697687	0.0
ACO1	0.6895477830093091	0.0
IGF2BP2	-0.6906618468711847	0.0
SNRPA	3.1207265752489515	0.0
SF3B4	3.460497701696083	0.0
TARDBP	3.413573566375592	0.0
U2AF2	-7.063542155203217	0.0
DDX58	-0.46165751623648565	0.0
HNRNPC	-0.1700758467800203	0.0
RBFOX2	0.43566263689358387	0.0
SRP54	4.998766251014157	0.0
SRSF9	-4.746820299642833	0.0
ESRP1	1.0220684512239622	0.0
SNRPB2	-3.527866544295978	0.0
RBMX	-2.5234920767781954	0.0
SAMD4A	-0.29635749149763346	0.0
RBMS3	0.7270531904148904	0.0
RAVER1	1.2514783694673506	0.0
TRA2A	5.067316223181982	0.0
RBM25	-4.74912525998198	0.0
OAS1	1.5719167234799274	0.0
PHAX	7.878657020407352	0.0
SF1	-3.997079617310849	0.0
DHX9	4.642758592033202	0.0
TIAL1	4.302844508759406	0.0
FMR1	-4.930900601103046	0.0
HNRNPAB	5.873411856706178	0.0
FUS	2.7374705114129	0.0
RBM14	-3.48060931902793	0.0
SRRM1	3.7365801125878386	0.0
CELF5	-3.498350909840824	0.0
HNRNPH2	2.8768747779464645	0.0
GRSF1	-4.214952109781092	0.0
ZNF638	-1.4259396904240544	0.0
PABPN1	2.4858325823377383	0.0
KHDRBS1	-4.218153565622533	0.0
KHDRBS3	-0.8055180817343011	0.0
RBM38	-0.9604460743984973	0.0
NOVA1	-2.115532429303032	0.0
SRSF1	0.5700376967989385	0.0
CMTR1	5.819313186046179	0.0
PPRC1	-6.111099528431902	0.0
HNRNPLL	5.42895530172535	0.0
SP1	-2.245298599635472	0.0
(Intercept)	14.017863154533938	0.0
