	Estimate	p-value
NELFE	0.37694064939446753	0.0
AGO1	0.9386119604296987	0.0
DHX58	-0.4178632939148725	0.0
CELF2	0.574511476034257	0.0
QKI	-1.1680786134779342	0.0
HNRNPA1	2.2131593604202844	0.0
PCBP1	-0.33995208187306714	0.0
RBMS1	0.8606147555309654	0.0
CPEB4	-0.29804162780301624	0.0
IGF2BP2	0.1999715214287266	0.0
SF3B4	-0.1924868082904694	0.0
SF3B1	-1.2416696257847368	0.0
U2AF2	1.4494234306768443	0.0
RBFOX2	0.24619623912004784	0.0
XPO5	0.8011441939609755	0.0
SRSF2	0.4312031609393545	0.0
SAMD4A	-0.030526266326209583	0.0
RALY	0.29596393098286017	0.0
YBX2	0.33805608405348797	0.0
HNRNPH2	0.6098230281254742	0.0
TUT1	0.4316799426962084	0.0
FXR1	-0.6783529286022616	0.0
NUDT21	-0.4319661013468916	0.0
ERI1	0.08863742582144174	0.0
HNRNPD	2.561668011986921	0.0
SP1	0.788022839244412	0.0
PCBP2	-1.7789789951926553	0.0
SRP14	-0.1282336802926083	0.0
CPEB1	-1.5898774418347834	0.0
ZFP36L2	-0.18718112487743777	0.0
HNRNPA3	1.2476973303239252	0.0
PABPC1	0.3677611055671537	0.0
RBM8A	-0.8071920786718343	0.0
HNRNPM	1.7392172110524733	0.0
ESRP2	0.2922345888072345	0.0
AGO2	-1.2321939723729656	0.0
FXR2	0.28911915999939264	0.0
SRSF11	0.2941196173997531	0.0
RBM42	-0.950484326073226	0.0
GRN	-0.33845684072426113	0.0
CELF4	1.0089523870031112	0.0
YTHDC1	-1.3436295417200725	0.0
TRA2B	2.074224219092524	0.0
ACO1	0.27678417105637587	0.0
HNRNPF	1.40801783234926	0.0
IGHMBP2	-0.25707232750840825	0.0
SRSF5	0.6151248403007972	0.0
SART3	-0.6069807705703292	0.0
SRP54	0.3047128360317658	0.0
SNRPB2	-0.842493816257017	0.0
SRSF10	-1.0966675102398107	0.0
SRSF4	-0.7869078719499479	0.0
RC3H1	2.1948693003186506	0.0
SUPV3L1	0.7226861092945591	0.0
OAS1	0.2060559039159009	0.0
DHX9	0.8394293933538228	0.0
CELF1	1.1388736324146183	0.0
CELF5	-0.129240094096835	0.0
KHDRBS1	-0.7491205666836978	0.0
ADAR	-0.12891523336710686	0.0
ELAVL1	-0.12176370216570387	0.0
PPIE	0.2339173508380834	0.0
KHSRP	-1.2176589132970155	0.0
RBM5	0.5454020322810901	0.0
ZCRB1	0.4148662190925933	0.0
DAZAP1	-1.0642634684734087	0.0
MBNL1	-0.6365066944093067	0.0
SRP19	0.6852882850160493	0.0
EIF4A3	-0.9953668792622573	0.0
CNOT4	-1.455800022765676	0.0
HNRNPA2B1	-1.034784396923023	0.0
MSI1	0.0687781603130202	0.0
SNRPA	-0.49498354313789694	0.0
TARDBP	-3.041361103367068	0.0
ESRP1	0.6146208261921862	0.0
HNRNPA0	-2.7571965448843816	0.0
HNRNPK	-1.9370334549409942	0.0
RBMS3	-0.2156556846063919	0.0
RBM6	-1.6707258340294766	0.0
TRA2A	0.2826613195712623	0.0
PHAX	0.6868297728182544	0.0
SF1	-2.1458685590461877	0.0
RBM24	0.1334152256028407	0.0
PTBP1	2.3885453809584742	0.0
FMR1	0.7761885869546814	0.0
PABPC4	-0.13244351823870182	0.0
CSTF2	-0.7250882428102458	0.0
SRSF6	-0.7549768975279345	0.0
KHDRBS3	-0.17544218316344584	0.0
CMTR1	-0.5945236334641927	0.0
HNRNPLL	0.3267529370837037	0.0
SRSF3	-3.9527896019810354	0.0
HNRNPL	0.7932632756560856	0.0
ZFP36	0.171910981631465	0.0
SNRNP70	0.05937599938619373	0.0
NCL	0.09422912414227608	0.0
NONO	1.4780887022605906	0.0
PUM2	1.0696179043222183	0.0
SFPQ	-2.495505447603	0.0
IFIH1	-0.364581230103204	0.0
CFTR	0.11016883469182637	0.0
G3BP1	-0.9547415157666704	0.0
EIF4B	-0.9746275273017836	0.0
CPEB2	0.29583870756212094	0.0
SYNCRIP	0.715197690539217	0.0
SRSF9	0.8912972533230177	0.0
RAVER1	0.17309860880832806	0.0
RBM25	0.365959924466872	0.0
PUM1	0.16885057148204063	0.0
SSB	0.39551396118721127	0.0
TIAL1	-0.2682961505820843	0.0
RBM14	0.9052848719114082	0.0
FUS	1.88081638927102	0.0
PABPN1	1.611657315373229	0.0
ZRANB2	0.8436768882718005	0.0
(Intercept)	1.934885713405126	0.0
