	Estimate	p-value
NELFE	-0.3176227121873093	0.0
AGO1	-0.13352960722605173	0.0
SRP68	0.12501263652219857	0.0
DHX58	0.078458561062976	0.0
CELF2	-0.1023322441156462	0.0
QKI	-0.16211636330875695	0.0
HNRNPA1	-0.08219962261717767	0.0
PCBP1	-0.05515736420681403	0.0
RBMS1	0.06566074697431284	0.0
G3BP2	0.07104243825006781	0.0
CPEB4	-0.0255478622174913	0.0
IGF2BP2	-0.03917963717863787	0.0
SF3B4	0.07241866622055548	0.0
SF3B1	0.15634271229911306	0.0
U2AF2	0.16729066661794054	0.0
RBFOX2	0.46910586935572	0.0
SRSF2	-0.3370204011017429	0.0
SAMD4A	0.07862352564599667	0.0
RALY	0.3154860163470881	0.0
YBX2	-0.03297605786504476	0.0
HNRNPH2	0.09562278747350722	0.0
TUT1	-0.24772100103723094	0.0
FXR1	0.4565127706152759	0.0
HNRNPH1	-0.03118717215286671	0.0
NUDT21	0.20702163666404316	0.0
ERI1	-0.09999649137095573	0.0
SP1	-0.5035461577289668	0.0
PCBP2	-0.03498765508246543	0.0
SRP14	-0.27735308228051925	0.0
CPEB1	-0.1582439561270701	0.0
TIA1	-0.23337117443128103	0.0
ZFP36L2	-0.05829633648866725	0.0
HNRNPA3	-0.15660748463373095	0.0
PABPC1	0.023647988769025116	0.0
HNRNPM	0.4841280006803244	0.0
ESRP2	0.33662961005704034	0.0
FXR2	0.03769832054360227	0.0
SRSF11	-0.10353893098121977	0.0
RBM42	-0.18838001416204403	0.0
GRN	0.08868848662781331	0.0
CELF4	-0.008969129539536186	0.0
YTHDC1	-0.20271370018720047	0.0
TRA2B	0.30358894318870505	0.0
ACO1	-0.1646450538537016	0.0
HNRNPF	0.12877575598995583	0.0
IGHMBP2	0.09796435272969331	0.0
SRSF5	0.008918367836028243	0.0
SART3	0.2161061055481651	0.0
SRP54	-0.280711685021065	0.0
SNRPB2	-0.38684689578014714	0.0
RBMX	-0.3202682991849204	0.0
SRSF10	-0.23745172480386983	0.0
SRSF4	0.39029521877575174	0.0
RC3H1	0.39338626726468756	0.0
SUPV3L1	-0.10155898167898786	0.0
OAS1	0.023282653936634423	0.0
DHX9	0.15941575164038196	0.0
CELF1	-0.3409009241112553	0.0
HNRNPAB	-0.0909179507689993	0.0
CELF5	-0.22299018562718648	0.0
KHDRBS1	-0.43328147358934904	0.0
RBM38	-0.2137660313638725	0.0
ADAR	-0.25594240972398163	0.0
ELAVL1	-0.1617416118004717	0.0
PPIE	0.29021341491040337	0.0
KHSRP	-0.19549887156373477	0.0
RBM5	-0.22046988638188147	0.0
ZCRB1	0.06613967268871249	0.0
DAZAP1	-0.22723610076972534	0.0
MBNL1	0.35803281475586307	0.0
SRP19	0.17780177919699736	0.0
EIF4A3	0.050105563322541666	0.0
CNOT4	-0.13486643008373572	0.0
MSI1	-0.05459548535785974	0.0
DDX19B	-0.32066157428339925	0.0
SNRPA	0.36844047850202555	0.0
TARDBP	0.2847584389781911	0.0
ESRP1	0.6231799282525564	0.0
HNRNPA0	-0.09159093809099716	0.0
HNRNPK	0.2692023230544185	0.0
RBM6	-0.25789814133124345	0.0
TRA2A	0.3277792139555167	0.0
SRSF7	-0.2940583046660764	0.0
PHAX	-0.36238290581313315	0.0
SF1	0.2864101448940045	0.0
RBM24	-0.06910790465747042	0.0
PTBP1	-0.06375968595583666	0.0
FMR1	-0.17800778366349387	0.0
PABPC4	-0.1965952316715218	0.0
CSTF2	0.3838712685718424	0.0
SRRM1	0.12224262502088658	0.0
SRSF6	-0.033481624782802796	0.0
KHDRBS3	-0.18780375929929505	0.0
NOVA1	0.20785411218131458	0.0
SRSF1	0.2630313718072297	0.0
CMTR1	-0.20392714378048366	0.0
HNRNPLL	-0.3272749383953819	0.0
HNRNPL	-0.34005020684708387	0.0
NXF1	0.22422786981722798	0.0
ZFP36	0.07037529855062709	0.0
NCL	-0.46680018719807376	0.0
NONO	0.1379877869992911	0.0
AKAP1	-0.1583009003692815	0.0
SFPQ	0.3038949001936383	0.0
PUM2	0.38077840926616013	0.0
IFIH1	0.023108525835080853	0.0
CFTR	-0.05920469392891642	0.0
G3BP1	0.11510921608798283	0.0
EIF4B	-0.012259507890144794	0.0
DDX58	0.17001411854843138	0.0
CPEB2	-0.02747206425421736	0.0
SYNCRIP	0.5175996113987662	0.0
YBX1	0.0578133359015445	0.0
RAVER1	0.07136911315558275	0.0
RBM25	0.19406461918039336	0.0
NOVA2	-0.10233416036984092	0.0
PUM1	-0.637987190664406	0.0
SSB	0.15397715146129143	0.0
HNRNPH3	-0.467308510689747	0.0
TIAL1	0.05228675389883723	0.0
RBM14	-0.5361319355313866	0.0
FUS	0.20762522114855494	0.0
PABPN1	0.11797310773712835	0.0
PPRC1	0.14226004975928924	0.0
RBM3	-0.02542137958267804	0.0
ZRANB2	0.1346908432207603	0.0
(Intercept)	-1.4325392814304894	0.0
