	Estimate	p-value
NELFE	0.7766089149667761	0.0
AGO1	0.5052524707963502	0.0
SRP68	-0.8567555665809746	0.0
CELF2	-0.3794435771492146	0.0
HNRNPU	0.7264957491233921	0.0
RBMS1	-0.6318775076282174	0.0
QKI	-1.166528759781214	0.0
PCBP1	0.45848086372205166	0.0
G3BP2	0.6557452052782994	0.0
CPEB4	-0.620653227305757	0.0
IGF2BP2	0.3290068931480583	0.0
SF3B4	-0.6858848410280558	0.0
U2AF2	-0.998555846723926	0.0
RBFOX2	-0.25483116783864346	0.0
XPO5	-0.32966381161420466	0.0
SRSF2	0.5811773268951506	0.0
SAMD4A	0.5453023817913434	0.0
RALY	-0.5690921488369961	0.0
YBX2	0.13032948090718252	0.0
TUT1	0.3862150183457185	0.0
FXR1	-0.23281384004893368	0.0
HNRNPH1	0.5407408225896185	0.0
NUDT21	-0.8978130963727217	0.0
ERI1	-0.08592152223775695	0.0
SRP14	0.058742279907355366	0.0
CPEB1	-1.7491211811380054	0.0
TIA1	-0.8513261422261256	0.0
HNRNPA3	0.4463103055440929	0.0
PABPC1	-0.6256379314010655	0.0
RBM8A	-1.0445875825325661	0.0
HNRNPM	-0.03780174337860864	0.0
ESRP2	0.3172085369116816	0.0
FXR2	-0.03622214358999551	0.0
SRSF11	0.8031674675794405	0.0
GRN	0.048612063301839314	0.0
YTHDC1	0.44056453842990906	0.0
ACO1	0.36043130290171543	0.0
IGHMBP2	0.36573047751261006	0.0
SRSF5	-0.6591086351450585	0.0
SART3	1.4787925423632675	0.0
SNRPB2	1.240146123659699	0.0
RBMX	0.09839205553108776	0.0
SRSF4	-0.8687346070246096	0.0
SUPV3L1	-0.15279909057741164	0.0
OAS1	0.3639841806020817	0.0
CELF5	-1.034829228230933	0.0
RBM38	0.23853712985671355	0.0
ELAVL1	1.4425021686566455	0.0
PPIE	0.8453552510598259	0.0
ZCRB1	0.19560713318620176	0.0
SRP19	1.5593670235780095	0.0
MBNL1	0.3458862259850043	0.0
EIF4A3	0.3707981176967845	0.0
CNOT4	1.1911355755979354	0.0
MSI1	-0.21690369381406505	0.0
DDX19B	0.1917478413419953	0.0
SNRPA	-0.8099877233220616	0.0
ESRP1	0.3178444491383765	0.0
HNRNPA0	-1.5103792776661387	0.0
RBM6	0.16877435583825723	0.0
RBMS3	0.08968066753613235	0.0
TRA2A	-0.25395532581290015	0.0
SRSF7	-2.315420880116155	0.0
PHAX	-0.47508246181612523	0.0
RBM24	0.19244122275154918	0.0
CSTF2	-0.37053379826082233	0.0
SRRM1	0.583791994844512	0.0
GRSF1	-0.3054156361830047	0.0
SRSF6	-0.5407616382788014	0.0
KHDRBS3	-0.08984797231575081	0.0
NOVA1	-0.1326104197242089	0.0
CMTR1	0.07169538564309369	0.0
SRSF3	2.1710242484059923	0.0
HNRNPL	1.0354051484850517	0.0
ZFP36	-0.36002858462573983	0.0
NXF1	0.23876491976488612	0.0
SNRNP70	0.6426773500105011	0.0
NCL	0.9726890801697856	0.0
NONO	0.29382567432118156	0.0
AKAP1	0.5155204245475699	0.0
IFIH1	-0.818970479150445	0.0
CFTR	0.024245245139641103	0.0
G3BP1	0.6745497581626709	0.0
DDX58	0.02372081802747951	0.0
CPEB2	-0.17718561832452856	0.0
SYNCRIP	0.14956489521326288	0.0
YBX1	-0.5686393781498073	0.0
SRSF9	-1.1231996395542503	0.0
NOVA2	-0.3746024142232784	0.0
SSB	-0.5714351446731714	0.0
HNRNPH3	-0.17074338769560216	0.0
FUS	-0.18478816994983377	0.0
RBM3	-0.46633770310870004	0.0
(Intercept)	-3.9759726144786134	0.0
