	Estimate	p-value
NELFE	0.28171895662709673	0.0
DHX58	0.1477695825381957	0.0
CELF2	-0.16959205069601963	0.0
HNRNPU	0.18125895933394962	0.0
QKI	-0.0055153436559428615	0.0
RBMS1	-0.04385271257078993	0.0
G3BP2	-0.24189221791882498	0.0
CPEB4	0.5292225777606133	0.0
IGF2BP2	0.10841314023502036	0.0
SF3B4	-0.20862418804047467	0.0
SF3B1	-0.21612846697417654	0.0
U2AF2	-0.2391576048244945	0.0
RBFOX2	-0.4489884104604944	0.0
XPO5	0.22470338740761278	0.0
RALY	-0.3207752151465815	0.0
YBX2	-0.003018853980608069	0.0
HNRNPH2	0.2590079271231638	0.0
TUT1	0.2035060691370514	0.0
FXR1	0.18067559198008845	0.0
NUDT21	0.08746746826232243	0.0
HNRNPD	-0.49049191807198556	0.0
ERI1	0.21238889553881346	0.0
SP1	-0.5207905537490658	0.0
PCBP2	-0.2129783221211497	0.0
SRP14	0.2973226263386343	0.0
CPEB1	0.40492998694303783	0.0
TIA1	0.35148841254653085	0.0
ZFP36L2	0.13709179704478924	0.0
HNRNPA3	0.7240208937419816	0.0
PABPC1	0.04187024496523814	0.0
ESRP2	-0.02803850672146818	0.0
AGO2	0.024431571393827844	0.0
SRSF11	0.19269210292642586	0.0
RBM42	0.3218074273896269	0.0
YTHDC1	0.6994536103913093	0.0
ACO1	-0.026862259807633928	0.0
TRA2B	-0.4409493581284722	0.0
HNRNPF	0.04132722021969715	0.0
IGHMBP2	-0.07274854618832793	0.0
SART3	-0.09709743140264518	0.0
SRP54	-0.369100301312565	0.0
SNRPB2	-0.280318981182234	0.0
RBMX	1.5441120099468808	0.0
SRSF10	-0.9782771041805789	0.0
SRSF4	0.49925137590905766	0.0
RC3H1	0.008264913590453782	0.0
SUPV3L1	0.08457775104347948	0.0
OAS1	-0.1866364158129728	0.0
CELF1	0.6941128824128674	0.0
HNRNPAB	-0.14976858372725094	0.0
CELF5	0.32628044349069635	0.0
ZNF638	-0.37603388554836714	0.0
KHDRBS1	0.051995060851091256	0.0
RBM38	0.07536935442212106	0.0
ELAVL1	0.5787767499280143	0.0
PPIE	-0.22892955491588357	0.0
KHSRP	-0.22077234277142077	0.0
SRP19	0.48485176034100635	0.0
MBNL1	-0.3605184971055452	0.0
EIF4A3	0.06801954375240465	0.0
CNOT4	0.05081067818437546	0.0
HNRNPA2B1	0.038788661372983424	0.0
MSI1	-0.08499062231387738	0.0
DDX19B	0.1163498984837551	0.0
SNRPA	0.2922921480235153	0.0
ESRP1	0.07179104658865416	0.0
HNRNPA0	-0.15017609997681933	0.0
RBM6	-0.17949848016912712	0.0
RBMS3	-0.19579986301832203	0.0
TRA2A	0.04699882846053688	0.0
SRSF7	-0.17765791144354603	0.0
PHAX	-0.29664702887436384	0.0
RBM24	-0.06923053450439186	0.0
PTBP1	-0.11609959471852602	0.0
FMR1	0.08156788075660731	0.0
PABPC4	0.27068405661771483	0.0
SRRM1	0.6408470129629786	0.0
SRSF6	0.17972749901429128	0.0
KHDRBS3	0.3684137648255068	0.0
NOVA1	0.09480066966606446	0.0
SRSF1	-0.3400255781209755	0.0
CMTR1	-0.150129593865517	0.0
HNRNPLL	0.06027514483976901	0.0
SRSF3	0.4703524977959228	0.0
HNRNPL	-0.9726838904428274	0.0
ZFP36	-0.07752097690817694	0.0
NXF1	0.05901950014697327	0.0
NONO	-0.06832667240903148	0.0
AKAP1	0.5313248802076384	0.0
IFIH1	0.1426718160728832	0.0
CFTR	0.13291757593581832	0.0
EIF4B	0.1870466435163819	0.0
CPEB2	0.2336208143979258	0.0
SYNCRIP	0.2784682874857228	0.0
YBX1	-0.35750478223019666	0.0
SRSF9	0.5065033530576298	0.0
RAVER1	0.15631478302018192	0.0
NOVA2	-0.5183159414325267	0.0
PUM1	0.0415524542648843	0.0
SSB	-0.36386499323414473	0.0
HNRNPH3	-0.2952603630848533	0.0
TIAL1	-0.33150777108445356	0.0
RBM14	-0.4538597064881753	0.0
FUS	-0.39756717338699077	0.0
PABPN1	-0.2522325111641877	0.0
PPRC1	0.1398601875260145	0.0
RBM3	-0.11056713207989408	0.0
ZRANB2	-0.06543854426444021	0.0
(Intercept)	-6.531089821993856	0.0
