	Estimate	p-value
PCBP2	0.28962818384481953	0.0
NELFE	-0.05566757950374751	0.0
ZFP36	-0.06258934534934019	0.0
SRP19	0.4258428776482458	0.0
AKAP1	0.06267010334843114	0.0
EIF4A3	0.14124222449581217	0.0
PABPC1	-0.5590540305417159	0.0
CELF2	-0.8628910275388276	0.0
RBM42	0.24755136901769287	0.0
QKI	-0.35013072325781186	0.0
MSI1	-0.2508857649388617	0.0
CFTR	0.06643624820019868	0.0
ACO1	0.5182138262709635	0.0
TRA2B	0.47843121951408696	0.0
IGF2BP2	0.09619154121219975	0.0
SNRPA	0.2856040505908327	0.0
RBFOX2	-0.4666503431193969	0.0
RBM6	0.4521647559925241	0.0
YBX2	0.10097137570963129	0.0
RBM14	0.4001446286934627	0.0
GRSF1	0.43919219046349667	0.0
RBM38	-0.2046562327077775	0.0
(Intercept)	-6.472702890374827	0.0
