	Estimate	p-value
NELFE	-0.26594483644500133	0.0
PPIE	-0.11645039381520056	0.0
SRSF3	-1.2264245877055029	0.0
ZFP36	0.5016416975130644	0.0
TIA1	-0.69463361630646	0.0
SNRNP70	1.0025339610951682	0.0
DAZAP1	0.18379514222789586	0.0
SRP19	-0.8805685429633484	0.0
MBNL1	-2.399086543657165	0.0
AKAP1	0.7182475220730506	0.0
SFPQ	0.47195227495953274	0.0
ESRP2	-0.4029890101524215	0.0
CELF2	0.17743584431566203	0.0
SRSF11	-0.18714922449973606	0.0
RBM42	-0.1197402485360877	0.0
RBMS1	0.054359127800592946	0.0
CELF4	0.7424210287826216	0.0
CFTR	0.12267615637838447	0.0
G3BP2	0.9531022616636738	0.0
ACO1	-0.41066220491328453	0.0
CPEB4	-0.7357955025690224	0.0
IGF2BP2	-0.30606622320341603	0.0
SNRPA	-0.7294421724416849	0.0
SF3B4	0.4429912559090333	0.0
HNRNPF	0.8541134812975749	0.0
EIF4B	1.4473064081200278	0.0
DDX58	0.2395410336848469	0.0
CPEB2	-0.09494502071477294	0.0
RBFOX2	0.7059411597521857	0.0
SRP54	0.4052820261768409	0.0
ESRP1	0.16138495927504032	0.0
SRSF2	-0.6969109987471791	0.0
HNRNPK	0.3510332876228505	0.0
SRSF4	-0.7326169266686667	0.0
RAVER1	0.47389759614228794	0.0
TRA2A	-0.22299068178809925	0.0
NOVA2	0.9584104124261379	0.0
SRSF7	0.3880589802079637	0.0
DHX9	-0.0422565648056112	0.0
YBX2	0.07615203416558806	0.0
HNRNPAB	0.0976300947105081	0.0
FUS	-0.9230207915003951	0.0
CELF5	-1.0661207844218827	0.0
HNRNPH2	0.770042678398852	0.0
PABPN1	0.7608868467770689	0.0
TUT1	-0.3038634821394225	0.0
FXR1	1.2816986701451232	0.0
RBM38	-1.5348944478623197	0.0
HNRNPH1	-0.5686001973247573	0.0
SRSF1	-1.4142522773867163	0.0
NOVA1	0.9317391454162962	0.0
CMTR1	0.64041241634948	0.0
PPRC1	-0.3409556053749598	0.0
HNRNPLL	-0.6425120584220534	0.0
RBM3	0.8567384126131662	0.0
ZRANB2	-0.8717594298587822	0.0
(Intercept)	-0.47228953652995953	0.0
