	Estimate	p-value
PCBP2	-0.07608111404454222	0.0
SRP68	0.20467070637510043	0.0
ZFP36	-0.03179101642257681	0.0
ZCRB1	0.04480152347063329	0.0
TIA1	0.13291787642229924	0.0
ZFP36L2	0.04292359760514705	0.0
SRP19	0.07300971262484793	0.0
NONO	0.021624623018783193	0.0
AKAP1	0.26051734667950044	0.0
EIF4A3	-0.020538642888704273	0.0
PABPC1	0.07442516408128592	0.0
ESRP2	0.011623578454902306	0.0
SRSF11	0.2642886887817951	0.0
HNRNPA1	0.03588442882786988	0.0
RBMS1	-0.15550668232749448	0.0
QKI	-0.4506749901434047	0.0
GRN	-0.06185732386433577	0.0
CFTR	-0.02425890367708758	0.0
G3BP2	0.2931823463261835	0.0
ACO1	0.2511332214678211	0.0
CPEB4	-0.1882267054385134	0.0
IGF2BP2	0.1273033377053529	0.0
EIF4B	0.20560758972567297	0.0
HNRNPC	-0.24552962758470553	0.0
ESRP1	0.09860429408598728	0.0
RBMX	0.31260797648406424	0.0
SAMD4A	0.13322075567045555	0.0
RBM6	0.06368369795282192	0.0
RBMS3	0.35457784351566846	0.0
NOVA2	-0.9403262837620955	0.0
SUPV3L1	-0.20504027450493978	0.0
OAS1	-0.06175905497493227	0.0
TIAL1	0.2510409341765767	0.0
PABPC4	0.07951939952184785	0.0
HNRNPAB	0.15877194196717723	0.0
CSTF2	0.07025848172941494	0.0
TUT1	0.4454504533717711	0.0
GRSF1	0.040345204596272256	0.0
KHDRBS1	-0.026462510305800005	0.0
KHDRBS3	0.07901071612612524	0.0
RBM38	-0.16754481142799055	0.0
ADAR	-0.040755951967725065	0.0
RBM3	-0.002519628649583619	0.0
ZRANB2	-0.13160135300776798	0.0
(Intercept)	-8.35617455524489	0.0
