	Estimate	p-value
PCBP2	0.9917690566555886	0.0
AGO1	-0.12377750577402652	0.0
SRP68	0.26145097648526117	0.0
RBM5	-0.621839695714846	0.0
SNRNP70	-0.08931428697983303	0.0
NCL	0.25367766196429165	0.0
ZFP36L2	0.19810782304360897	0.0
DHX58	0.20123638383623774	0.0
NONO	0.5372273601116976	0.0
AKAP1	0.67180036305361	0.0
EIF4A3	0.5668255364689038	0.0
ESRP2	-0.09408524426584673	0.0
CELF2	0.03194774184491257	0.0
AGO2	-0.0003187345668687336	0.0
HNRNPU	0.42605481809560874	0.0
RBMS1	-0.3953561512491579	0.0
HNRNPA1	-1.0814302233339894	0.0
PCBP1	-0.4527380999778124	0.0
QKI	0.22628084931450523	0.0
CELF4	-1.2942116718948997	0.0
MSI1	-0.32958863555233814	0.0
CFTR	0.015616868770241613	0.0
G3BP1	-0.9226277337546589	0.0
ERI1	0.2052633257070041	0.0
CPEB4	-0.038735300579879214	0.0
HNRNPF	-0.45271307377745884	0.0
SF3B1	-0.022617774122559543	0.0
SRSF5	0.08531216039416595	0.0
CPEB2	0.09178423162997669	0.0
SART3	0.24518412036031323	0.0
RBFOX2	-0.6314008107456668	0.0
XPO5	-0.21581550324480833	0.0
ESRP1	0.3168461530147372	0.0
HNRNPA0	-0.10662054755646286	0.0
SAMD4A	-0.2508307837110446	0.0
RBMS3	-0.14142238172489066	0.0
TRA2A	-0.07136625100019363	0.0
RC3H1	0.2708050594510035	0.0
OAS1	-0.09249691119803871	0.0
HNRNPDL	-0.2773756045051687	0.0
SSB	0.29905895392486337	0.0
RBM24	-0.4621051537063612	0.0
CELF1	0.83538982598264	0.0
FMR1	0.06906547170509925	0.0
TIAL1	-0.7912833965277191	0.0
PABPC4	0.09143766783357092	0.0
CSTF2	-0.42038635773383487	0.0
SRSF6	-0.013477204001701378	0.0
NUDT21	-0.2156896706518549	0.0
PPRC1	0.21492884001692886	0.0
(Intercept)	2.225690322773524	0.0
