	Estimate	p-value
NELFE	-0.7201360987874247	0.0
AGO1	-0.08629824468993419	0.0
SRP68	0.5443619369267102	0.0
CELF2	-0.5397134189193051	0.0
HNRNPA1	0.36682257661237694	0.0
RBMS1	0.37886535908327645	0.0
PCBP1	0.03389671163129532	0.0
QKI	-0.4082481018638022	0.0
CPEB4	-0.04892257426797897	0.0
IGF2BP2	0.0007149628377945971	0.0
SF3B4	0.024187275837275646	0.0
SF3B1	0.22972816346143937	0.0
U2AF2	-0.2698769300500235	0.0
RBFOX2	-0.2677744185775725	0.0
XPO5	0.3216667058048753	0.0
HNRNPH2	0.15401646535580893	0.0
TUT1	0.42519215906386587	0.0
FXR1	-0.40138071189508284	0.0
HNRNPH1	0.0022936072459802948	0.0
HNRNPD	-0.502236723525488	0.0
SP1	-0.44495522132639015	0.0
TIA1	-0.15541251405054884	0.0
ZFP36L2	0.27311115893614507	0.0
RBM8A	0.5818156600304705	0.0
FXR2	-0.16485991850623993	0.0
GRN	0.021705975288660168	0.0
CELF4	0.7601501071686781	0.0
YTHDC1	-0.2992809793666889	0.0
TRA2B	0.21002301461637732	0.0
IGHMBP2	0.2004957677676985	0.0
SRSF5	-0.20990713950897527	0.0
SRP54	0.004050749976625745	0.0
SNRPB2	0.13799646908342766	0.0
RBMX	0.35143877199223117	0.0
SRSF4	-0.48278088051278534	0.0
SUPV3L1	0.08454456319869462	0.0
OAS1	0.25957949134990116	0.0
CELF1	0.682842836832765	0.0
HNRNPAB	-0.04206636490462501	0.0
ZNF638	-0.04571388884972008	0.0
KHDRBS1	0.4470359237904997	0.0
ADAR	-1.1621687727796568	0.0
KHSRP	0.6132779698241803	0.0
DAZAP1	-0.6978896736030272	0.0
SRP19	-0.4662274332575749	0.0
MBNL1	0.14761048668739757	0.0
EIF4A3	0.02362630808328925	0.0
CNOT4	0.07945478820212226	0.0
MSI1	0.018519417590232068	0.0
SNRPA	0.35281182296939445	0.0
ESRP1	0.2749974673999835	0.0
HNRNPA0	-0.29667266387755753	0.0
HNRNPK	0.49112157566623804	0.0
RBM6	0.4587029428191874	0.0
PHAX	-0.3582382131288683	0.0
RBM24	-0.12279688374188207	0.0
PTBP1	0.5320479858048203	0.0
FMR1	0.5991024721144508	0.0
PABPC4	0.09934229329474661	0.0
CSTF2	-0.1089654746801017	0.0
SRRM1	-0.5682188350538535	0.0
SRSF6	-0.22410286305618343	0.0
KHDRBS3	-0.2610892831780092	0.0
SRSF1	-1.8785676226565495	0.0
HNRNPLL	-0.7990716850139477	0.0
SRSF3	1.2957447274648772	0.0
ZFP36	-0.07730388413002656	0.0
NXF1	-0.6924422697757701	0.0
SNRNP70	0.13599403110681899	0.0
NCL	0.27910108236522024	0.0
NONO	0.3023692050470414	0.0
AKAP1	0.08013704243856112	0.0
PUM2	0.7478388362072729	0.0
IFIH1	0.10522914719891241	0.0
CFTR	0.7427704205900947	0.0
EIF4B	-0.2614619520641573	0.0
DDX58	0.05762317849865589	0.0
SRSF9	-0.6569238521543154	0.0
RAVER1	-0.12739713143034725	0.0
NOVA2	0.1811029844384342	0.0
HNRNPDL	0.1425273267913148	0.0
HNRNPH3	0.09116328161643922	0.0
FUS	-0.23990652759032577	0.0
PABPN1	0.056853578876138566	0.0
RBM3	0.023678751668238407	0.0
(Intercept)	-1.1609708067140438	0.0
