	Estimate	p-value
TIA1	-1.613043264392863	0.0
ZFP36L2	-0.1467027674955831	0.0
ESRP2	0.5144727570001686	0.0
FXR2	-1.331083867437774	0.0
QKI	0.8757133733021144	0.0
GRN	-0.7995887498633099	0.0
MSI1	0.1346000296550663	0.0
CFTR	0.016718188803413636	0.0
G3BP2	-0.13450773945819422	0.0
ACO1	-0.9952900023512186	0.0
EIF4B	1.634739311249487	0.0
HNRNPF	-0.8043722334192505	0.0
SRSF5	0.022217433914531216	0.0
CPEB2	0.07460802251722003	0.0
HNRNPC	-0.96135246425115	0.0
ESRP1	1.3334737914777741	0.0
SRSF4	-0.016920981350130537	0.0
SAMD4A	-0.37340822880178626	0.0
SRSF7	-3.2569083394369094	0.0
SUPV3L1	-1.6912763624404406	0.0
SSB	3.3072933894683336	0.0
HNRNPH3	-1.3503771995316391	0.0
TIAL1	-0.50523711712597	0.0
NOVA1	-1.2231207230583274	0.0
RBM3	0.7357069901716808	0.0
(Intercept)	19.317617380713063	0.0
