	Estimate	p-value
NELFE	0.28644637668185824	0.0
DHX58	0.07350581472085385	0.0
CELF2	-0.3466790655760046	0.0
QKI	-0.1936252874174433	0.0
PCBP1	0.5066191379401321	0.0
G3BP2	0.26627778952165854	0.0
CPEB4	-0.17146279291788769	0.0
IGF2BP2	0.0845462493859	0.0
SF3B1	-1.025975526505394	0.0
U2AF2	-0.431977355679372	0.0
XPO5	-0.06370908705827621	0.0
SAMD4A	0.2240614954772333	0.0
RALY	-0.5076471679544403	0.0
YBX2	-0.29190836015479066	0.0
HNRNPH2	0.42449046344387453	0.0
TUT1	0.140542614826236	0.0
FXR1	-0.055982904012501444	0.0
HNRNPH1	0.4209745831195219	0.0
HNRNPD	-0.40681540846596753	0.0
SP1	-0.10049874709014273	0.0
SRP14	0.15081076669449486	0.0
TIA1	0.25797313336720484	0.0
ZFP36L2	-0.2739010632355582	0.0
HNRNPA3	0.536575344026703	0.0
PABPC1	0.020078414754713586	0.0
RBM8A	0.10414277018373608	0.0
HNRNPM	-0.62309464191086	0.0
ESRP2	0.0805697468110979	0.0
FXR2	0.6400216196051226	0.0
RBM42	0.3232079610830229	0.0
SRSF11	0.8474253949466599	0.0
CELF4	0.13975781434824064	0.0
ACO1	0.2784547747233773	0.0
TRA2B	-0.101134972074932	0.0
HNRNPF	-0.32013971539194247	0.0
IGHMBP2	0.561262430675986	0.0
SRSF5	0.3570139972733497	0.0
SRP54	-0.5888075179155606	0.0
RBMX	-0.01157011704765265	0.0
SRSF10	-0.5356105697700322	0.0
SRSF4	-0.19071106053568532	0.0
SUPV3L1	0.5369426110002276	0.0
OAS1	0.04484826500275435	0.0
ZNF638	-0.877593709322599	0.0
RBM38	-0.38086794055945583	0.0
ADAR	0.054333155882034745	0.0
ELAVL1	-0.9655644372270489	0.0
PPIE	0.4464869206528783	0.0
KHSRP	0.5966345873972402	0.0
ZCRB1	0.11995255439789165	0.0
SRP19	0.2266072930831069	0.0
EIF4A3	-0.0943253864620317	0.0
HNRNPA2B1	-0.3209401309798896	0.0
MSI1	-0.2789972818593891	0.0
DDX19B	-0.37203139417448244	0.0
SNRPA	-0.055482237474497154	0.0
ESRP1	0.2461837463630539	0.0
HNRNPA0	-0.11614241030089176	0.0
HNRNPK	0.6571073185694524	0.0
RBM6	-0.20515639687528445	0.0
RBMS3	0.4293276698523453	0.0
TRA2A	0.18216705867177818	0.0
SRSF7	-0.5986791655017436	0.0
PHAX	-0.45584546534206977	0.0
SF1	-1.3818929177724368	0.0
RBM24	0.031442298795002835	0.0
PTBP1	-0.10690141890453815	0.0
FMR1	-0.6299445039373628	0.0
PABPC4	-0.2150034146479124	0.0
CSTF2	0.035810804339085595	0.0
SRRM1	1.00404589908741	0.0
GRSF1	0.4705669670346776	0.0
SRSF6	0.6000550712240036	0.0
KHDRBS3	0.11560468021211584	0.0
NOVA1	-0.23601212687492487	0.0
SRSF1	-0.8745341555596496	0.0
CMTR1	-0.7483903840327197	0.0
HNRNPLL	0.17313606785375016	0.0
SRSF3	0.8052595414459093	0.0
HNRNPL	-0.27026483041195026	0.0
ZFP36	0.16187223223048192	0.0
NXF1	0.21314305011229717	0.0
NONO	1.2596170812834737	0.0
AKAP1	0.304831100926638	0.0
SFPQ	1.4123037010277377	0.0
PUM2	0.44422392335923183	0.0
IFIH1	0.2120670759588581	0.0
CFTR	0.1706392832559641	0.0
G3BP1	0.30534796932006547	0.0
EIF4B	0.3968101048637934	0.0
DDX58	-0.11238715291427759	0.0
CPEB2	-0.19819919132094543	0.0
HNRNPC	-0.654237196136426	0.0
YBX1	-0.11464732380977719	0.0
NOVA2	-0.7153097152877163	0.0
PUM1	0.12127207945827598	0.0
HNRNPDL	0.4199281882806658	0.0
SSB	0.18347100398113678	0.0
HNRNPH3	0.23601880225282412	0.0
TIAL1	-0.25514072789226294	0.0
RBM14	-0.2394286824182177	0.0
FUS	0.12409967369323277	0.0
PABPN1	0.005688925929033778	0.0
PPRC1	-0.18614682981669395	0.0
RBM3	-0.5136075542265078	0.0
ZRANB2	-1.1878733997541961	0.0
(Intercept)	-6.805593552493435	0.0
