	Estimate	p-value
NELFE	0.6144038420169834	0.0
AGO1	0.02725057579110321	0.0
CELF2	-0.031002582710938642	0.0
HNRNPA1	0.5636785344226437	0.0
RBMS1	0.45309991036357616	0.0
PCBP1	0.16395549778504076	0.0
QKI	-0.41055360749577774	0.0
CPEB4	-0.1793105472073278	0.0
IGF2BP2	-0.04298725203238607	0.0
SF3B4	-0.15243587787633542	0.0
RBFOX2	-0.24393027868653672	0.0
XPO5	0.03662722031271784	0.0
SAMD4A	-0.034962228732246345	0.0
RALY	-0.27577835272687884	0.0
YBX2	-0.15661818452548765	0.0
TUT1	-0.1295005101857407	0.0
FXR1	0.19714789616274508	0.0
HNRNPH1	0.03303530609213093	0.0
HNRNPD	-0.5692132263374946	0.0
ERI1	0.03656768334475813	0.0
PCBP2	-0.4757399087253184	0.0
SRP14	0.2671451597378958	0.0
CPEB1	0.7099986705723892	0.0
ZFP36L2	-0.19730025621751324	0.0
HNRNPA3	0.03695724889904445	0.0
RBM8A	-0.04916700419608847	0.0
ESRP2	0.03300980574271545	0.0
FXR2	0.23658570674670065	0.0
SRSF11	0.3856165167913549	0.0
ACO1	-0.07983950260412598	0.0
TRA2B	0.20137621443046727	0.0
HNRNPF	0.08191859208007052	0.0
SRSF5	0.003072041724704655	0.0
SRP54	0.08399268801356022	0.0
RC3H1	-0.4965199322391404	0.0
CELF1	0.11319106002270378	0.0
RBM38	-0.10307936996062123	0.0
ADAR	-0.1688290965494143	0.0
PPIE	-0.17469964419864964	0.0
RBM5	-0.71195069768461	0.0
ZCRB1	-0.15906239030721553	0.0
DAZAP1	0.14962823063084713	0.0
MBNL1	-0.17787005826059882	0.0
CNOT4	0.20723807643467387	0.0
DDX19B	-0.028984061224787916	0.0
ESRP1	0.1900549785035521	0.0
HNRNPA0	-0.40018780714504454	0.0
HNRNPK	0.2494990862580549	0.0
RBM6	0.2664272347784916	0.0
RBMS3	-0.016277425714879	0.0
TRA2A	0.4612137077960673	0.0
SRSF7	-0.5319726824785783	0.0
SF1	0.5805206495450923	0.0
CSTF2	-0.07737325378262405	0.0
SRRM1	0.4585966847830879	0.0
GRSF1	0.08594790817663238	0.0
KHDRBS3	-0.10231335872074815	0.0
SRSF1	-0.1516213680198862	0.0
HNRNPL	-0.8086477932504103	0.0
ZFP36	-0.019478955765936612	0.0
NXF1	-0.4328434029573184	0.0
SNRNP70	0.1461441004749655	0.0
NCL	0.011626318058002252	0.0
NONO	0.31199927957717344	0.0
AKAP1	0.08664970441814876	0.0
IFIH1	0.0290839275386105	0.0
CFTR	0.430919153564296	0.0
G3BP1	-0.21500199200379447	0.0
CPEB2	0.043850736731641804	0.0
SYNCRIP	0.5841760240439926	0.0
HNRNPC	0.3935376559357574	0.0
YBX1	-0.36367901386018564	0.0
NOVA2	-0.892154045963106	0.0
HNRNPDL	0.15335819325001937	0.0
SSB	0.10030527634541075	0.0
HNRNPH3	-0.28592266688727824	0.0
TIAL1	-0.18761884673934276	0.0
RBM14	0.407113137313697	0.0
PABPN1	0.14726702805659939	0.0
PPRC1	-0.4164876731366223	0.0
RBM3	-0.13773211274156377	0.0
ZRANB2	-0.2749947572816217	0.0
(Intercept)	-2.720706780858979	0.0
