	Estimate	p-value
NELFE	-0.6238526106971317	0.0
SNRNP70	-0.5865379972880093	0.0
AKAP1	-0.10634216564057969	0.0
ESRP2	1.4720406713731158	0.0
CELF2	-0.33387712975161365	0.0
SRSF11	1.2352452914029615	0.0
RBM42	0.5735111274468608	0.0
G3BP2	0.2178761771442968	0.0
ACO1	0.6087968548254183	0.0
SNRPA	0.13534494603155933	0.0
CPEB2	0.26318599436386025	0.0
ESRP1	0.27052159748700655	0.0
PUM1	0.3038085590761388	0.0
OAS1	0.16452730306057023	0.0
PABPN1	-1.254050858636314	0.0
RBM3	-0.7100700985181467	0.0
(Intercept)	-3.784742076770684	0.0
