	Estimate	p-value
PCBP2	0.383320283106734	0.0
NELFE	-0.3542287485521587	0.0
ZCRB1	-0.024345666996666446	0.0
TIA1	-0.2514717047514928	0.0
ZFP36L2	0.5233658014841392	0.0
DAZAP1	-0.6892512360011799	0.0
DHX58	-0.4948919561306017	0.0
AKAP1	1.0808240270615617	0.0
CELF2	-0.33955456794912925	0.0
AGO2	-0.7544379487221514	0.0
FXR2	-0.35110353983945986	0.0
QKI	-0.5253171965309388	0.0
HNRNPA1	0.5015859780017259	0.0
GRN	-0.12191095900995952	0.0
IGF2BP2	-0.06723083392718235	0.0
SF3B4	0.398698820083247	0.0
EIF4B	-0.010349245391497536	0.0
SF3B1	0.2732982378551723	0.0
SRSF5	-0.02904630601161247	0.0
SYNCRIP	0.6697969258529041	0.0
RBFOX2	-0.5094425484007994	0.0
SRP54	0.4469295106536648	0.0
ESRP1	0.14623362345857333	0.0
HNRNPA0	-0.9619316655057342	0.0
RAVER1	0.12604163398178433	0.0
RBM6	0.8264046468871012	0.0
YBX2	0.21135082035885475	0.0
CSTF2	0.3180971269224999	0.0
SRSF6	0.8733090644236059	0.0
KHDRBS3	0.3287812715741308	0.0
RBM38	-0.3229021168654332	0.0
NOVA1	0.5489462947675444	0.0
HNRNPD	-0.6940561373396009	0.0
RBM3	-0.1545298611984089	0.0
(Intercept)	-7.7959647325599075	0.0
