	Estimate	p-value
SRSF3	-0.818718650418413	0.0
SRP68	0.06633404525076644	0.0
SNRNP70	-0.06478993690415792	0.0
AKAP1	0.08955471351637943	0.0
CELF2	-0.4796939459623581	0.0
IFIH1	0.14025271639708126	0.0
QKI	-0.5519692709307097	0.0
GRN	-0.12075036534776304	0.0
PCBP1	0.19146522553609602	0.0
CELF4	0.16724840585617354	0.0
MSI1	0.06998213495077231	0.0
CFTR	0.1554936556772379	0.0
CPEB4	-0.044743848440271905	0.0
IGF2BP2	0.3695222669850038	0.0
SRSF5	0.5272871343087042	0.0
DDX58	0.3534031578657874	0.0
CPEB2	-0.3426346531829858	0.0
SRP54	-0.09410572055418519	0.0
ESRP1	0.20190737121386054	0.0
RBM6	-0.05080918327082611	0.0
RBMS3	-0.20371933633957953	0.0
PHAX	0.5002191136660326	0.0
OAS1	-0.17438698417269285	0.0
FUS	-0.8185328040825173	0.0
SRRM1	0.12846795412800288	0.0
KHDRBS3	0.37098735610985106	0.0
RBM38	0.021943969376468468	0.0
PPRC1	-0.28541520322237196	0.0
HNRNPLL	0.5585653001481659	0.0
RBM3	0.10914048842024031	0.0
(Intercept)	1.0227541479818862	0.0
