	Estimate	p-value
ZFP36	0.08878902102294048	0.0
MBNL1	-1.0667232859088835	0.0
PABPC1	-0.12721582279320914	0.0
ESRP2	-0.5110426486518779	0.0
CELF2	-0.21681794266107896	0.0
RBMS1	-0.656564915178202	0.0
MSI1	-0.19605152595964254	0.0
G3BP2	0.11803512087207174	0.0
ACO1	0.38859289621977444	0.0
SNRPA	-0.1342920865237504	0.0
YBX1	-0.3346876914208197	0.0
SAMD4A	-0.3747656128274075	0.0
PUM1	0.5353379595350546	0.0
OAS1	-0.05927242879529811	0.0
RBM24	0.42693839059408517	0.0
FUS	-0.8494444011778162	0.0
SRRM1	0.6031015826420236	0.0
SRSF6	0.33308028336117407	0.0
RBM38	0.00428353498931644	0.0
(Intercept)	6.683146870756881	0.0
