	Estimate	p-value
SRP68	1.1132203637844895	0.0
KHSRP	-0.2412714993927238	0.0
HNRNPL	-0.21743620583553191	0.0
SNRNP70	-0.16837731394845393	0.0
ZFP36L2	-0.10984442447543187	0.0
DHX58	0.7973171966734889	0.0
NONO	-0.1830265209566417	0.0
AKAP1	-0.08623896899171374	0.0
PUM2	0.42867946697819437	0.0
RBM8A	-0.47572557513181646	0.0
ESRP2	0.5962068993488173	0.0
AGO2	0.5390620045645397	0.0
HNRNPA2B1	-0.6814594186859938	0.0
RBM42	0.40528909275672853	0.0
HNRNPA1	-1.0449190199006755	0.0
RBMS1	0.04693020260669911	0.0
PCBP1	-0.9387752494433544	0.0
QKI	-0.10375146225112103	0.0
GRN	-0.581292882467834	0.0
YTHDC1	-0.4542276474480136	0.0
MSI1	0.08172461481685067	0.0
CFTR	0.04552347524429923	0.0
G3BP1	-1.7111638685379913	0.0
IGF2BP2	0.049796340531870875	0.0
SNRPA	-0.624381950166299	0.0
SF3B4	0.4075027034342361	0.0
EIF4B	0.46377853552585113	0.0
IGHMBP2	0.9955728555411163	0.0
SF3B1	0.7165469682506634	0.0
SP1	-0.5074869429830247	0.0
CPEB2	0.0555197365676664	0.0
HNRNPC	0.6654007683233907	0.0
SRSF9	0.47239391712515694	0.0
RBMX	1.9952791123422124	0.0
SRSF4	0.3566136382442417	0.0
SAMD4A	-0.4362001431710784	0.0
RBMS3	0.055595889623661465	0.0
RAVER1	0.539107535083641	0.0
TRA2A	-0.5654737456879808	0.0
NOVA2	0.012637947367064306	0.0
RC3H1	0.690267355100422	0.0
RALY	0.23983906020709944	0.0
SUPV3L1	-0.5131984725139644	0.0
OAS1	-0.1414246509162417	0.0
HNRNPDL	0.40499941791449384	0.0
SSB	0.10494746498851559	0.0
DHX9	1.1101605114183832	0.0
YBX2	-0.002074167485467737	0.0
FMR1	-0.16452159911428652	0.0
HNRNPAB	1.506647110059843	0.0
RBM14	-0.16273787527027267	0.0
CSTF2	-0.43476577494320257	0.0
HNRNPH2	1.1673718390409957	0.0
ZNF638	-0.13414272177597764	0.0
RBM38	-0.0978301027598667	0.0
NUDT21	-0.040716592579031596	0.0
HNRNPD	-0.6462634565817519	0.0
RBM3	-0.17999797107896714	0.0
ZRANB2	0.2478259235499657	0.0
(Intercept)	-14.790444170683674	0.0
